strategy,path,first_canonical_sha256,second_canonical_sha256,status
MCB,signals.parquet,8b2964a8ade7829d67c6cd235fbcad3bada3bc67714932de969fce777f717826,8b2964a8ade7829d67c6cd235fbcad3bada3bc67714932de969fce777f717826,PASS
MCB,trades.parquet,b290d6ddc215ffb8619242802429824aed844a09d5c74ccf24bbbf25c960605f,b290d6ddc215ffb8619242802429824aed844a09d5c74ccf24bbbf25c960605f,PASS
MCB,accepted.parquet,6691cce10fd18d80f9072b87d88f36b6025b23884def91fd8cda25df07950db1,6691cce10fd18d80f9072b87d88f36b6025b23884def91fd8cda25df07950db1,PASS
MCB,nav.parquet,8b92b52aa0ace0f93c355fa0887dcf3a36e583d0578d150d3916b96248075f80,8b92b52aa0ace0f93c355fa0887dcf3a36e583d0578d150d3916b96248075f80,PASS
ATRDR,fast_signal.parquet,f159bc52255e3ae3fb2c9144485b51783a97abe16eb7e9bc5473143444d56dcd,f159bc52255e3ae3fb2c9144485b51783a97abe16eb7e9bc5473143444d56dcd,PASS
ATRDR,fast_outcomes.parquet,44ba2d77d27b03b28df59e17984f5535f759cb48396660aad756f8acab8640d8,44ba2d77d27b03b28df59e17984f5535f759cb48396660aad756f8acab8640d8,PASS
ATRDR,accepted.parquet,f779a920f572ae65677897200330660c2bdef8813edaf14c1ac8fd079919a1b2,f779a920f572ae65677897200330660c2bdef8813edaf14c1ac8fd079919a1b2,PASS
ATRDR,nav.parquet,48f908feb371fd7c6bd095c61a1f7ef5b81a57ab05ab2d2d1a33fc9393b13e96,48f908feb371fd7c6bd095c61a1f7ef5b81a57ab05ab2d2d1a33fc9393b13e96,PASS
ATRDR,post_2024_2025/stage_b/accepted_trades.parquet,3d9277d038b9db696976e88036caffcffa005f2cf4e4381865c56c9b631e1337,3d9277d038b9db696976e88036caffcffa005f2cf4e4381865c56c9b631e1337,PASS
ATRDR,post_2024_2025/stage_b/portfolio_nav.parquet,233fdcc53b1b561f5a5c458cc8fa3a3a45143aa64f32a2b2457b7535845b824b,233fdcc53b1b561f5a5c458cc8fa3a3a45143aa64f32a2b2457b7535845b824b,PASS
ATRDR,post_2026/stage_b/accepted_trades.parquet,7fe9a1ea3b04ad48e8a995ab095d5e267c2288967bac7085d467b723e3ddb83f,7fe9a1ea3b04ad48e8a995ab095d5e267c2288967bac7085d467b723e3ddb83f,PASS
ATRDR,post_2026/stage_b/portfolio_nav.parquet,66417f698b5bc504e1a63b268a5dea02bad8e51414f3938b881eb04cad5c6b66,66417f698b5bc504e1a63b268a5dea02bad8e51414f3938b881eb04cad5c6b66,PASS
OGR,signals.parquet,90e3f97fd071515a1e8e20e30ce0aafdcd735833e6b49688455a4a470d70979a,90e3f97fd071515a1e8e20e30ce0aafdcd735833e6b49688455a4a470d70979a,PASS
OGR,trades.parquet,7a8edea2e6477e9099ef7f3885f1493c95d545edf441523df2408961004a0dfb,7a8edea2e6477e9099ef7f3885f1493c95d545edf441523df2408961004a0dfb,PASS
OGR,accepted.parquet,cd93c12735fbee058a920590f670ab8c56f1bfc5ed1c7ab25e805a99c7097a39,cd93c12735fbee058a920590f670ab8c56f1bfc5ed1c7ab25e805a99c7097a39,PASS
OGR,nav.parquet,ce2da0ae69b559b304632d9bf0b2b41446a3fb70f0ce53ca8f19ce62a8565ae9,ce2da0ae69b559b304632d9bf0b2b41446a3fb70f0ce53ca8f19ce62a8565ae9,PASS
IFCGR,kept.parquet,83466acabd5f335cc664d03aebb3a5cedab8470f3df9b8f7ac4bb8197e27fe67,83466acabd5f335cc664d03aebb3a5cedab8470f3df9b8f7ac4bb8197e27fe67,PASS
IFCGR,rejected.parquet,46accba156ba1a06b2dd8e82b8ec80cf7fe0ad63546f215e8bf8b65ad5fb0a04,46accba156ba1a06b2dd8e82b8ec80cf7fe0ad63546f215e8bf8b65ad5fb0a04,PASS
IFCGR,trades.parquet,1e8e5c567a8a002158c09931695ee37525aa08ee1c53007010bdc3c340a93a6d,1e8e5c567a8a002158c09931695ee37525aa08ee1c53007010bdc3c340a93a6d,PASS
IFCGR,accepted.parquet,8771f795147190813104ef3a578c771ab1888f537a183ae91fce1f07bc559c82,8771f795147190813104ef3a578c771ab1888f537a183ae91fce1f07bc559c82,PASS
IFCGR,nav.parquet,442d80082b75520b68b62a3d970875420b0681c7f6491dc1e27f056a9568f73b,442d80082b75520b68b62a3d970875420b0681c7f6491dc1e27f056a9568f73b,PASS
SMV6,events.parquet,bb0e56c001f677a3d680e240f03b383dab11d7f3f681346e4b5f9252a51b694a,bb0e56c001f677a3d680e240f03b383dab11d7f3f681346e4b5f9252a51b694a,PASS
SMV6,local_execution_events.parquet,ad50c87353db28284f6699b662e99fc20337fa2855e5ce2159eb88bd88b0c023,ad50c87353db28284f6699b662e99fc20337fa2855e5ce2159eb88bd88b0c023,PASS
SMV6,nav.parquet,549b01025db9723a3862a38209b1862de7abc3dd97353ef478300e33116cd898,549b01025db9723a3862a38209b1862de7abc3dd97353ef478300e33116cd898,PASS
