year,arm,component,value
2020,I0_S17,CLOSED_LOT_TRANSACTION_MARK_PNL,-3919.9755944000062
2020,I0_S17,OPEN_END_TRANSACTION_MARK_PNL,-17347.03374240001
2020,I0_S17,DIVIDENDS,0.0
2020,I0_S17,TAXES,0.0
2020,I0_S17,OTHER_CORPORATE_ACTION_CASH,0.0
2020,I0_S17,FEES_MEMO_ALREADY_IN_LOT_PNL,-68661.45933679999
2020,I0_S17,START_INVENTORY_MEMO,912523.0
2020,I0_S17,END_INVENTORY_MEMO,793403.2
2020,I0_S17,EXTERNAL_NET_INFLOW,0.0
2020,I0_S17,NAV_CHANGE_LESS_EXTERNAL,-21267.009336799965
2020,I0_S17,RECONCILED_TOTAL,-21267.009336800023
2020,I0_S17,RECONCILIATION_RESIDUAL,-5.820766091346741e-11
2020,I0_S29,CLOSED_LOT_TRANSACTION_MARK_PNL,-1634.0733472000356
2020,I0_S29,OPEN_END_TRANSACTION_MARK_PNL,-19482.3697568
2020,I0_S29,DIVIDENDS,0.0
2020,I0_S29,TAXES,0.0
2020,I0_S29,OTHER_CORPORATE_ACTION_CASH,0.0
2020,I0_S29,FEES_MEMO_ALREADY_IN_LOT_PNL,-66032.913104
2020,I0_S29,START_INVENTORY_MEMO,912523.0
2020,I0_S29,END_INVENTORY_MEMO,770364.72
2020,I0_S29,EXTERNAL_NET_INFLOW,0.0
2020,I0_S29,NAV_CHANGE_LESS_EXTERNAL,-21116.443103999947
2020,I0_S29,RECONCILED_TOTAL,-21116.443104000013
2020,I0_S29,RECONCILIATION_RESIDUAL,-6.548361852765083e-11
2020,I0_S43,CLOSED_LOT_TRANSACTION_MARK_PNL,125464.43553480002
2020,I0_S43,OPEN_END_TRANSACTION_MARK_PNL,-30092.091880399996
2020,I0_S43,DIVIDENDS,0.0
2020,I0_S43,TAXES,0.0
2020,I0_S43,OTHER_CORPORATE_ACTION_CASH,0.0
2020,I0_S43,FEES_MEMO_ALREADY_IN_LOT_PNL,-66851.6663456
2020,I0_S43,START_INVENTORY_MEMO,912523.0
2020,I0_S43,END_INVENTORY_MEMO,874222.42
2020,I0_S43,EXTERNAL_NET_INFLOW,0.0
2020,I0_S43,NAV_CHANGE_LESS_EXTERNAL,95372.34365439997
2020,I0_S43,RECONCILED_TOTAL,95372.3436544
2020,I0_S43,RECONCILIATION_RESIDUAL,2.9103830456733704e-11
2020,I0_FIXED3,CLOSED_LOT_TRANSACTION_MARK_PNL,184536.83166159995
2020,I0_FIXED3,OPEN_END_TRANSACTION_MARK_PNL,-10140.668570800004
2020,I0_FIXED3,DIVIDENDS,0.0
2020,I0_FIXED3,TAXES,0.0
2020,I0_FIXED3,OTHER_CORPORATE_ACTION_CASH,0.0
2020,I0_FIXED3,FEES_MEMO_ALREADY_IN_LOT_PNL,-72281.4669092
2020,I0_FIXED3,START_INVENTORY_MEMO,912523.0
2020,I0_FIXED3,END_INVENTORY_MEMO,962068.1499999999
2020,I0_FIXED3,EXTERNAL_NET_INFLOW,0.0
2020,I0_FIXED3,NAV_CHANGE_LESS_EXTERNAL,174396.16309079994
2020,I0_FIXED3,RECONCILED_TOTAL,174396.16309079994
2020,I0_FIXED3,RECONCILIATION_RESIDUAL,0.0
2020,I0_FIXED3,FIXED3_NEW_BUY_C0_LOT_PNL,50801.465518799996
