year,pressure_status,events,dates,stocks,mean_pressure_z,mean_simple_resilience,mean_residual_resilience,mean_fwd10
2020,NO_PEER,130,78,127,,,,
2020,NO_PRESSURE,4042,184,2418,,,,
2020,PRESSURE,14767,243,3455,-1.5680512505573825,-0.0009572088104349917,0.0021345237634949766,0.002240708055872385
2021,NO_PEER,177,98,175,,,,
2021,NO_PRESSURE,5875,227,3096,,,,
2021,PRESSURE,14731,243,3854,-1.4783331794454373,0.00011117101549721633,0.0024844475760446906,0.004718768777069845
2022,NO_PEER,293,147,280,,,,
2022,NO_PRESSURE,6816,181,3526,,,,
2022,PRESSURE,16388,242,4337,-1.5410398492271786,-0.00047927940396747876,0.002213756740549064,-5.66890338464257e-05
2023,NO_PEER,198,103,197,,,,
2023,NO_PRESSURE,6082,198,3539,,,,
2023,PRESSURE,16467,216,4483,-1.417356198810756,-0.0002930854328270847,0.0008946921396711338,0.0066441723745135125
