year,quintile,observations,mean_fwd5,mean_fwd10,mean_fwd20,median_fwd10,mean_mfe10,mean_mae10,new_high10,feature
2020,1,2942,0.00014445874146025358,-0.0031450605085005198,-0.005136162026122401,-0.02047294472068134,0.06443732445187811,-0.0646102750029339,0.7719238613188307,simple_resilience
2020,2,2941,0.003388314443897651,0.003965939321914155,0.0050718673339071665,-0.010471204188481686,0.0634218924575954,-0.05592790285769101,0.7851071064263856,simple_resilience
2020,3,2941,0.0011572812592670848,0.0014455396485976157,0.002216056638206116,-0.009461426491994107,0.05891677821984685,-0.05451272139556146,0.7929275756545393,simple_resilience
2020,4,2941,0.0037008957221361122,0.006923303913873468,0.011909708238097217,-0.00757575757575768,0.0639075147007361,-0.05291899766537875,0.7997279836790208,simple_resilience
2020,5,2941,0.00456141246766911,0.0018877741463409824,0.008599263189587375,-0.013397129186603185,0.07533540433780023,-0.06412447048780182,0.791567494049643,simple_resilience
2021,1,2938,0.003456818628206442,0.004288455363140557,0.0008798102482741139,-0.009782764263531696,0.07093787934519269,-0.05697271418030252,0.8199455411844793,simple_resilience
2021,2,2938,0.004352476801196191,0.006289341193493439,0.010159291456020314,-0.007234770566810267,0.06490110941163711,-0.049753684360795525,0.820285908781484,simple_resilience
2021,3,2937,0.004257581549886059,0.004534421549083521,0.009924109914756516,-0.004497751124437732,0.06087931396649037,-0.04716933684193543,0.8212461695607763,simple_resilience
2021,4,2938,0.001282696057809987,0.005152504483505757,0.006638065354078143,-0.006578500534634879,0.06264327592881473,-0.05085029465041456,0.8022464261402315,simple_resilience
2021,5,2938,0.0032032655895690566,0.003379603021930478,0.00405336872171146,-0.009442523794313096,0.0785458115706702,-0.06504622906461094,0.8012253233492171,simple_resilience
2022,1,3260,0.0027163306031472026,-0.0006520477986907845,-0.0018745825876530942,-0.009125067096081518,0.06454803015206363,-0.06228198766024989,0.7911042944785276,simple_resilience
2022,2,3259,0.002861120408680371,0.002913561905653773,0.00393004875318583,-0.00199401794616183,0.05764446238285976,-0.053897819794378854,0.8158944461491255,simple_resilience
2022,3,3259,0.00469747673869464,0.006453025802460157,0.010203847092578775,0.0023790642347343294,0.05824622505217015,-0.05021843657140506,0.8180423442773856,simple_resilience
2022,4,3259,0.0041658925584943714,0.0008155611637743039,0.004776812567820475,-0.0030557677616502854,0.055863194648443366,-0.05382815950354272,0.8171218165081313,simple_resilience
2022,5,3259,-0.0011118265945789197,-0.009745540831325365,-0.018478900467112924,-0.014929577464788957,0.06670801744900408,-0.07136984505800027,0.783369131635471,simple_resilience
2023,1,3275,0.0031343583796748886,0.008894570046350646,0.0037781236392049576,-0.004566210045662045,0.05835263315698944,-0.04421448910653057,0.8180152671755725,simple_resilience
2023,2,3275,0.0036570168633401914,0.008502908669647757,0.0035918341777807328,-0.0015313935681470214,0.048732718881386694,-0.037089344288561074,0.827175572519084,simple_resilience
2023,3,3274,0.0027378197425898215,0.007742167715613172,0.006125732815291068,0.0,0.04574991690256552,-0.03513665076312203,0.8277336591325596,simple_resilience
2023,4,3275,0.002792569653250235,0.008583900169912761,0.006383245121533533,0.0008779631255491083,0.04688962889791009,-0.034952531222645765,0.8363358778625954,simple_resilience
2023,5,3275,-0.0025620599305055973,-0.00040977228141080496,-0.002685498525519672,-0.009637850467290376,0.05633997018814188,-0.05217266908037869,0.7761832061068702,simple_resilience
2020,1,2941,-0.0008249402827836214,-0.004501645907645795,-0.004126906134336755,-0.019748653500897717,0.06229722447113886,-0.06470673324549767,0.7721863311798708,residual_resilience
2020,2,2940,0.0014671918044769268,0.0001069562454973559,0.000653742206245573,-0.0133038635875119,0.05893684927655987,-0.05622885558524809,0.7765306122448979,residual_resilience
2020,3,2940,0.0024257951702593332,0.0020129749262092524,0.004029117709446672,-0.008718638385787514,0.0581162045037434,-0.053085308654111256,0.7979591836734694,residual_resilience
2020,4,2940,0.0038039648156809225,0.005193955416076754,0.009727991923594947,-0.009147042951149986,0.06511299771354986,-0.054614237360341704,0.7986394557823129,residual_resilience
