decision_at,total_distinct_legal_requested_notional,number_of_distinct_competing_opportunities,legal_opportunity_count,trade_date,cash_available_before_funding,gross_headroom_before_funding,nav,fundable_notional,constrained_notional,funded_count,unfunded_for_capital_reason_count,conflict_status
2018-01-03 15:00:00,179789.0658171773,2,7,2018-01-03,4651034.00577438,258774.2042644216,4909808.210038802,179789.0658171773,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-01-04 15:00:00,177588.29357231385,1,6,2018-01-04,4503810.6900505815,406713.0224173142,4910523.712467896,177588.29357231385,0.0,,,NO_CONFLICT
2018-01-05 15:00:00,88781.05565683564,1,3,2018-01-05,4326222.396478267,585076.7044085237,4911299.100886791,88781.05565683564,0.0,,,NO_CONFLICT
2018-01-09 15:00:00,29602.825824574385,1,1,2018-01-09,4237441.340821432,672983.2613160715,4910424.602137503,29602.825824574385,0.0,,,NO_CONFLICT
2018-01-15 00:00:00,500277.8959913016,1,1,2018-01-15,3766255.6244023717,1129843.1778729628,4896098.8022753345,500277.8959913016,0.0,,,NO_CONFLICT
2018-02-12 15:00:00,23747.89646074236,1,1,2018-02-12,4902998.997523572,27084.529279376875,4930083.52680295,23747.89646074236,0.0,,,NO_CONFLICT
2018-02-14 15:00:00,29455.992068623837,1,1,2018-02-14,4879251.10106283,50469.01814291559,4929720.119205745,29455.992068623837,0.0,,,NO_CONFLICT
2018-02-22 15:00:00,382739.7597118184,3,38,2018-02-22,4849795.1089942055,79630.53518904457,4929425.64418325,382739.7597118184,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-02-23 15:00:00,140142.66305290582,3,15,2018-02-23,4567049.724132384,362949.6984606167,4929999.422593001,140142.66305290582,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-02-26 15:00:00,628422.6981789008,3,35,2018-02-26,4503939.048804361,436970.40215092,4940909.450955281,628422.6981789008,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-02-27 15:00:00,311969.65479505487,1,11,2018-02-27,3965448.108661869,982408.7615699739,4947856.870231843,311969.65479505487,0.0,,,NO_CONFLICT
2018-02-28 15:00:00,212657.25862845845,1,8,2018-02-28,3699218.9447522075,1247195.4216075295,4946414.366359737,212657.25862845845,0.0,,,NO_CONFLICT
2018-03-01 15:00:00,293581.22705186857,1,12,2018-03-01,3538569.3602010845,1427538.0936367312,4966107.453837816,293581.22705186857,0.0,,,NO_CONFLICT
2018-03-05 15:00:00,30382.686967906524,1,1,2018-03-05,3427099.072559582,1558721.0318893543,4985820.104448937,30382.686967906524,0.0,,,NO_CONFLICT
2018-03-06 15:00:00,61385.963756265366,1,2,2018-03-06,3529433.7831663964,1475212.5707657845,5004646.353932181,61385.963756265366,0.0,,,NO_CONFLICT
2018-03-09 15:00:00,766612.2149376567,2,29,2018-03-09,3989259.743233314,1071504.3994342966,5060764.14266761,766612.2149376567,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-03-12 15:00:00,322895.6180081659,2,12,2018-03-12,3596430.370681663,1478999.128262615,5075429.498944278,322895.6180081659,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-03-13 15:00:00,212872.580859634,2,8,2018-03-13,3384687.6139487103,1677580.072587317,5062267.686536027,212872.580859634,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-03-14 15:00:00,31430.20240296368,1,1,2018-03-14,3237946.766826266,1804830.2800187655,5042777.046845032,31430.20240296368,0.0,,,NO_CONFLICT
2018-03-16 15:00:00,63100.2717948104,1,2,2018-03-16,3307485.563636266,1727385.4632790661,5034871.026915332,63100.2717948104,0.0,,,NO_CONFLICT
2018-03-19 15:00:00,31349.88854526648,1,1,2018-03-19,3296221.906433984,1751585.7708713473,5047807.677305331,31349.88854526648,0.0,,,NO_CONFLICT
2018-04-11 15:00:00,43788.845671803894,3,3,2018-04-11,4910531.2696445715,153844.14780560834,5064375.41745018,43788.845671803894,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-04-24 15:00:00,12635.180414185628,2,2,2018-04-24,4968889.379724335,93389.24649291049,5062278.626217245,12635.180414185628,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-04-25 15:00:00,12636.26006962338,2,2,2018-04-25,4962571.789517242,100536.4088892246,5063108.198406467,12636.26006962338,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-05-04 15:00:00,30809.33283662025,1,1,2018-05-04,4956253.659482431,100609.83468458701,5056863.494167018,30809.33283662025,0.0,,,NO_CONFLICT
2018-05-08 15:00:00,61709.84630846733,1,2,2018-05-08,4925444.32664581,133969.26343627623,5059413.590082087,61709.84630846733,0.0,,,NO_CONFLICT
2018-05-22 15:00:00,551200.4038012646,2,21,2018-05-22,4935774.165020721,125210.62121781816,5060984.786238539,551200.4038012646,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-06-27 15:00:00,30882.14949858691,1,1,2018-06-27,5031294.350528369,22129.647141863043,5053423.997670231,30882.14949858691,0.0,,,NO_CONFLICT
2018-06-29 15:00:00,321634.35792427283,3,12,2018-06-29,5000412.201029782,53454.13878104789,5053866.33981083,321634.35792427283,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-07-02 15:00:00,30715.46657093635,1,1,2018-07-02,4685097.628239547,362351.0650508493,5047448.693290397,30715.46657093635,0.0,,,NO_CONFLICT
2018-07-03 15:00:00,419016.0010111678,3,28,2018-07-03,4654382.161668611,400800.1300204007,5055182.291689011,419016.0010111678,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-07-04 15:00:00,25574.404752554863,2,4,2018-07-04,4292891.998868119,749401.027371204,5042293.0262393225,25574.404752554863,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-07-09 15:00:00,89226.21310323424,2,14,2018-07-09,4287997.7730758395,752737.0523955796,5040734.825471419,89226.21310323424,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-07-10 15:00:00,25628.884833040862,2,4,2018-07-10,4244703.702270365,800430.4775537899,5045134.179824155,25628.884833040862,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-07-12 15:00:00,12843.874256406438,2,2,2018-07-12,4260366.632392466,782847.926532962,5043214.558925428,12843.874256406438,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-07-13 15:00:00,25699.070902237832,1,1,2018-07-13,4253953.00843207,790902.5486131771,5044855.557045247,25699.070902237832,0.0,,,NO_CONFLICT
2018-07-16 15:00:00,61341.81643375087,1,2,2018-07-16,4228253.937529832,818454.9813608994,5046708.918890731,61341.81643375087,0.0,,,NO_CONFLICT
2018-07-23 15:00:00,247592.99882100057,2,9,2018-07-23,4205167.642335272,848989.9068909191,5054157.549226192,247592.99882100057,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-07-24 15:00:00,31200.17080004774,1,1,2018-07-24,3964386.1364498218,1104537.0362479812,5068923.172697803,31200.17080004774,0.0,,,NO_CONFLICT
2018-07-26 15:00:00,31325.768438291365,1,1,2018-07-26,3994543.6692886576,1080052.0955254894,5074595.764814147,31325.768438291365,0.0,,,NO_CONFLICT
2018-08-14 15:00:00,25721.827199487303,1,1,2018-08-14,4722611.166857592,325984.447334252,5048595.614191844,25721.827199487303,0.0,,,NO_CONFLICT
2018-08-20 15:00:00,56338.52491175772,1,2,2018-08-20,5020678.811105989,23667.6876016683,5044346.498707658,56338.52491175772,0.0,,,NO_CONFLICT
2018-08-21 15:00:00,56470.82234709512,3,5,2018-08-21,4964340.286194231,80372.65725304064,5044712.943447272,56470.82234709512,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-08-27 15:00:00,30659.604415600923,1,1,2018-08-27,4920773.380615831,126674.36136535963,5047447.741981191,30659.604415600923,0.0,,,NO_CONFLICT
2018-08-28 15:00:00,30616.96013790754,1,1,2018-08-28,4918294.835980267,129409.3230097308,5047704.1589899985,30616.96013790754,0.0,,,NO_CONFLICT
2018-08-29 15:00:00,30607.46818795692,1,1,2018-08-29,4887677.87584236,159356.45156620495,5047034.327408565,30607.46818795692,0.0,,,NO_CONFLICT
2018-09-04 15:00:00,6446.202618365756,1,1,2018-09-04,4857107.10771828,187445.8260216916,5044552.933739971,6446.202618365756,0.0,,,NO_CONFLICT
2018-09-12 15:00:00,12862.11274431002,2,2,2018-09-12,4857107.10771828,171567.1643555428,5028674.272073822,12862.11274431002,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-09-19 15:00:00,60029.967676638116,1,2,2018-09-19,4903142.992571435,123889.4777300814,5027032.470301516,60029.967676638116,0.0,,,NO_CONFLICT
2018-09-21 15:00:00,30188.46690996089,1,1,2018-09-21,4887629.092632988,145290.74020046636,5032919.832833454,30188.46690996089,0.0,,,NO_CONFLICT
2018-10-19 15:00:00,38420.56690361575,3,3,2018-10-19,4975532.238839594,55136.69850618389,5030668.937345778,38420.56690361575,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-10-22 15:00:00,623272.201925571,3,48,2018-10-22,4943429.503863311,93708.47239641304,5037137.976259724,623272.201925571,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-10-23 15:00:00,30142.971085567377,1,1,2018-10-23,4461475.447278795,565876.9329738372,5027352.380252632,30142.971085567377,0.0,,,NO_CONFLICT
2018-10-24 15:00:00,29840.656928667613,1,1,2018-10-24,4431332.476193228,599627.115133956,5030959.591327184,29840.656928667613,0.0,,,NO_CONFLICT
2018-10-25 15:00:00,179665.0728859509,2,28,2018-10-25,4434723.310321736,593949.0194463544,5028672.3297680905,179665.0728859509,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-10-26 15:00:00,1087337.2370487936,2,170,2018-10-26,4377801.096768033,654131.5779105565,5031932.674678589,1087337.2370487936,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-10-29 15:00:00,42691.561095856676,3,3,2018-10-29,3835048.649437728,1182864.554595673,5017913.204033401,42691.561095856676,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-10-30 15:00:00,124817.59430700245,3,12,2018-10-30,3832738.401943277,1201711.6683575225,5034450.0703008,124817.59430700245,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2018-10-31 15:00:00,587932.5976615534,3,42,2018-10-31,3818047.4531519967,1234649.827243786,5052697.280395783,587932.5976615534,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
