strategy,grid,status
ATRDR Bull,Native,STOPPED_NO_CAUSAL_PRIORITY
ATRDR Bull,1.5x,STOPPED_NO_CAUSAL_PRIORITY
ATRDR Bull,2x,STOPPED_NO_CAUSAL_PRIORITY
ATRDR Fast Bear,Native,STOPPED_NO_CAUSAL_PRIORITY
ATRDR Fast Bear,1.5x,STOPPED_NO_CAUSAL_PRIORITY
ATRDR Fast Bear,2x,STOPPED_NO_CAUSAL_PRIORITY
ATRDR Slow Bear,Native,STOPPED_NO_CAUSAL_PRIORITY
ATRDR Slow Bear,1.5x,STOPPED_NO_CAUSAL_PRIORITY
ATRDR Slow Bear,2x,STOPPED_NO_CAUSAL_PRIORITY
MCB,Native,STOPPED_NO_CAUSAL_PRIORITY
MCB,1.5x,STOPPED_NO_CAUSAL_PRIORITY
MCB,2x,STOPPED_NO_CAUSAL_PRIORITY
OGR,Native,STOPPED_NO_CAUSAL_PRIORITY
OGR,1.5x,STOPPED_NO_CAUSAL_PRIORITY
OGR,2x,STOPPED_NO_CAUSAL_PRIORITY
IFCGR,Native,STOPPED_NO_CAUSAL_PRIORITY
IFCGR,1.5x,STOPPED_NO_CAUSAL_PRIORITY
IFCGR,2x,STOPPED_NO_CAUSAL_PRIORITY
SMV6,Native,STOPPED_NO_CAUSAL_PRIORITY
SMV6,1.5x,STOPPED_NO_CAUSAL_PRIORITY
SMV6,2x,STOPPED_NO_CAUSAL_PRIORITY
