strategy,year,pre_capital_opportunity_count,native_entry_intent_count,native_fill_count,native_exit_count,opportunity_source,native_source,opportunity_first_date,opportunity_last_date,coverage_status
ATRDR Bull,2018,112,112,112,113,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2018-01-03 15:00:00,2018-12-07 15:00:00,PASS
ATRDR Bull,2019,370,370,214,217,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2019-01-21 15:00:00,2019-12-30 15:00:00,PASS
ATRDR Bull,2020,204,204,180,184,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2020-01-03 15:00:00,2020-08-25 15:00:00,PASS
ATRDR Bull,2021,127,127,124,126,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2021-03-05 15:00:00,2021-12-16 15:00:00,PASS
ATRDR Bull,2022,145,145,145,146,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2022-01-04 15:00:00,2022-12-01 15:00:00,PASS
ATRDR Bull,2023,212,212,151,151,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2023-01-18 15:00:00,2023-11-22 15:00:00,PASS
ATRDR Bull,2024,515,515,162,163,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2024-03-07 15:00:00,2024-12-16 15:00:00,PASS
ATRDR Bull,2025,259,259,259,260,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2025-02-07 15:00:00,2025-11-17 15:00:00,PASS
ATRDR Bull,2026 YTD,145,145,141,130,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2026-01-08 15:00:00,2026-09-01 15:00:00,PASS
ATRDR Fast Bear,2018,0,0,0,0,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,,,PASS
