scope,strategy,gap,mcb_mode,period,target,grade,mechanic,priority,initial_nav,max_position_notional,max_position_notional_over_NAV,max_single_order_notional,max_physical_fill_notional,order_aggregation_basis,max_order_notional_over_completed_timestamp_NAV,max_order_over_initial_NAV,max_daily_traded_notional,max_same_symbol_daily_traded_notional,max_same_symbol_checkpoint_traded_notional,capacity_limited_order_count,capacity_limited_requested_notional,capacity_status,volume_participation_status,account_size_extrapolation
SINGLE,ATRDR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1591804.895172686,58688.92919270302,0.0233817667720212,58792.64143763816,58792.64143763816,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.0228844063400363,0.0369345776080554,962319.4438256004,58792.64143763816,58792.64143763816,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,ATRDR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,2696150.1560180755,72377.69908680598,0.0232204996529614,69123.02477630001,69123.02477630001,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.0230087691577157,0.0256376762332804,1116727.5323926208,69123.02477630001,69123.02477630001,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,MCB,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1312977.2340191728,39512.07120120149,0.0232207775467269,39581.89502764853,39581.89502764853,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.0223926417935385,0.0301466727694004,740836.2136333254,39581.89502764853,39581.89502764853,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,MCB,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1817422.2781189296,44726.45238598567,0.0225429162463999,43139.60522682953,43139.60522682953,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.0221337421754878,0.0237366988102951,660181.3540734348,43139.60522682953,43139.60522682953,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,OGR,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1000000.0,8207.789425365712,0.0074570137367781,9028.568652540756,9028.568652540756,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.0081967375195201,0.0090285686525407,543497.7941302283,9028.568652540756,9028.568652540756,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,OGR,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1110169.4677651073,8170.551899330826,0.0073245288002813,8834.076092090028,8834.076092090028,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.0079141975774836,0.0079574122227248,53605.92451935768,8834.076092090028,8834.076092090028,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,IFCGR,IFCGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1000000.0,8158.4836985562415,0.0074353605535617,8974.332351340461,8974.332351340461,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.0081729536704194,0.0089743323513404,541669.1091120808,8974.332351340461,8974.332351340461,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,IFCGR,IFCGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1105177.2081431411,8121.469865307608,0.0073134121500479,8781.008144091173,8781.008144091173,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.007902193769993,0.0079453395160442,53306.914088771315,8781.008144091173,8781.008144091173,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,SMV6,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1000000.0,647711.35488,0.5139165051881678,647711.35488,647711.35488,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.5111554144226101,0.64771135488,1387151.5813656026,647711.35488,647711.35488,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
SINGLE,SMV6,OGR,independent,2022_2023,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,1000000.0,530978.9621939544,0.5100112627699763,526958.9184972843,526958.9184972843,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.5004286636371086,0.5269589184972843,900490.1813999999,526958.9184972843,526958.9184972843,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
COMBINED,COMBINED,OGR,independent,2018_2021,NATIVE,EXECUTION_AWARE_SCALING,FULL_BOOK_NORMALIZATION,,4904782.129191859,647711.35488,0.1070385004001935,647711.35488,647711.35488,NATIVE_EVENT_SYMBOL_SIDE_TIMESTAMP_AND_REASON; NOT_EXCHANGE_ORDER_ID,0.1059657765309258,0.1320571103505306,1703155.6574589224,647711.35488,647711.35488,0,0.0,CAPACITY_NOT_MODELED,SMV6_LOCAL_PER_ORDER_CAP_ONLY; STOCK_CAPACITY_NOT_MODELED,NOT_ESTIMABLE
