gap,mcb_mode,target,minimum_cross_period_CAGR_delta,maximum_cross_period_MaxDD,maximum_security_weight,historical_interpretation,capacity,production_authorized
IFCGR,confirmation_tag,G100,0.28687993690251884,0.2995397047948115,0.9999999999999998,G100_ONLY_AS_EXTREME_BOUND,CAPACITY_NOT_MODELED,False
IFCGR,confirmation_tag,G25,0.034744578414639404,0.0805118864021955,0.2936893203883486,GROSS_TARGET_SHADOW_CANDIDATE,CAPACITY_NOT_MODELED,False
IFCGR,confirmation_tag,G50,0.11768302782173691,0.1571386770865628,0.5436604487699375,RISK_LIMITED,CAPACITY_NOT_MODELED,False
IFCGR,confirmation_tag,G75,0.19542636129810442,0.2301873305498097,0.7813754694987685,RISK_LIMITED,CAPACITY_NOT_MODELED,False
IFCGR,confirmation_tag,NATIVE,0.0,0.0420759211203897,0.1069989791581417,EVIDENCE_INSUFFICIENT,CAPACITY_NOT_MODELED,False
IFCGR,independent,G100,0.290847757565094,0.2978181270944896,1.0,G100_ONLY_AS_EXTREME_BOUND,CAPACITY_NOT_MODELED,False
IFCGR,independent,G25,0.034847459810043,0.0798912314589689,0.2936893203883487,GROSS_TARGET_SHADOW_CANDIDATE,CAPACITY_NOT_MODELED,False
IFCGR,independent,G50,0.1167494171925969,0.1560413015150938,0.5436604487699362,RISK_LIMITED,CAPACITY_NOT_MODELED,False
IFCGR,independent,G75,0.20375157144789768,0.2287273213817527,0.7813754694987691,RISK_LIMITED,CAPACITY_NOT_MODELED,False
IFCGR,independent,NATIVE,0.0,0.0418897908516119,0.1070385004001935,EVIDENCE_INSUFFICIENT,CAPACITY_NOT_MODELED,False
OGR,confirmation_tag,G100,0.2868765176971455,0.2923730473653171,1.0,G100_ONLY_AS_EXTREME_BOUND,CAPACITY_NOT_MODELED,False
OGR,confirmation_tag,G25,0.034760370570281404,0.0783477536818928,0.2936893203883494,GROSS_TARGET_SHADOW_CANDIDATE,CAPACITY_NOT_MODELED,False
OGR,confirmation_tag,G50,0.11769107429634101,0.1530629315275562,0.5436604487699367,RISK_LIMITED,CAPACITY_NOT_MODELED,False
OGR,confirmation_tag,G75,0.1954311712824514,0.2244492359235763,0.7813754694987691,RISK_LIMITED,CAPACITY_NOT_MODELED,False
OGR,confirmation_tag,NATIVE,0.0,0.0420525814294259,0.1069989791581417,EVIDENCE_INSUFFICIENT,CAPACITY_NOT_MODELED,False
OGR,independent,G100,0.2908355045589548,0.2906331689680154,1.0,G100_ONLY_AS_EXTREME_BOUND,CAPACITY_NOT_MODELED,False
OGR,independent,G25,0.034869500307296096,0.0777254135265851,0.2936893203883494,GROSS_TARGET_SHADOW_CANDIDATE,CAPACITY_NOT_MODELED,False
OGR,independent,G50,0.11676169000995282,0.1519598312448968,0.543660448769936,RISK_LIMITED,CAPACITY_NOT_MODELED,False
OGR,independent,G75,0.20375737924425488,0.2229778045106137,0.781375469498768,RISK_LIMITED,CAPACITY_NOT_MODELED,False
OGR,independent,NATIVE,0.0,0.0418675055543223,0.1070385004001935,EVIDENCE_INSUFFICIENT,CAPACITY_NOT_MODELED,False
