case,checkpoints,minimum_cash,maximum_gross,maximum_account_equation_error,maximum_virtual_equity_error,maximum_quantity_error,maximum_pnl_error,status
SINGLE__ATRDR__OGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,6991,31563.26628328531,0.9837083254510224,2.3283064365386963e-10,3.725290298461914e-09,0.0,3.725290298461914e-09,PASS
SINGLE__ATRDR__OGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,3465,32150.82136826097,0.9890198859437332,4.656612873077393e-10,6.51925802230835e-09,0.0,6.51925802230835e-09,PASS
SINGLE__MCB__OGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,5921,15709.99237224109,0.988940871379671,2.3283064365386963e-10,9.778887033462524e-09,0.0,9.778887033462524e-09,PASS
SINGLE__MCB__OGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,2879,55736.37159145427,0.9702090213827469,2.3283064365386963e-10,5.122274160385132e-09,0.0,5.122274160385132e-09,PASS
SINGLE__OGR__OGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,4849,234258.89033167175,0.7734374933727216,1.1641532182693481e-10,2.0954757928848267e-09,0.0,2.0954757928848267e-09,PASS
SINGLE__OGR__OGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,2098,959956.6202129683,0.14164713396571332,1.1641532182693481e-10,6.984919309616089e-10,0.0,6.984919309616089e-10,PASS
SINGLE__IFCGR__IFCGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,4822,234240.7702417951,0.7729001277569589,1.1641532182693481e-10,1.6298145055770874e-09,0.0,1.6298145055770874e-09,PASS
SINGLE__IFCGR__IFCGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,2098,955679.5504386912,0.14160889538467095,1.1641532182693481e-10,6.984919309616089e-10,0.0,6.984919309616089e-10,PASS
SINGLE__SMV6__OGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,6153,73.0632378582959,0.999929038276774,2.3283064365386963e-10,1.3969838619232178e-09,0.0,1.3969838619232178e-09,PASS
SINGLE__SMV6__OGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,3031,114453.90405315228,0.8967967566568972,2.3283064365386963e-10,4.656612873077393e-10,0.0,4.656612873077393e-10,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,13117,1380417.1341225675,0.7749772399625978,9.313225746154785e-10,2.514570951461792e-08,0.0,2.514570951461792e-08,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,6100,1528084.0700027512,0.7835891758226093,9.313225746154785e-10,1.3969838619232178e-08,0.0,1.3969838619232178e-08,PASS
COMBINED__COMBINED__OGR__confirmation_tag__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,12486,1703407.608670115,0.720351024485678,9.313225746154785e-10,1.7695128917694092e-08,0.0,1.7695128917694092e-08,PASS
COMBINED__COMBINED__OGR__confirmation_tag__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,5815,2023698.7551150844,0.7102681947025477,9.313225746154785e-10,1.1175870895385742e-08,0.0,1.1175870895385742e-08,PASS
COMBINED__COMBINED__IFCGR__independent__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,13091,1377327.3745278793,0.7753978199866705,9.313225746154785e-10,2.421438694000244e-08,0.0,2.421438694000244e-08,PASS
COMBINED__COMBINED__IFCGR__independent__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,6100,1523005.2957249505,0.7841473908008648,9.313225746154785e-10,1.0244548320770264e-08,0.0,1.0244548320770264e-08,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2018_2021__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,12460,1699971.4055988374,0.7207576201227035,9.313225746154785e-10,2.8870999813079834e-08,0.0,2.8870999813079834e-08,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__NATIVE__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,5815,2018619.9808372874,0.7107850244330449,9.313225746154785e-10,1.6763806343078613e-08,0.0,1.6763806343078613e-08,PASS
SINGLE__ATRDR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,25617,0.0,1.0,9.313225746154785e-10,9.313225746154785e-09,0.0,9.313225746154785e-09,PASS
SINGLE__ATRDR__OGR__independent__2018_2021__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,25617,0.0,1.0,9.313225746154785e-10,9.313225746154785e-09,0.0,9.313225746154785e-09,PASS
SINGLE__ATRDR__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,12947,0.0,1.0,9.313225746154785e-10,2.7939677238464355e-09,0.0,2.7939677238464355e-09,PASS
SINGLE__ATRDR__OGR__independent__2022_2023__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,12947,0.0,1.0,9.313225746154785e-10,2.7939677238464355e-09,0.0,2.7939677238464355e-09,PASS
SINGLE__MCB__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,13427,3.637978807091713e-12,1.0,4.656612873077393e-10,1.3969838619232178e-09,0.0,1.3969838619232178e-09,PASS
SINGLE__MCB__OGR__independent__2018_2021__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,13427,3.637978807091713e-12,1.0,4.656612873077393e-10,1.3969838619232178e-09,0.0,1.3969838619232178e-09,PASS
SINGLE__MCB__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,5867,3.410605131648481e-11,1.0,4.656612873077393e-10,3.725290298461914e-09,0.0,3.725290298461914e-09,PASS
SINGLE__MCB__OGR__independent__2022_2023__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,5867,3.410605131648481e-11,1.0,4.656612873077393e-10,3.725290298461914e-09,0.0,3.725290298461914e-09,PASS
SINGLE__OGR__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,10075,0.0,1.0,4.656612873077393e-10,2.561137080192566e-09,0.0,2.561137080192566e-09,PASS
SINGLE__OGR__OGR__independent__2018_2021__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,10075,0.0,1.0,4.656612873077393e-10,2.561137080192566e-09,0.0,2.561137080192566e-09,PASS
SINGLE__OGR__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,3228,0.0,1.0,2.3283064365386963e-10,4.656612873077393e-10,0.0,4.656612873077393e-10,PASS
SINGLE__OGR__OGR__independent__2022_2023__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,3228,0.0,1.0,2.3283064365386963e-10,4.656612873077393e-10,0.0,4.656612873077393e-10,PASS
SINGLE__IFCGR__IFCGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,9971,0.0,1.0,4.656612873077393e-10,2.7939677238464355e-09,0.0,2.7939677238464355e-09,PASS
SINGLE__IFCGR__IFCGR__independent__2018_2021__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,9971,0.0,1.0,4.656612873077393e-10,2.7939677238464355e-09,0.0,2.7939677238464355e-09,PASS
SINGLE__IFCGR__IFCGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,3228,1.1368683772161603e-13,1.0,2.3283064365386963e-10,6.984919309616089e-10,0.0,6.984919309616089e-10,PASS
SINGLE__IFCGR__IFCGR__independent__2022_2023__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,3228,1.1368683772161603e-13,1.0,2.3283064365386963e-10,6.984919309616089e-10,0.0,6.984919309616089e-10,PASS
SINGLE__SMV6__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,6810,1.9082809651990829,0.9999981755520492,2.3283064365386963e-10,9.313225746154785e-10,0.0,9.313225746154785e-10,PASS
SINGLE__SMV6__OGR__independent__2018_2021__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,6810,1.9082809651990829,0.9999981755520492,2.3283064365386963e-10,9.313225746154785e-10,0.0,9.313225746154785e-10,PASS
SINGLE__SMV6__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,3185,6.811879289758508,0.9999933981182803,1.1641532182693481e-10,6.984919309616089e-10,0.0,6.984919309616089e-10,PASS
SINGLE__SMV6__OGR__independent__2022_2023__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,3185,6.811879289758508,0.9999933981182803,1.1641532182693481e-10,6.984919309616089e-10,0.0,6.984919309616089e-10,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,67961,0.0,1.0,3.725290298461914e-09,2.9802322387695312e-08,0.0,2.9802322387695312e-08,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,67961,0.0,1.0,3.725290298461914e-09,2.9802322387695312e-08,0.0,2.9802322387695312e-08,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,26193,0.0,1.0,1.862645149230957e-09,1.1175870895385742e-08,0.0,1.1175870895385742e-08,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,26193,0.0,1.0,1.862645149230957e-09,1.1175870895385742e-08,0.0,1.1175870895385742e-08,PASS
COMBINED__COMBINED__OGR__confirmation_tag__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,58788,0.0,1.0,3.725290298461914e-09,6.332993507385254e-08,0.0,6.332993507385254e-08,PASS
COMBINED__COMBINED__OGR__confirmation_tag__2018_2021__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,58788,0.0,1.0,3.725290298461914e-09,6.332993507385254e-08,0.0,6.332993507385254e-08,PASS
COMBINED__COMBINED__OGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,23119,0.0,1.0,1.862645149230957e-09,1.6763806343078613e-08,0.0,1.6763806343078613e-08,PASS
COMBINED__COMBINED__OGR__confirmation_tag__2022_2023__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,23119,0.0,1.0,1.862645149230957e-09,1.6763806343078613e-08,0.0,1.6763806343078613e-08,PASS
COMBINED__COMBINED__IFCGR__independent__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,67297,0.0,1.0,3.725290298461914e-09,2.60770320892334e-08,0.0,2.60770320892334e-08,PASS
COMBINED__COMBINED__IFCGR__independent__2018_2021__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,67297,0.0,1.0,3.725290298461914e-09,2.60770320892334e-08,0.0,2.60770320892334e-08,PASS
COMBINED__COMBINED__IFCGR__independent__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,26195,0.0,1.0,1.862645149230957e-09,1.862645149230957e-08,0.0,1.862645149230957e-08,PASS
COMBINED__COMBINED__IFCGR__independent__2022_2023__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,26195,0.0,1.0,1.862645149230957e-09,1.862645149230957e-08,0.0,1.862645149230957e-08,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2018_2021__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,58219,0.0,1.0,3.725290298461914e-09,7.078051567077637e-08,0.0,7.078051567077637e-08,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2018_2021__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,58219,0.0,1.0,3.725290298461914e-09,7.078051567077637e-08,0.0,7.078051567077637e-08,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,23121,0.0,1.0,1.862645149230957e-09,2.9802322387695312e-08,0.0,2.9802322387695312e-08,PASS
COMBINED__COMBINED__IFCGR__confirmation_tag__2022_2023__G100__IDEALIZED_SCALING_BOUND__FULL_BOOK_NORMALIZATION__NONE,23121,0.0,1.0,1.862645149230957e-09,2.9802322387695312e-08,0.0,2.9802322387695312e-08,PASS
SINGLE__ATRDR__OGR__independent__2018_2021__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,24650,1147110.7087727815,0.27552766685681646,2.3283064365386963e-10,9.546056389808655e-09,0.0,9.546056389808655e-09,PASS
SINGLE__ATRDR__OGR__independent__2022_2023__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,13056,1967717.5080152818,0.28208724926357126,2.3283064365386963e-10,1.862645149230957e-08,0.0,1.862645149230957e-08,PASS
SINGLE__MCB__OGR__independent__2018_2021__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,13389,964997.7453335242,0.25931860827082687,1.1641532182693481e-10,4.889443516731262e-09,0.0,4.889443516731262e-09,PASS
SINGLE__MCB__OGR__independent__2022_2023__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,5860,1345551.209001451,0.26143648238655964,1.1641532182693481e-10,3.259629011154175e-09,0.0,3.259629011154175e-09,PASS
SINGLE__OGR__OGR__independent__2018_2021__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,11385,749625.1874062968,0.2707671790683753,1.1641532182693481e-10,4.6566128730773926e-09,0.0,4.6566128730773926e-09,PASS
SINGLE__OGR__OGR__independent__2022_2023__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,3247,785693.7034816046,0.26122572815533973,1.1641532182693481e-10,6.984919309616089e-10,0.0,6.984919309616089e-10,PASS
SINGLE__IFCGR__IFCGR__independent__2018_2021__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,11273,749625.1874062968,0.26872316841319505,1.1641532182693481e-10,3.4924596548080444e-09,0.0,3.4924596548080444e-09,PASS
SINGLE__IFCGR__IFCGR__independent__2022_2023__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,3247,782160.2651500735,0.26122572815533973,1.1641532182693481e-10,9.313225746154785e-10,0.0,9.313225746154785e-10,PASS
SINGLE__SMV6__OGR__independent__2018_2021__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,6745,749861.0520043492,0.2672172952799789,1.1641532182693481e-10,2.3283064365386963e-09,0.0,2.3283064365386963e-09,PASS
SINGLE__SMV6__OGR__independent__2022_2023__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,3159,749896.10602336,0.2699094397344361,1.1641532182693481e-10,4.656612873077393e-10,0.0,4.656612873077393e-10,PASS
COMBINED__COMBINED__OGR__independent__2018_2021__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,67422,3600851.9775110935,0.2936893203883494,4.656612873077393e-10,1.043081283569336e-07,0.0,1.043081283569336e-07,PASS
COMBINED__COMBINED__OGR__independent__2022_2023__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,24679,4837029.710160549,0.28424028268551227,4.656612873077393e-10,4.0978193283081055e-08,0.0,4.0978193283081055e-08,PASS
COMBINED__COMBINED__OGR__confirmation_tag__2018_2021__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,58358,3600820.33824998,0.2936893203883494,4.656612873077393e-10,5.681067705154419e-08,0.0,5.681067705154419e-08,PASS
COMBINED__COMBINED__OGR__confirmation_tag__2022_2023__G25__EXECUTION_AWARE_SCALING__FULL_BOOK_NORMALIZATION__NONE,22316,4824742.451497851,0.2842402826855117,4.656612873077393e-10,7.35744833946228e-08,0.0,7.35744833946228e-08,PASS
