gap,mcb_mode,period,habitat,days,fraction_of_structural_idle_days,average_account_gross,average_cash_ratio,market_median_ret20_prior,market_median_ret60_prior,breadth20_prior,realized_vol20_prior,index_amount_prior,classification,active_strategy_day_fractions,index_forward_5d_mean,index_forward_5d_observations,etf_cross_median_forward_5d_mean,etf_cross_median_forward_5d_observations,etf_cross_positive_share_5d_mean,etf_cross_positive_share_5d_observations,etf_cross_available_5d_mean,etf_cross_available_5d_observations,index_forward_20d_mean,index_forward_20d_observations,etf_cross_median_forward_20d_mean,etf_cross_median_forward_20d_observations,etf_cross_positive_share_20d_mean,etf_cross_positive_share_20d_observations,etf_cross_available_20d_mean,etf_cross_available_20d_observations,index_forward_5d_positive_fraction,index_forward_20d_positive_fraction
IFCGR,confirmation_tag,2018_2021,BEAR|MINORITY_POSITIVE_20D,423,0.46229508196721314,0.06914250880663571,0.9308574911933645,-0.05300402238187211,-0.08785538574051314,0.28436451536327106,0.23757294942589322,123032510039.32152,POST-HOC HABITAT DIAGNOSTIC,"{""ATRDR"": 0.8817966903073287, ""IFCGR"": 0.48699763593380613, ""MCB"": 0.04728132387706856, ""SMV6"": 0.15602836879432624}",0.00233099276272686,423,0.0032677252771273362,423,0.5592881142545971,423,42.959810874704495,423,0.007223034090422598,423,0.00840138995797469,423,0.5725458068950647,423,42.959810874704495,423,0.5342789598108747,0.5295508274231678
IFCGR,confirmation_tag,2018_2021,BULL|MAJORITY_POSITIVE_20D,196,0.21420765027322405,0.18463703786197797,0.8153629621380221,0.052607151448278336,0.10048695143073817,0.7142177321021316,0.2279443793306679,210301908289.93878,POST-HOC HABITAT DIAGNOSTIC,"{""ATRDR"": 0.8316326530612245, ""IFCGR"": 0.2653061224489796, ""MCB"": 0.42346938775510207, ""SMV6"": 0.5612244897959183}",-0.001863961735894589,196,-0.0011733269287067369,196,0.4727886723326653,196,52.55612244897959,196,0.0005072113247031233,196,0.003400781256284828,196,0.5041659588094561,196,52.55612244897959,196,0.46938775510204084,0.5306122448979592
IFCGR,confirmation_tag,2018_2021,TRANSITION|MAJORITY_POSITIVE_20D,169,0.18469945355191256,0.1868955382389044,0.8131044617610956,0.03042568820489041,-0.06377343047179072,0.6553696163834664,0.20934998718626646,142244986573.17752,POST-HOC HABITAT DIAGNOSTIC,"{""ATRDR"": 0.9881656804733728, ""IFCGR"": 0.5798816568047337, ""MCB"": 0.34911242603550297, ""SMV6"": 0.28402366863905326}",-0.0021854940796547234,169,-0.0006981304291643543,169,0.4971749423970509,169,47.36094674556213,169,-0.0037045212382018082,169,0.003000407135353358,169,0.4581928512992508,169,47.36094674556213,169,0.48520710059171596,0.378698224852071
IFCGR,confirmation_tag,2018_2021,TRANSITION|MINORITY_POSITIVE_20D,127,0.13879781420765028,0.0258939608248372,0.9741060391751627,-0.03881972713669204,0.056202089891972014,0.3536658171824113,0.24939869713943694,184716264327.17322,POST-HOC HABITAT DIAGNOSTIC,"{""ATRDR"": 0.5748031496062992, ""IFCGR"": 0.36220472440944884, ""MCB"": 0.007874015748031496, ""SMV6"": 0.14173228346456693}",0.0046285951887097805,127,0.0016397326811968208,127,0.5333831226662148,127,54.039370078740156,127,0.0024032789653977045,127,-0.0022484713647862526,127,0.4930275107339824,127,54.039370078740156,127,0.6141732283464567,0.5433070866141733
IFCGR,confirmation_tag,2022_2023,BEAR|MINORITY_POSITIVE_20D,192,0.42105263157894735,0.060742626752548205,0.9392573732474517,-0.05302599819683085,-0.0733703406255038,0.28867176879505346,0.22608914033644442,177904082981.15103,POST-HOC HABITAT DIAGNOSTIC,"{""ATRDR"": 0.7291666666666666, ""IFCGR"": 0.5, ""MCB"": 0.036458333333333336, ""SMV6"": 0.010416666666666666}",-0.0023311810565555596,187,-0.005458730095930277,187,0.4404636144319221,187,102.74479166666667,192,0.00041714154169493153,178,-0.010297929133404368,178,0.4381390390006816,178,97.21354166666667,192,0.46524064171123,0.47191011235955055
IFCGR,confirmation_tag,2022_2023,BULL|MAJORITY_POSITIVE_20D,84,0.18421052631578946,0.19283589933506554,0.8071641006649344,0.030401434549985246,0.06141019973831955,0.6581742913803917,0.15679668074273434,206458978931.91666,POST-HOC HABITAT DIAGNOSTIC,"{""ATRDR"": 0.9047619047619048, ""IFCGR"": 0.19047619047619047, ""MCB"": 0.4642857142857143, ""SMV6"": 0.27380952380952384}",-0.008089562906379417,84,-0.0086351853343267,84,0.3605376926478119,84,104.66666666666667,84,-0.040436799771159694,82,-0.03878670647577518,82,0.2161186634101668,82,101.85714285714286,84,0.38095238095238093,0.14634146341463414
IFCGR,confirmation_tag,2022_2023,TRANSITION|MAJORITY_POSITIVE_20D,93,0.20394736842105263,0.1840596603255589,0.8159403396744412,0.03388648137048842,-0.04169661535758842,0.6675750044984774,0.1886054879757075,203092491131.3656,POST-HOC HABITAT DIAGNOSTIC,"{""ATRDR"": 0.978494623655914, ""IFCGR"": 0.5376344086021505, ""MCB"": 0.3010752688172043, ""SMV6"": 0.25806451612903225}",0.000728267533872285,93,-0.00042015069967692,93,0.4876792147877034,93,104.64516129032258,93,-0.0022573642980351456,93,-0.004774094593661084,93,0.43291549696319515,93,104.64516129032258,93,0.5591397849462365,0.3763440860215054
IFCGR,confirmation_tag,2022_2023,TRANSITION|MINORITY_POSITIVE_20D,87,0.19078947368421054,0.06634638969693911,0.9336536103030609,-0.02941280082700248,0.042884538171811634,0.3552439375530081,0.16877140976701263,191401093163.17242,POST-HOC HABITAT DIAGNOSTIC,"{""ATRDR"": 0.45977011494252873, ""IFCGR"": 0.16091954022988506, ""MCB"": 0.13793103448275862, ""SMV6"": 0.39080459770114945}",-0.004643658958305646,87,-0.0022335115621574804,87,0.48709997774241187,87,103.98850574712644,87,-0.007211677396595224,83,-0.012495667457110369,83,0.4229897308996413,83,98.5632183908046,87,0.5057471264367817,0.40963855421686746
IFCGR,independent,2018_2021,BEAR|MINORITY_POSITIVE_20D,423,0.44016649323621226,0.07086718993531868,0.9291328100646813,-0.05300402238187211,-0.08785538574051314,0.28436451536327106,0.23757294942589322,123032510039.32152,POST-HOC HABITAT DIAGNOSTIC,"{""ATRDR"": 0.8817966903073287, ""IFCGR"": 0.48699763593380613, ""MCB"": 0.11583924349881797, ""SMV6"": 0.15602836879432624}",0.00233099276272686,423,0.0032677252771273362,423,0.5592881142545971,423,42.959810874704495,423,0.007223034090422598,423,0.00840138995797469,423,0.5725458068950647,423,42.959810874704495,423,0.5342789598108747,0.5295508274231678
IFCGR,independent,2018_2021,BULL|MAJORITY_POSITIVE_20D,223,0.23204994797086367,0.23397142783728744,0.7660285721627126,0.05498494882099992,0.09658528473042327,0.726336403742067,0.22507381976481394,212836526041.9417,POST-HOC HABITAT DIAGNOSTIC,"{""ATRDR"": 0.852017937219731, ""IFCGR"": 0.29596412556053814, ""MCB"": 0.6636771300448431, ""SMV6"": 0.5739910313901345}",-0.0012896605717941198,223,-0.0009628195233908861,223,0.4796514415917172,223,53.54708520179372,223,0.0008629790959152363,223,0.004124653473142879,223,0.5016826392326611,223,53.54708520179372,223,0.484304932735426,0.5201793721973094
