trade_id,baseline_block,symbol,entry_signal_date,entry_execution_date,entry_year,feature_available_at,lineage_id,neighbor_lineage_id,base_repair_score,breakout_acceptance_score,assignment_margin
DEVELOPMENT_2024_2025:300001.SZ-001,DEVELOPMENT_2024_2025,300001.SZ,2025-02-11,2025-02-12,2025,2025-02-11T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.908675799087,0.488584474886,0.0114155251142
DEVELOPMENT_2024_2025:300003.SZ-001,DEVELOPMENT_2024_2025,300003.SZ,2024-05-09,2024-05-10,2024,2024-05-09T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.166666666667,0.684210526316,0.184210526316
DEVELOPMENT_2024_2025:300003.SZ-002,DEVELOPMENT_2024_2025,300003.SZ,2025-06-04,2025-06-05,2025,2025-06-04T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.13698630137,0.885844748858,0.36301369863
DEVELOPMENT_2024_2025:300009.SZ-001,DEVELOPMENT_2024_2025,300009.SZ,2025-05-29,2025-05-30,2025,2025-05-29T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.301369863014,0.547945205479,0.0479452054795
DEVELOPMENT_2024_2025:300014.SZ-001,DEVELOPMENT_2024_2025,300014.SZ,2025-03-03,2025-03-04,2025,2025-03-03T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.465753424658,0.634703196347,0.0342465753425
DEVELOPMENT_2024_2025:300033.SZ-001,DEVELOPMENT_2024_2025,300033.SZ,2024-09-24,2024-09-25,2024,2024-09-24T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.614035087719,0.377192982456,0.114035087719
DEVELOPMENT_2024_2025:300035.SZ-001,DEVELOPMENT_2024_2025,300035.SZ,2025-02-27,2025-02-28,2025,2025-02-27T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.429223744292,0.255707762557,0.0707762557078
DEVELOPMENT_2024_2025:300035.SZ-002,DEVELOPMENT_2024_2025,300035.SZ,2025-08-29,2025-09-01,2025,2025-08-29T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.7899543379,0.762557077626,0.262557077626
DEVELOPMENT_2024_2025:300043.SZ-001,DEVELOPMENT_2024_2025,300043.SZ,2024-08-30,2024-09-02,2024,2024-08-30T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.368421052632,0.872807017544,0.131578947368
DEVELOPMENT_2024_2025:300054.SZ-001,DEVELOPMENT_2024_2025,300054.SZ,2024-04-26,2024-04-29,2024,2024-04-26T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.438596491228,0.157894736842,0.0614035087719
DEVELOPMENT_2024_2025:300057.SZ-001,DEVELOPMENT_2024_2025,300057.SZ,2025-06-23,2025-06-24,2025,2025-06-23T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.301369863014,0.401826484018,0.0981735159817
DEVELOPMENT_2024_2025:300072.SZ-001,DEVELOPMENT_2024_2025,300072.SZ,2025-06-23,2025-06-24,2025,2025-06-23T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.24200913242,0.721461187215,0.221461187215
DEVELOPMENT_2024_2025:300092.SZ-001,DEVELOPMENT_2024_2025,300092.SZ,2025-03-17,2025-03-18,2025,2025-03-17T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.251141552511,0.602739726027,0.102739726027
DEVELOPMENT_2024_2025:300092.SZ-002,DEVELOPMENT_2024_2025,300092.SZ,2025-09-02,2025-09-03,2025,2025-09-02T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.0182648401826,0.703196347032,0.203196347032
DEVELOPMENT_2024_2025:300119.SZ-001,DEVELOPMENT_2024_2025,300119.SZ,2024-04-30,2024-05-06,2024,2024-04-30T15:30:00,L10_BASE_HIGH_ACCEPTANCE_LOW,L10_BASE_HIGH_ACCEPTANCE_LOW,0.947368421053,0.0526315789474,0.447368421053
DEVELOPMENT_2024_2025:300128.SZ-001,DEVELOPMENT_2024_2025,300128.SZ,2024-09-25,2024-09-26,2024,2024-09-25T15:30:00,L11_BASE_HIGH_ACCEPTANCE_HIGH,L11_BASE_HIGH_ACCEPTANCE_HIGH,0.543859649123,0.517543859649,0.0175438596491
DEVELOPMENT_2024_2025:300138.SZ-001,DEVELOPMENT_2024_2025,300138.SZ,2025-06-18,2025-06-19,2025,2025-06-18T15:30:00,L00_BASE_LOW_ACCEPTANCE_LOW,L00_BASE_LOW_ACCEPTANCE_LOW,0.171232876712,0.0593607305936,0.328767123288
DEVELOPMENT_2024_2025:300138.SZ-002,DEVELOPMENT_2024_2025,300138.SZ,2025-06-24,2025-06-25,2025,2025-06-24T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.162100456621,0.716894977169,0.216894977169
DEVELOPMENT_2024_2025:300142.SZ-001,DEVELOPMENT_2024_2025,300142.SZ,2025-07-24,2025-07-25,2025,2025-07-24T15:30:00,L01_BASE_LOW_ACCEPTANCE_HIGH,L01_BASE_LOW_ACCEPTANCE_HIGH,0.392694063927,0.817351598174,0.107305936073
