baseline_block,trade_id,symbol,entry_signal_date,feature_available_at,candidate_count,vacancies_before_selection,selection_pressure,selected_rank,selected_rank_percentile,selected_rs_score,cutoff_rs_score,selected_margin_to_cutoff,selection_lineage_id,entry_year
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300001.SZ-001,300001.SZ,2025-02-11,2025-02-11T15:30:00+08:00,3,7,0.428571428571,3,0,0.463836477987,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300003.SZ-001,300003.SZ,2024-05-09,2024-05-09T15:30:00+08:00,3,4,0.75,2,0.5,0.524212598425,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300003.SZ-002,300003.SZ,2025-06-04,2025-06-04T15:30:00+08:00,2,6,0.333333333333,1,1,0.807362784471,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300009.SZ-001,300009.SZ,2025-05-29,2025-05-29T15:30:00+08:00,2,10,0.2,2,0,0.603443526171,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300014.SZ-001,300014.SZ,2025-03-03,2025-03-03T15:30:00+08:00,1,3,0.333333333333,1,1,0.608060453401,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300033.SZ-001,300033.SZ,2024-09-24,2024-09-24T15:30:00+08:00,8,10,0.8,5,0.428571428571,0.688743455497,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300035.SZ-001,300035.SZ,2025-02-27,2025-02-27T15:30:00+08:00,1,2,0.5,1,1,0.539304123711,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300035.SZ-002,300035.SZ,2025-08-29,2025-08-29T15:30:00+08:00,10,2,5,1,1,0.812511938873,0.666475644699,0.146036294174,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300043.SZ-001,300043.SZ,2024-08-30,2024-08-30T15:30:00+08:00,1,10,0.1,1,1,0.778622327791,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300054.SZ-001,300054.SZ,2024-04-26,2024-04-26T15:30:00+08:00,3,10,0.3,3,0,0.739708939709,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300057.SZ-001,300057.SZ,2025-06-23,2025-06-23T15:30:00+08:00,7,10,0.7,5,0.333333333333,0.623575129534,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300072.SZ-001,300072.SZ,2025-06-23,2025-06-23T15:30:00+08:00,7,10,0.7,4,0.5,0.661787564767,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300092.SZ-001,300092.SZ,2025-03-17,2025-03-17T15:30:00+08:00,2,2,1,2,0,0.562980209546,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300092.SZ-002,300092.SZ,2025-09-02,2025-09-02T15:30:00+08:00,3,1,3,1,1,0.784300666032,0.662321598478,0.121979067555,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300119.SZ-001,300119.SZ,2024-04-30,2024-04-30T15:30:00+08:00,1,6,0.166666666667,1,1,0.737371663244,,,L_UNCONTESTED,2024
