baseline_block,entry_execution_date,entry_year,entry_cohort_size,completed_entries,false_breakout_rate,mean_oriented_order,cohort_realized_pnl,industry_concentration,mean_breadth_composite,mean_entry_rs_score,mean_index_return_20d,mean_index_realized_vol20,mean_entry_beta60,mean_entry_log_amount20
DEVELOPMENT_2024_2025,2024-03-12,2024,2,2,1,0.29166666666666663,-6166.8450000000157,0.5,0.98684210526315796,0.75412844036697257,0.2189644381544151,0.428184848703829,0.53624314176879062,20.060369027582265
DEVELOPMENT_2024_2025,2024-04-29,2024,3,3,1,0.75163398692810457,-21111.430999999982,0.33333333333333331,0.30701754385964902,0.78322938322938318,0.0091464379947230005,0.3338859043523778,0.87935815728313538,18.811149265458656
DEVELOPMENT_2024_2025,2024-04-30,2024,1,1,0,-0.1875,21746.957750000016,1,0.49122807017543862,0.8881496881496882,0.020201572223731399,0.34487121617711408,0.89512851781753633,19.077996334994019
DEVELOPMENT_2024_2025,2024-05-06,2024,1,1,0,-0.1333333333333333,-1124.7730000000138,1,0.30701754385964902,0.7373716632443531,0.0027106782029806,0.34504613594449729,0.76002636245464361,18.434910204943144
DEVELOPMENT_2024_2025,2024-05-07,2024,1,1,1,-0.5714285714285714,-115.91300000000912,1,0.43859649122807021,0.80494845360824741,-0.0035724434532759999,0.33927039251256591,0.86874391830569553,20.041076983016399
DEVELOPMENT_2024_2025,2024-05-09,2024,1,1,1,0.41666666666666652,-6254.739999999998,1,0.56140350877192968,0.6411881188118812,0.0068352621584757004,0.33887547934190287,0.90952843987390464,18.759066221200225
DEVELOPMENT_2024_2025,2024-05-10,2024,3,3,1,0.42424242424242425,-13011.466000000011,0.33333333333333331,0.7807017543859649,0.61587926509186353,0.047130480779101903,0.32940895062249043,0.86271795156209585,19.60801939210609
DEVELOPMENT_2024_2025,2024-05-14,2024,1,1,1,0.80000000000000004,-10631.160000000003,1,0.41228070175438591,0.78297872340425534,0.027449682831787298,0.32372607001415699,0.86976968027992441,18.854443402189951
DEVELOPMENT_2024_2025,2024-09-02,2024,1,1,1,0.5,-4841.9499999999971,1,0.175438596491228,0.77862232779097384,-0.027603684241387299,0.19297674612391699,1.09259035350492,18.768532183497285
DEVELOPMENT_2024_2025,2024-09-25,2024,8,8,0,-0.47233893557422962,625179.24800000002,0.5,0.65350877192982448,0.71302356020942403,0.037906831232528103,0.246541389241409,1.3881084448367227,19.229935318450636
DEVELOPMENT_2024_2025,2024-09-26,2024,2,2,0,-0.63636363636363635,81215.157999999981,0.5,0.82017543859649111,0.60283251231527091,0.051353451495072602,0.25126161689693549,0.83881114724337014,18.925647565741468
DEVELOPMENT_2024_2025,2024-12-03,2024,2,2,1,0.125,-29807.356999999982,0.5,0.46052631578947362,0.54173055859802832,0.051882363074872102,0.3974567100872558,0.71736715383352068,18.810325623150579
DEVELOPMENT_2024_2025,2024-12-06,2024,1,1,1,0.22222222222222221,-16710.575000000012,1,0.26315789473684198,0.36764044943820212,-0.0260966714456503,0.35813197236450323,0.8341795652882763,18.468409008939712
DEVELOPMENT_2024_2025,2024-12-09,2024,2,2,1,0.75,-27686.998000000029,0.5,0.33771929824561392,0.62604049493813274,-0.010395034388521501,0.36202819327969532,0.95711160327139022,18.937633221462768
DEVELOPMENT_2024_2025,2024-12-10,2024,3,3,1,0.66666666666666663,-46848.891000000003,0.33333333333333331,0.17543859649122803,0.55884353741496595,-0.043666255372417501,0.34468415658147422,0.96866372297771408,19.020268203117585
DEVELOPMENT_2024_2025,2024-12-11,2024,2,2,1,0.66666666666666652,-37400.415000000008,0.5,0.42543859649122812,0.75210227272727259,-0.026260515731709101,0.34655972305438221,1.0030452401616152,19.212669868314094
