trade_id,baseline_block,symbol,entry_signal_date,entry_execution_date,entry_year,entry_industry,entry_snapshot_id,entry_beta60,entry_log_amount20,outcome_class,extreme_winner,winner20,false_breakout,severe_loss,mfe,round_trip_return,realized_pnl,holding_trading_days,canonical_exit_reason,entry_rs_score,entry_mom20,entry_box_width,entry_minvol_location,entry_breakout_volume_ratio,index_return_20d,index_realized_vol20,breadth_composite,rs_improvement,volatility_compression,range_compression,downside_amount_contraction,rs_improvement_neighbor,volatility_compression_neighbor,range_compression_neighbor,downside_amount_contraction_neighbor,higher_low_formation,prior_high_approach,amount_release
DEVELOPMENT_2024_2025:300001.SZ-001,DEVELOPMENT_2024_2025,300001.SZ,2025-02-11,2025-02-12,2025,电网设备,PITB-80B916173F29877FD683,0.76678042811957314,19.890061206811154,ordinary_loser,False,False,True,False,0.063749999999999904,-0.014488541120456999,-2192.4520000000002,19,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.46383647798742139,0.1823529411764708,0.18069916297390451,0.076294277929155593,1.2099041741277152,0.11467218657941092,0.28537244582234106,0.9634703196347032,0.0078671020885952153,-0.045505661106242601,-0.023842615450445359,0.0065919831901860571,0.018969130333657103,0.032306269778332009,-0.01954324914851166,0.10887002524276246,0.096300769286020743,0.1079492175613686,0.079026815156140851
DEVELOPMENT_2024_2025:300003.SZ-001,DEVELOPMENT_2024_2025,300003.SZ,2024-05-09,2024-05-10,2024,医疗器械,PITB-80B916173F29877FD683,0.62283564957676163,19.33035111881183,ordinary_loser,False,False,True,False,0.076375404530744304,-0.0015255864263253999,-158.07899999999609,11,MARKET_MA20_X2,0.52421259842519685,0.12445414847161571,0.1465063861758075,0.2037037037037038,1.881591992935064,0.04713048077910198,0.32940895062249048,0.7807017543859649,0.12618987245075367,-0.018316006071223634,0.0032804811372337817,0.19726194964918742,0.097504086546754284,0.0094732883790607514,-0.0098610720999066925,0.24159071729304704,-0.017658808197913291,0.12895478692534751,-0.29619085344265073
DEVELOPMENT_2024_2025:300003.SZ-002,DEVELOPMENT_2024_2025,300003.SZ,2025-06-04,2025-06-05,2025,医疗器械,PITB-80B916173F29877FD683,0.81177485276629779,19.499370628823776,ordinary_loser,False,False,True,False,0.054093567251461902,-0.046051858781275101,-7585.3190000000013,12,MARKET_MA20_X2,0.80736278447121834,0.2366345311130586,0.14107485604606529,0.38888888888888878,16.680114687888807,0.027288769273219327,0.17855855517621852,0.27168949771689499,0.20998028607043129,0.33839001929731083,0.076116435498349899,-0.13473497218628294,0.011779025475409904,0.3203947977855478,0.078739206846488607,-0.045889292753228283,0.010850016024065844,0.2309329094660727,5.0629322021479357
DEVELOPMENT_2024_2025:300009.SZ-001,DEVELOPMENT_2024_2025,300009.SZ,2025-05-29,2025-05-30,2025,生物制品,PITB-80B916173F29877FD683,0.76705167994813539,18.924729545540465,ordinary_loser,False,False,True,False,0.061590145576707798,-0.056748144633203802,-9030.2169999999824,13,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,0.60344352617079888,0.14376590330788819,0.17473118279569899,0.26136363636363658,1.5860605241510231,0.068405713258584466,0.19259350041861656,0.71461187214611865,0.038771210310840937,0.36286670482781286,0.028960572988026734,-0.10322486927965235,0.018610821953484888,0.33114882710143989,0.031277618475199581,-0.10564671229863981,0.034571344065088508,0.069001044687624982,-1.0418268284598347
DEVELOPMENT_2024_2025:300014.SZ-001,DEVELOPMENT_2024_2025,300014.SZ,2025-03-03,2025-03-04,2025,电池,PITB-80B916173F29877FD683,0.7174635382458352,21.261564134155904,ordinary_loser,False,False,True,False,0.053793657165796802,-0.019569871082470599,-3024.0219999999972,15,MARKET_MA20_X2,0.60806045340050374,0.19577960140679959,0.1455875412930627,0.140461215932913,2.7940291113332898,0.062800902064400477,0.29859595153871932,0.39726027397260272,0.15935179423912244,0.03869488664413806,0.069326058393319137,0.0081774748852991852,0.024372790904063968,0.068404575241240606,0.054816919130499145,0.11176758800552777,0.018167303955448934,0.20002399104029459,0.59296151474402414
DEVELOPMENT_2024_2025:300033.SZ-001,DEVELOPMENT_2024_2025,300033.SZ,2024-09-24,2024-09-25,2024,软件开发,PITB-80B916173F29877FD683,1.6604526846849246,20.196236949821337,extreme_winner,True,True,False,False,1.8731752594717743,1.247462435463448,118387.68799999999,34,MARKET_MA20_X2,0.68874345549738214,0.19843587069864441,0.125605390608549,0.061176470588234798,4.49499018142936,0.037906831232528138,0.24654138924140906,0.65350877192982459,0.10431289399533369,0.079741068027144701,0.044675077000428068,0.05183774181282752,0.0099336122005728236,0.059711833330256314,0.040616310877373163,0.071554616648831282,0.039712637406867833,0.21440564640769505,1.2439661225315319
DEVELOPMENT_2024_2025:300035.SZ-001,DEVELOPMENT_2024_2025,300035.SZ,2025-02-27,2025-02-28,2025,电池,PITB-80B916173F29877FD683,0.83822095857163303,20.077534166639616,ordinary_winner,False,False,False,False,0.1927710843373493,0.0283020685866344,4567.6489999999912,17,MARKET_MA20_X2,0.53930412371134018,0.086608927381745401,0.18726307808946169,0.085020242914980004,2.5092126017147129,0.1180103265959036,0.24883762012347702,0.89954337899543368,-0.1011222841957756,0.14884512671852218,0.10167529429398865,0.035201454199820403,-0.21246552907383931,0.21280478346080639,0.11927598028284971,-0.086813549032886794,0.0020768439448392907,0.12861522810031584,0.39653740078624011
DEVELOPMENT_2024_2025:300035.SZ-002,DEVELOPMENT_2024_2025,300035.SZ,2025-08-29,2025-09-01,2025,电池,PITB-80B916173F29877FD683,1.1496862669607113,20.576519465938642,ordinary_winner,False,False,False,False,0.17702448210922789,0.062491234787958698,11055.120000000015,26,MARKET_MA20_X2,0.81251193887297046,0.31513647642679898,0.15632754342431759,0.1706349206349205,3.8680348873591379,0.16575101465688324,0.21159798242664385,0.4954337899543379,0.19869942835426385,-0.087982418845942933,-0.064595203348148431,0.16275545730463709,0.064406010665199867,-0.05688193091727245,-0.079950930537633844,0.14232535747184943,0.081247672272879989,0.16705477431653779,0.71668293682592132
DEVELOPMENT_2024_2025:300043.SZ-001,DEVELOPMENT_2024_2025,300043.SZ,2024-08-30,2024-09-02,2024,游戏Ⅱ,PITB-80B916173F29877FD683,1.09259035350492,18.768532183497285,ordinary_loser,False,False,True,False,0.011152416356877399,-0.050228581827094797,-4841.9499999999971,2,MARKET_MA20_X2,0.77862232779097396,0.170940170940171,0.16666666666666649,0.24324324324324309,4.0733363948049757,-0.027603684241387372,0.19297674612391705,0.175438596491228,0.11500356326979452,-0.17135043907085612,-0.053342829164070238,-0.023262679512651596,-0.04062946472494583,-0.17685468949051208,-0.076635102400352401,-0.064877683927076435,-0.0088496152769826121,0.043211385399447577,0.19898051975015052
DEVELOPMENT_2024_2025:300054.SZ-001,DEVELOPMENT_2024_2025,300054.SZ,2024-04-26,2024-04-29,2024,电子化学品Ⅱ,PITB-80B916173F29877FD683,0.86382020395128645,18.705576296204054,ordinary_loser,False,False,True,False,0.085982982534706695,-0.012575144328340501,-1266.0979999999836,17,MARKET_MA20_X2,0.73970893970893981,0.066028708133971395,0.1189516129032257,0.14903846153846101,2.5148351170801337,0.0091464379947230334,0.3338859043523778,0.30701754385964908,0.073828033076925315,-0.038275504572325869,-0.010048034906756834,-0.055937120404777052,0.0047002929757124223,-0.042130775828865041,0.019575719386683677,-0.049008176320394892,-0.040024864147236834,0.088253548623452721,0.52990824750189347
