feature,quintile,realized_bin_count,n,feature_min,feature_median,feature_max,round_trip_return_n,round_trip_return_mean,round_trip_return_median,mfe_n,mfe_mean,mfe_median,mae_n,mae_mean,mae_median,return_5d_n,return_5d_mean,return_5d_median,return_10d_n,return_10d_mean,return_10d_median,return_20d_n,return_20d_mean,return_20d_median,winner_ge20_n,winner_ge20_rate,winner_ge50_n,winner_ge50_rate,severe_loss_le_neg10_n,severe_loss_le_neg10_rate,extreme_loss_le_neg20_n,extreme_loss_le_neg20_rate
advance_decline_balance,1,5,79,-0.7314285714285713,-0.3209745762711864,-0.13872832369942195,79,0.0013367286248884677,-0.0153870896904952,79,0.11133647828785814,0.0634328358208953,79,-0.054999769296259375,-0.04437564499484,54,0.025264952041164076,0.0132587218026816,30,0.04806417466152124,0.03845797042905,15,0.14013147274560742,0.1340422554918148,79,0.05063291139240506,79,0.012658227848101266,79,0.12658227848101267,79,0.0
advance_decline_balance,2,5,76,-0.13486842105263164,-0.010633119922123652,0.11619283065512975,76,0.02555128373696425,-0.008549024331930749,76,0.13292883778328082,0.05720299485454465,76,-0.05478714544140981,-0.047637664068909,47,0.00958273225588659,-0.0025773195876287,25,0.062127221677266184,0.0479381443298969,14,0.2072335203828304,0.0862040061898211,76,0.07894736842105263,76,0.02631578947368421,76,0.09210526315789473,76,0.0
advance_decline_balance,3,5,78,0.1218097447795824,0.2530864197530864,0.3333333333333333,78,-0.004179772008937617,-0.0363270517173348,78,0.10449194042975876,0.0472618329457148,78,-0.06454672631571604,-0.058446637842758,51,0.01641703138093229,-0.0157342657342657,26,0.036553622124596646,0.01555323012216365,7,0.19440579285898843,0.1229641693811074,78,0.0641025641025641,78,0.02564102564102564,78,0.07692307692307693,78,0.01282051282051282
advance_decline_balance,4,5,79,0.3359683794466403,0.45454545454545453,0.5926966292134832,79,0.03337102680436845,-0.0125751443283405,79,0.18371309003661193,0.0789297658862875,79,-0.06619571424921616,-0.0546762589928057,71,0.028052968463616174,0.0095348837209301,51,0.051514903557934866,0.0176165803108807,21,0.19286056387458597,0.1595361855257895,79,0.12658227848101267,79,0.05063291139240506,79,0.1518987341772152,79,0.0
advance_decline_balance,5,5,75,0.597752808988764,0.6955958549222798,0.9874213836477987,75,0.09814317076080858,-0.0042059969349554,75,0.2949090147603096,0.0795832409665262,75,-0.05451273337831542,-0.0386784850926672,63,0.1091690480736517,0.0260344026034402,53,0.10560474389213614,0.0319148936170212,31,0.23179881149558165,0.0773493975903614,75,0.16,75,0.06666666666666667,75,0.10666666666666667,75,0.013333333333333334
breadth_above_ma10,1,5,78,0.1773117254528122,0.3795336787564767,0.452914798206278,78,-0.01296983995361996,-0.0280051006195252,78,0.09658086502835718,0.05765793774039435,78,-0.05762515099275626,-0.0489369316156085,49,0.026827059182648348,0.0080500894454382,29,0.011002988025431525,0.0,11,0.1030922630834963,0.0685172647257956,78,0.038461538461538464,78,0.0,78,0.11538461538461539,78,0.0
breadth_above_ma10,2,5,77,0.45294117647058824,0.5006002400960384,0.5816326530612245,77,0.02229674494410898,-0.0154336777923208,77,0.11603058399717318,0.0506545247581105,77,-0.047277090818354336,-0.0407303370786517,44,0.032653276316752924,0.00011297199949689997,18,0.06351069223453536,0.03518923530324185,12,0.10750100520969043,0.07696060769831256,77,0.05194805194805195,77,0.03896103896103896,77,0.03896103896103896,77,0.0
breadth_above_ma10,3,5,77,0.5842490842490843,0.6312419974391805,0.6726057906458798,77,0.0033553583016277563,-0.021275513836203,77,0.12059977657858179,0.0569122098890009,77,-0.06132197014812755,-0.0567644276253547,52,0.024339973044902898,0.0017817982456140502,27,0.06534306364050796,0.0226358148893359,13,0.14276172891042105,0.0628525382755842,77,0.09090909090909091,77,0.0,77,0.12987012987012986,77,0.012987012987012988
breadth_above_ma10,4,5,77,0.6762114537444934,0.75,0.7855477855477856,77,0.02671896094875163,-0.0365877601394105,77,0.1708675657056626,0.0662047729022323,77,-0.06753544734339145,-0.0616504854368933,64,0.010743023036889046,0.00617612810194095,47,0.06284001689033655,0.0536735591728991,19,0.1919785598765872,0.1600853788687299,77,0.1038961038961039,77,0.03896103896103896,77,0.12987012987012986,77,0.012987012987012988
breadth_above_ma10,5,5,78,0.7885714285714286,0.8575197889182058,1.0,78,0.11150771034219027,0.00014325119493325004,78,0.3175565029977675,0.1249535105402153,78,-0.06159291015825623,-0.051380410273332205,77,0.0885308192941706,0.0142671854734111,64,0.09359045061962522,0.04083654204446645,33,0.2931028743745642,0.1722731906218144,78,0.19230769230769232,78,0.10256410256410256,78,0.14102564102564102,78,0.0
