baseline_block,trade_id,symbol,entry_signal_date,entry_execution_date,exit_signal_date,exit_execution_date,canonical_exit_reason,round_trip_return,realized_pnl,capital,holding_trading_days,mfe,mae,days_to_mfe,days_to_mae,giveback_from_peak,return_5d,return_10d,return_20d,entry_rs_score,entry_mom20,entry_mom60,entry_mom120,entry_box_width,entry_vol_ratio,entry_minvol_location,entry_minimum_volume_ratio,entry_breakout_volume_ratio,pnl_bucket
EXTENDED_2018_2021,EXTENDED_2018_2021:300122.SZ-001,300122.SZ,2018-01-09,2018-01-10,2018-01-16,2018-01-17,MARKET_MA20_X2,0.0471646580020965,4600.320000000007,97537.43999999999,5,0.07666256157635476,-0.004926108374384119,1,0,0.0020964257417458027,0.04064039408866993,,,0.9102564102564104,0.08497167610796397,0.17715112075198847,0.7393162393162396,0.11171563293434894,0.7356720162175026,0.16233766233766242,0.49171717039367835,2.8647115962840677,ORDINARY_WINNER_0_TO_20
EXTENDED_2018_2021,EXTENDED_2018_2021:300068.SZ-001,300068.SZ,2018-03-13,2018-03-14,2018-03-23,2018-03-26,MARKET_EMERGENCY_X0.96,-0.04485698350729023,-4464.5899999999965,99529.43,8,0.027607361963190247,-0.0588957055214725,4,7,0.05958090988765824,0.014723926380368013,,,0.3375,0.10235690235690242,0.07555847568988172,-0.1352350765979925,0.1659513590844064,0.8348609386282708,0.17073170731707293,0.4188969226598016,1.3013150292968805,SMALL_LOSS_0_TO_NEG10
EXTENDED_2018_2021,EXTENDED_2018_2021:300144.SZ-001,300144.SZ,2018-03-07,2018-03-08,2018-03-23,2018-03-26,MARKET_EMERGENCY_X0.96,-0.025157464038170988,-2530.6520000000028,100592.492,12,0.06598984771573613,-0.03248730964467006,3,11,0.07287320007878029,0.027918781725888353,0.005583756345177715,,0.5166666666666666,0.07046070460704601,0.0881542699724518,0.007139214686384454,0.1126202603282398,0.6978808532055497,0.41708542713567787,0.4587922721996418,0.8216924974470274,SMALL_LOSS_0_TO_NEG10
EXTENDED_2018_2021,EXTENDED_2018_2021:300158.SZ-001,300158.SZ,2018-03-09,2018-03-12,2018-03-23,2018-03-26,MARKET_EMERGENCY_X0.96,-0.10981237484689131,-11480.603000000003,104547.443,10,0.02274204028589999,-0.11371020142949972,0,9,0.11695987322245992,-0.04938271604938271,-0.09941520467836262,,0.44337349397590364,0.1208791208791209,0.11030478955007261,-0.09520993494973384,0.1879460745440127,0.6799935594096285,0.2658227848101268,0.23612546394649533,2.1932678401189185,SEVERE_LOSS_NEG10_TO_NEG20
EXTENDED_2018_2021,EXTENDED_2018_2021:300324.SZ-001,300324.SZ,2018-03-19,2018-03-20,2018-03-23,2018-03-26,MARKET_EMERGENCY_X0.96,-0.01483779378516223,-1473.0840000000026,99279.18000000001,4,0.06198830409356715,-0.037426900584795364,2,3,0.0487559224401328,,,,0.5695238095238095,0.0854647535870241,0.17488183659689382,0.07540173053152022,0.19517241379310324,0.8125124163690938,0.18374558303886923,0.2996320293939029,1.3592845753423546,SMALL_LOSS_0_TO_NEG10
EXTENDED_2018_2021,EXTENDED_2018_2021:300014.SZ-001,300014.SZ,2018-05-11,2018-05-14,2018-05-28,2018-05-29,MARKET_MA20_X2,-0.06282087643184656,-6190.900000000009,98548.45,11,0.02996444895886241,-0.09040121889283903,0,9,0.06586810852935801,-0.003047232097511565,-0.08684611477907567,,0.524,0.11431805319750987,0.20723482526057646,-0.10132359653126422,0.19751552795031047,0.828905134628956,0.03765690376569031,0.3624930476224633,4.160409567508056,SMALL_LOSS_0_TO_NEG10
EXTENDED_2018_2021,EXTENDED_2018_2021:300137.SZ-001,300137.SZ,2018-05-18,2018-05-21,2018-05-28,2018-05-29,MARKET_MA20_X2,-0.09415799511493293,-9061.402000000002,96236.14,6,0.004784688995215447,-0.10956937799043054,0,5,0.05061732525847361,-0.09377990430621996,,,0.5778443113772456,0.13985627418463253,0.2332535885167466,0.010289073983341446,0.182567726737338,0.7856615628710196,0.18454935622317598,0.4542946104864562,1.480039923641231,SMALL_LOSS_0_TO_NEG10
EXTENDED_2018_2021,EXTENDED_2018_2021:300498.SZ-001,300498.SZ,2018-05-17,2018-05-18,2018-05-28,2018-05-29,MARKET_MA20_X2,0.012646980793007991,1273.3559999999998,100684.584,7,0.033764068361817445,-0.040433513964151735,3,1,0.005277154263265558,-0.005002084201750634,,,0.3362573099415205,0.1533653846153844,0.09293849658314346,-0.09403323262839891,0.13440077632217373,0.7855204182256791,0.0,0.3867996151500183,1.760463080938349,ORDINARY_WINNER_0_TO_20
EXTENDED_2018_2021,EXTENDED_2018_2021:300188.SZ-001,300188.SZ,2018-08-29,2018-08-30,2018-08-31,2018-09-03,MARKET_MA20_X2,-0.03465988556897654,-3339.350000000006,96346.25,2,0.0,-0.03948051948051956,0,1,0.012841703750794582,,,,0.8758620689655172,0.09575070821529752,0.12180974477958251,0.3122985581000848,0.16000000000000014,0.5761127471320683,0.1423076923076926,0.4774810943014717,1.3638685323970958,SMALL_LOSS_0_TO_NEG10
EXTENDED_2018_2021,EXTENDED_2018_2021:300498.SZ-002,300498.SZ,2018-09-26,2018-09-27,2018-10-09,2018-10-10,MARKET_MA20_X2,-0.019669200950819855,-1868.0800000000017,94974.88,4,0.002107925801011934,-0.03794266441821237,0,2,0.014188593868189204,,,,0.8716049382716049,0.14217098943323725,0.08733424782807497,0.10619896128010575,0.17599999999999993,0.6269886952952881,0.22727272727272715,0.44565378599690664,2.813057269087048,SMALL_LOSS_0_TO_NEG10
