module,crowdout_arm,baseline_rank,baseline_winner_symbol,baseline_entry_signal_date,baseline_realized_pnl,baseline_realized_return,blockage_reason,lineage_type,blocking_extra_count,blocking_episodes,blocking_symbols,blocking_entry_signal_dates,blocking_rs_ranks,blocking_holding_intervals,blocking_realized_pnls,blocking_realized_returns,blocking_set_completed_count,blocking_set_aggregate_realized_pnl,descriptive_pnl_gap,counterfactual_status
B60,A2_MINUS_B60,2,300497.SZ,2025-11-06,129486.71399999998,0.7808181171091552,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRY,CROWDOUT_SET,9,300041.SZ@2025-10-27|300171.SZ@2025-10-24|300598.SZ@2025-11-04|300775.SZ@2025-10-24|300780.SZ@2025-10-24|300971.SZ@2025-11-05|301048.SZ@2025-10-30|301179.SZ@2025-10-27|301285.SZ@2025-10-27,300041.SZ|300171.SZ|300598.SZ|300775.SZ|300780.SZ|300971.SZ|301048.SZ|301179.SZ|301285.SZ,2025-10-27|2025-10-24|2025-11-04|2025-10-24|2025-10-24|2025-11-05|2025-10-30|2025-10-27|2025-10-27,245|374|163|588|281|166|223|318|138,2025-10-28..2025-11-18|2025-10-27..2025-11-18|2025-11-05..2025-11-18|2025-10-27..2025-11-18|2025-10-27..2025-11-18|2025-11-06..2025-11-18|2025-10-31..2025-11-18|2025-10-28..2025-11-18|2025-10-28..2025-11-18,5020.911|25315.374|1608.1|15767.752|-6104.512|2490.288|-2699.042|-6239.189|8061.64,0.0345005372243|0.170310476626|0.011079265562|0.109322080951|-0.0398177933011|0.0171025147102|-0.0180090144023|-0.042380880152|0.0555419752661,9,43221.32200000004,,NOT_A_PORTFOLIO_COUNTERFACTUAL
B60,A2_MINUS_B60,4,300437.SZ,2025-11-06,109502.11499999999,0.6493382854768993,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRY,CROWDOUT_SET,9,300041.SZ@2025-10-27|300171.SZ@2025-10-24|300598.SZ@2025-11-04|300775.SZ@2025-10-24|300780.SZ@2025-10-24|300971.SZ@2025-11-05|301048.SZ@2025-10-30|301179.SZ@2025-10-27|301285.SZ@2025-10-27,300041.SZ|300171.SZ|300598.SZ|300775.SZ|300780.SZ|300971.SZ|301048.SZ|301179.SZ|301285.SZ,2025-10-27|2025-10-24|2025-11-04|2025-10-24|2025-10-24|2025-11-05|2025-10-30|2025-10-27|2025-10-27,245|374|163|588|281|166|223|318|138,2025-10-28..2025-11-18|2025-10-27..2025-11-18|2025-11-05..2025-11-18|2025-10-27..2025-11-18|2025-10-27..2025-11-18|2025-11-06..2025-11-18|2025-10-31..2025-11-18|2025-10-28..2025-11-18|2025-10-28..2025-11-18,5020.911|25315.374|1608.1|15767.752|-6104.512|2490.288|-2699.042|-6239.189|8061.64,0.0345005372243|0.170310476626|0.011079265562|0.109322080951|-0.0398177933011|0.0171025147102|-0.0180090144023|-0.042380880152|0.0555419752661,9,43221.32200000004,,NOT_A_PORTFOLIO_COUNTERFACTUAL
B60,A2_MINUS_B60,7,301165.SZ,2025-06-24,74354.74000000003,0.4693660282986508,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRY,CROWDOUT_SET,5,300138.SZ@2025-06-23|300505.SZ@2025-06-23|300627.SZ@2025-06-23|301035.SZ@2025-06-23|301162.SZ@2025-06-23,300138.SZ|300505.SZ|300627.SZ|301035.SZ|301162.SZ,2025-06-23|2025-06-23|2025-06-23|2025-06-23|2025-06-23,73|159|184|262|100,2025-06-24..2025-08-11|2025-06-24..2025-08-29|2025-06-24..2025-09-04|2025-06-24..2025-07-08|2025-06-24..2025-08-01,12335.141|15528.427|13872.501|-1361.425|2711.507,0.0829221919682|0.106714045539|0.0974834863794|-0.00946132128741|0.0181506178089,5,43086.15099999999,,NOT_A_PORTFOLIO_COUNTERFACTUAL
B60,A2_MINUS_B60,10,301141.SZ,2025-06-04,52587.453,0.34269352956241406,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRY,CROWDOUT_SET,7,300034.SZ@2025-05-29|300039.SZ@2025-05-29|300254.SZ@2025-05-29|300381.SZ@2025-05-29|300498.SZ@2025-06-03|300579.SZ@2025-05-29|301175.SZ@2025-06-03,300034.SZ|300039.SZ|300254.SZ|300381.SZ|300498.SZ|300579.SZ|301175.SZ,2025-05-29|2025-05-29|2025-05-29|2025-05-29|2025-06-03|2025-05-29|2025-06-03,354|390|221|271|316|433|361,2025-05-30..2025-06-18|2025-05-30..2025-06-23|2025-05-30..2025-06-23|2025-05-30..2025-06-17|2025-06-04..2025-06-23|2025-05-30..2025-06-23|2025-06-04..2025-06-23,84.518|-5626.145|1282.763|-3621.735|96.6329999999|6690.75|-4692.644,0.000546339983652|-0.0364415399686|0.00794396998718|-0.0231894893293|0.000614968107228|0.0442067852782|-0.0299523112562,7,-5785.860000000102,,NOT_A_PORTFOLIO_COUNTERFACTUAL
B60,A2_MINUS_B60,11,300128.SZ,2024-09-25,51213.728,0.5362502665873453,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRY,CROWDOUT_SET,5,300002.SZ@2024-09-24|300139.SZ@2024-09-24|300274.SZ@2024-09-24|300409.SZ@2024-09-24|301152.SZ@2024-09-24,300002.SZ|300139.SZ|300274.SZ|300409.SZ|301152.SZ,2024-09-24|2024-09-24|2024-09-24|2024-09-24|2024-09-24,50|77|32|54|91,2024-09-25..2024-11-19|2024-09-25..2024-11-18|2024-09-25..2024-11-05|2024-09-25..2024-11-19|2024-09-25..2024-11-19,28310.52|24275.973|12872.827|55369.6351|54300.204,0.238765388193|0.219964275609|0.150307008497|0.476174380869|0.533817081864,5,175129.1591,,NOT_A_PORTFOLIO_COUNTERFACTUAL
B60,A2_MINUS_B60,14,300457.SZ,2025-08-28,42546.33800000002,0.23697895351636222,OUTRANKED,CROWDOUT_SET,3,300531.SZ@2025-08-28|300619.SZ@2025-08-28|301379.SZ@2025-08-28,300531.SZ|300619.SZ|301379.SZ,2025-08-28|2025-08-28|2025-08-28,194|215|209,2025-08-29..2025-09-04|2025-08-29..2025-10-15|2025-08-29..2025-09-04,-20931.702|54592.237|-16689.456,-0.142076309341|0.366248509497|-0.115035486123,3,16971.079000000056,,NOT_A_PORTFOLIO_COUNTERFACTUAL
B60,A2_MINUS_B60,15,300763.SZ,2025-08-29,30839.55600000001,0.1894477275970783,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRY,CROWDOUT_SET,5,300016.SZ@2025-08-13|300531.SZ@2025-08-28|300619.SZ@2025-08-28|300627.SZ@2025-06-23|301379.SZ@2025-08-28,300016.SZ|300531.SZ|300619.SZ|300627.SZ|301379.SZ,2025-08-13|2025-08-28|2025-08-28|2025-06-23|2025-08-28,126|194|215|184|209,2025-08-14..2025-09-11|2025-08-29..2025-09-04|2025-08-29..2025-10-15|2025-06-24..2025-09-04|2025-08-29..2025-09-04,-2236.769|-20931.702|54592.237|13872.501|-16689.456,-0.0133137971921|-0.142076309341|0.366248509497|0.0974834863794|-0.115035486123,5,28606.81100000006,,NOT_A_PORTFOLIO_COUNTERFACTUAL
B60,A2_MINUS_B60,16,300459.SZ,2024-09-25,30001.42999999998,0.25154392397363423,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRY,CROWDOUT_SET,5,300002.SZ@2024-09-24|300139.SZ@2024-09-24|300274.SZ@2024-09-24|300409.SZ@2024-09-24|301152.SZ@2024-09-24,300002.SZ|300139.SZ|300274.SZ|300409.SZ|301152.SZ,2024-09-24|2024-09-24|2024-09-24|2024-09-24|2024-09-24,50|77|32|54|91,2024-09-25..2024-11-19|2024-09-25..2024-11-18|2024-09-25..2024-11-05|2024-09-25..2024-11-19|2024-09-25..2024-11-19,28310.52|24275.973|12872.827|55369.6351|54300.204,0.238765388193|0.219964275609|0.150307008497|0.476174380869|0.533817081864,5,175129.1591,,NOT_A_PORTFOLIO_COUNTERFACTUAL
B60,A2_MINUS_B60,17,300357.SZ,2025-07-16,28256.096999999994,0.19052158888553075,OUTRANKED,CROWDOUT_PAIR,1,301509.SZ@2025-07-16,301509.SZ,2025-07-16,53,2025-07-17..2025-08-11,-3521.294,-0.0235681108386,1,-3521.2940000000235,31777.391000000018,NOT_A_PORTFOLIO_COUNTERFACTUAL
B60,A2_MINUS_B60,18,300182.SZ,2024-09-24,27105.71099999998,0.22023205536686066,OUTRANKED,CROWDOUT_SET,5,300002.SZ@2024-09-24|300139.SZ@2024-09-24|300274.SZ@2024-09-24|300409.SZ@2024-09-24|301152.SZ@2024-09-24,300002.SZ|300139.SZ|300274.SZ|300409.SZ|301152.SZ,2024-09-24|2024-09-24|2024-09-24|2024-09-24|2024-09-24,50|77|32|54|91,2024-09-25..2024-11-19|2024-09-25..2024-11-18|2024-09-25..2024-11-05|2024-09-25..2024-11-19|2024-09-25..2024-11-19,28310.52|24275.973|12872.827|55369.6351|54300.204,0.238765388193|0.219964275609|0.150307008497|0.476174380869|0.533817081864,5,175129.1591,,NOT_A_PORTFOLIO_COUNTERFACTUAL
