route,segment,policy,original_fixed_quantity_exit_delta,total_account_nav_delta,quantity_compounding_funded_set_interaction,net_fill_cash_flow_delta,terminal_inventory_mark_delta,decomposition_residual,common_event_exit_pnl_delta,common_event_quantity_pnl_delta,newly_funded_pnl,cancelled_event_pnl,newly_funded,cancelled,quantity_changed,base_accepted,policy_accepted,interpretation,units
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.1,-0.03136347512799545,-0.028288397934788545,0.0030750771932069043,-0.028288397934794762,0.0,6.217248937900877e-15,-0.03136347512799549,-0.005050937978774517,0.008126015171975037,0.0,1,0,588,2121,2122,"Residual contains compounding, quantity and path interactions; not pure capital release",NORMALIZED_COMBINED_NAV
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,-0.0008396261439026836,0.014316280640011225,0.01515590678391391,0.014316280640009449,0.0,1.7763568394002505e-15,-0.00083962614390278,0.0009468640963849541,0.01633763810965473,-0.0021285954221277863,2,1,404,2121,2122,"Residual contains compounding, quantity and path interactions; not pure capital release",NORMALIZED_COMBINED_NAV
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,-0.01021286503352696,-0.0030485030244622457,0.007164362009064715,-0.003048503024463578,0.0,1.3322676295501878e-15,-0.010212865033527058,-0.00014796025746546525,0.011311176067901184,-0.003998853801372621,3,2,402,2121,2122,"Residual contains compounding, quantity and path interactions; not pure capital release",NORMALIZED_COMBINED_NAV
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,-0.02240049290493678,-0.008146374331871709,0.01425411857306507,-0.008146374331874817,0.0,3.1086244689504383e-15,-0.02240049290493693,-0.000924076934332601,0.014966252931213167,0.00021194257618137975,6,3,499,2121,2124,"Residual contains compounding, quantity and path interactions; not pure capital release",NORMALIZED_COMBINED_NAV
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.1,-0.013097205304938755,-0.015586493564803572,-0.0024892882598648164,-0.015586493564807125,0.0,3.552713678800501e-15,-0.013097205304938792,-0.00248928825986853,0.0,0.0,0,0,626,2121,2121,"Residual contains compounding, quantity and path interactions; not pure capital release",NORMALIZED_COMBINED_NAV
MCB,CONTINUOUS_2014_2023,fixed_0.1,-0.01835294032820717,-0.020118674311581763,-0.001765733983374592,-0.02011867431158354,0.0,1.7763568394002505e-15,-0.018352940328207168,-0.001765733983376342,0.0,0.0,0,0,289,1010,1010,"Residual contains compounding, quantity and path interactions; not pure capital release",NORMALIZED_COMBINED_NAV
MCB,CONTINUOUS_2014_2023,profit_0,-0.006358807243003746,-0.007626667899054418,-0.0012678606560506721,-0.007626667899057082,0.0,2.6645352591003757e-15,-0.006358807243003795,-0.0012678606560532163,0.0,0.0,0,0,289,1010,1010,"Residual contains compounding, quantity and path interactions; not pure capital release",NORMALIZED_COMBINED_NAV
OGR,2018_2021,fixed_0.1,-0.005076976204982081,-0.004207283826589414,0.0008696923783926671,-0.004207283826589012,0.0,-4.0245584642661925e-16,-0.0050769762049820855,-0.00014908244841147454,0.001018774826804541,0.0,2,0,218,255,257,"Residual contains compounding, quantity and path interactions; not pure capital release",NORMALIZED_COMBINED_NAV
OGR,2022_2023,fixed_0.1,-0.0014310721752372418,-0.0014419378829175766,-1.0865707680334782e-05,-0.0014419378829174205,0.0,-1.5612511283791264e-16,-0.0014310721752372447,-1.0865707680180166e-05,0.0,0.0,0,0,26,44,44,"Residual contains compounding, quantity and path interactions; not pure capital release",NORMALIZED_COMBINED_NAV
IFCGR,2018_2021,fixed_0.1,-0.005063520519732501,-0.004189751402239539,0.0008737691174929623,-0.004189751402238734,0.0,-8.049116928532385e-16,-0.0050635205197325055,-0.0001401028882175987,0.0010138720057113763,0.0,2,0,214,248,250,"Residual contains compounding, quantity and path interactions; not pure capital release",NORMALIZED_COMBINED_NAV
IFCGR,2022_2023,fixed_0.1,-0.0014310721752372418,-0.0014419378829175766,-1.0865707680334782e-05,-0.0014419378829174205,0.0,-1.5612511283791264e-16,-0.0014310721752372447,-1.0865707680180166e-05,0.0,0.0,0,0,26,44,44,"Residual contains compounding, quantity and path interactions; not pure capital release",NORMALIZED_COMBINED_NAV
