strategy,segment,policy,sleeve,event_states,min_cash,max_gross_ratio,negative_cash_timestamps,exposure_violation_timestamps,violation_dates,borrowed_cash,margin,reservation_contract,absolute_tolerance_nav_units,ratio_tolerance,execution_scope,rejected_orders_account,partial_fills_account,rejection_reasons,account_days,daily_min_cash,daily_max_gross_ratio,daily_negative_cash_dates,daily_exposure_violation_dates,unvalued_event_states,unvalued_account_dates,units,amount_tolerance
ATRDR,CONTINUOUS_2014_2023,NATIVE,MAIN,2902,0.00016163635573010482,0.9998924022560853,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,1917,0,"{""DAILY_CAP_10"": 849, ""INSUFFICIENT_CASH"": 450, ""MAX_K_30"": 618}",2433,0.04185729971586142,0.9859497266403345,0,0,0,0,NORMALIZED_NAV,1e-10
ATRDR,CONTINUOUS_2014_2023,NATIVE,CHINEXT,1340,0.016141075291587727,0.9811328853998615,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,1917,0,"{""DAILY_CAP_10"": 849, ""INSUFFICIENT_CASH"": 450, ""MAX_K_30"": 618}",2433,0.04185729971586142,0.9859497266403345,0,0,0,0,NORMALIZED_NAV,1e-10
MCB,CONTINUOUS_2014_2023,NATIVE,MAIN,1290,0.0036962513583477935,0.9958233155139246,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,889,0,"{""DAILY_CAP"": 456, ""INSUFFICIENT_CASH"": 163, ""MAX_K"": 270}",2409,0.03274695749271288,0.982806095121433,0,0,0,0,NORMALIZED_NAV,1e-10
MCB,CONTINUOUS_2014_2023,NATIVE,CHINEXT,728,0.0001939307669926102,0.999730757479755,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,889,0,"{""DAILY_CAP"": 456, ""INSUFFICIENT_CASH"": 163, ""MAX_K"": 270}",2409,0.03274695749271288,0.982806095121433,0,0,0,0,NORMALIZED_NAV,1e-10
OGR,2018_2021,NATIVE,MAIN,351,0.0014526602262130654,0.9985884356886053,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,100,0,"{""SKIPPED_CAPACITY"": 94, ""SKIPPED_DUPLICATE_SYMBOL"": 6}",961,0.2728609196078302,0.7298646660752284,0,0,0,0,NORMALIZED_NAV,1e-10
OGR,2018_2021,NATIVE,CHINEXT,167,0.4609858333015812,0.5494998867454199,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,100,0,"{""SKIPPED_CAPACITY"": 94, ""SKIPPED_DUPLICATE_SYMBOL"": 6}",961,0.2728609196078302,0.7298646660752284,0,0,0,0,NORMALIZED_NAV,1e-10
OGR,2022_2023,NATIVE,MAIN,57,0.8392072817852798,0.16665097069678073,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,0,0,{},459,0.8775969010449902,0.12770161764266744,0,0,0,0,NORMALIZED_NAV,1e-10
OGR,2022_2023,NATIVE,CHINEXT,37,0.8883743038738108,0.11490276783943393,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,0,0,{},459,0.8775969010449902,0.12770161764266744,0,0,0,0,NORMALIZED_NAV,1e-10
IFCGR,2018_2021,NATIVE,MAIN,339,0.0014456707100636151,0.9985884356886053,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,99,0,"{""SKIPPED_CAPACITY"": 93, ""SKIPPED_DUPLICATE_SYMBOL"": 6}",961,0.27285742484975517,0.7292118040718694,0,0,0,0,NORMALIZED_NAV,1e-10
IFCGR,2018_2021,NATIVE,CHINEXT,165,0.4609858333015812,0.5494998867454199,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,99,0,"{""SKIPPED_CAPACITY"": 93, ""SKIPPED_DUPLICATE_SYMBOL"": 6}",961,0.27285742484975517,0.7292118040718694,0,0,0,0,NORMALIZED_NAV,1e-10
