candidate,period,trades,closed_trades,right_censored,avg_holding_days,capital_weighted_holding_days,common_holding_days,common_native_holding_days
NATIVE,EARLY_2013_2017,19,19,0,19.68421052631579,18.910152213630738,19.68421052631579,19.68421052631579
NATIVE,2018_2021,44,44,0,18.931818181818183,18.00416298719083,18.931818181818183,18.931818181818183
NATIVE,2022_2023,21,21,0,17.047619047619047,16.666671501331052,17.047619047619047,17.047619047619047
NATIVE,ALL_AUTHORIZED,84,84,0,18.63095238095238,17.881313633930688,18.63095238095238,18.63095238095238
FIXED_5_PERCENT,EARLY_2013_2017,19,19,0,19.68421052631579,18.910152213630738,19.68421052631579,19.68421052631579
FIXED_5_PERCENT,2018_2021,45,45,0,18.288888888888888,17.58101210787302,18.568181818181817,18.931818181818183
FIXED_5_PERCENT,2022_2023,22,22,0,16.136363636363637,16.109224470544582,16.476190476190474,17.047619047619047
FIXED_5_PERCENT,ALL_AUTHORIZED,86,86,0,18.046511627906977,17.49744724558479,18.297619047619047,18.63095238095238
FIXED_3_PERCENT,EARLY_2013_2017,19,19,0,19.63157894736842,18.681679642334533,19.63157894736842,19.68421052631579
FIXED_3_PERCENT,2018_2021,46,46,0,17.108695652173914,16.119483032974525,17.386363636363637,18.931818181818183
FIXED_3_PERCENT,2022_2023,23,23,0,14.956521739130435,15.30065693524726,15.666666666666666,17.047619047619047
FIXED_3_PERCENT,ALL_AUTHORIZED,88,88,0,17.09090909090909,16.4644043364133,17.464285714285715,18.63095238095238
ENTRY_ATR_X1,EARLY_2013_2017,20,20,0,16.4,17.197283674539037,17.210526315789473,19.68421052631579
ENTRY_ATR_X1,2018_2021,46,46,0,15.391304347826088,15.835643597397612,15.613636363636363,18.931818181818183
ENTRY_ATR_X1,2022_2023,25,25,0,13.2,14.629900694865674,13.761904761904763,17.047619047619047
ENTRY_ATR_X1,ALL_AUTHORIZED,91,91,0,15.010989010989011,15.776502700570749,15.511904761904763,18.63095238095238
EXISTING_PROFIT_PROTECTION,EARLY_2013_2017,19,19,0,18.263157894736842,18.387718020923106,18.263157894736842,19.68421052631579
EXISTING_PROFIT_PROTECTION,2018_2021,44,44,0,18.931818181818183,18.00335453177035,18.931818181818183,18.931818181818183
EXISTING_PROFIT_PROTECTION,2022_2023,22,22,0,16.136363636363637,15.611796732852259,16.476190476190474,17.047619047619047
EXISTING_PROFIT_PROTECTION,ALL_AUTHORIZED,85,85,0,18.058823529411764,17.47391669847738,18.166666666666668,18.63095238095238
