route,year,phase,model,states,events,signal_dates,weighted_mse,weighted_bias,mean_predicted,mean_realized,top_mean_predicted,top_mean_realized,top_events,top_signal_dates,top_tail,domain_out_fraction,n_features,not_applicable_columns,unexpected_missing_fraction,b0_mse,mse_improvement_over_b0
ATRDR_BULL,2016,DISCOVERY_FORWARD,B0,1917,136,38,0.004793256792658167,-0.011798548018901674,-0.04167949969247675,-0.029880951673575074,-0.01128743407419487,-0.00417007180433661,117,34,-0.05078257920494565,0.008772467320261438,6,,0.011476264997391758,0.004793256792658167,0.0
ATRDR_BULL,2016,DISCOVERY_FORWARD,B1,1917,136,38,0.00518023167593266,-0.012102833069447521,-0.04198378474302259,-0.029880951673575074,-0.00848419139746686,-0.004870256795889105,112,34,-0.06063279272747565,0.009180964052287582,11,,0.22170057381324987,0.004793256792658167,-0.0003869748832744935
ATRDR_BULL,2016,DISCOVERY_FORWARD,B2_PRICE,1917,136,38,0.0048983572821314604,-0.011984328531352456,-0.04186528020492754,-0.029880951673575074,-0.009803391635980969,-0.0031267519319572467,119,34,-0.045954903956394254,0.008772467320261438,6,,0.011476264997391758,0.004793256792658167,-0.00010510048947329383
ATRDR_BULL,2016,DISCOVERY_FORWARD,B2_EXTENDED,1917,136,38,0.0048983572821314604,-0.011984328531352414,-0.04186528020492748,-0.029880951673575074,-0.009803391635980948,-0.0031267519319572467,119,34,-0.045954903956394254,0.009180964052287582,11,,0.22170057381324987,0.004793256792658167,-0.00010510048947329383
ATRDR_BULL,2016,DISCOVERY_FORWARD,B1_NO_STRUCTURE,1917,136,38,0.0049004136703016,-0.011660703175654792,-0.04154165484922986,-0.029880951673575074,-0.011333009736245698,-0.004190097755977965,117,35,-0.04955201125682346,0.008772467320261438,9,,0.22170057381324987,0.004793256792658167,-0.00010715687764343337
ATRDR_BULL,2016,DISCOVERY_FORWARD,B1_NO_VOLUME,1917,136,38,0.005095894860355297,-0.012156029478626769,-0.042036981152201836,-0.029880951673575074,-0.008710339603942014,-0.004486880809796179,112,33,-0.05845469770501969,0.009180964052287582,10,,0.22013562858633282,0.004793256792658167,-0.00030263806769713006
ATRDR_BULL,2016,DISCOVERY_FORWARD,B1_PRICE_AUGMENT_ONLY,1917,136,38,0.004889814671351154,-0.011708719930079794,-0.041589671603654864,-0.029880951673575074,-0.01150492998343555,-0.004920089678226792,116,34,-0.054774991400068564,0.008772467320261438,8,,0.22013562858633282,0.004793256792658167,-9.655787869298701e-05
ATRDR_BULL,2017,DISCOVERY_FORWARD,B0,1808,122,32,0.00343775573374986,-0.012314137543327398,-0.03599890174601423,-0.02368476420268683,-0.008566220935754211,-0.0022436772400861965,105,32,-0.0492127332737221,0.0010245901639344263,6,,0.0011061946902654867,0.00343775573374986,0.0
ATRDR_BULL,2017,DISCOVERY_FORWARD,B1,1808,122,32,0.0034553579172540688,-0.012605390536049994,-0.03629015473873682,-0.02368476420268683,-0.007633159187363374,-0.003037724079118327,107,32,-0.06289933915122786,0.0010245901639344263,11,,0.20077433628318583,0.00343775573374986,-1.76021835042086e-05
ATRDR_BULL,2017,DISCOVERY_FORWARD,B2_PRICE,1808,122,32,0.0033563904115774964,-0.012177212785906723,-0.03586197698859356,-0.02368476420268683,-0.007997571903023736,-0.00040967006044519106,106,31,-0.040974140997336726,0.0010245901639344263,6,,0.0011061946902654867,0.00343775573374986,8.136532217236378e-05
