year,requested_security_days,has_open_bar,positive_volume,price_tick_match,selection,features_added
2014,5615,5615,4959,5235,"All candidate held-path days, both funded/unfunded, no return conditioning",0
2015,3927,3403,3128,3265,"All candidate held-path days, both funded/unfunded, no return conditioning",0
2016,4252,4252,3566,4135,"All candidate held-path days, both funded/unfunded, no return conditioning",0
2017,4657,4657,4178,4456,"All candidate held-path days, both funded/unfunded, no return conditioning",0
2018,13008,13008,11364,11929,"All candidate held-path days, both funded/unfunded, no return conditioning",0
2019,8007,8007,7641,7714,"All candidate held-path days, both funded/unfunded, no return conditioning",0
2020,9876,9876,9655,9705,"All candidate held-path days, both funded/unfunded, no return conditioning",0
2021,4089,4089,3950,3976,"All candidate held-path days, both funded/unfunded, no return conditioning",0
2022,6153,6153,6031,6056,"All candidate held-path days, both funded/unfunded, no return conditioning",0
2023,7591,7591,7512,7518,"All candidate held-path days, both funded/unfunded, no return conditioning",0
