policy_file,assessed_source_exits,verified_daily_open_tick,actual_account_exits,actual_verified_exits,unverified
policy_ATRDR_BULL_CONTINUOUS_2014_2023_fixed_0.1_events.parquet,44,42,33,32,2
policy_ATRDR_FAST_BEAR_CONTINUOUS_2014_2023_H1_2_events.parquet,8,8,8,8,0
policy_ATRDR_FAST_BEAR_CONTINUOUS_2014_2023_H2_0_events.parquet,19,18,18,17,1
policy_ATRDR_FAST_BEAR_CONTINUOUS_2014_2023_fixed_0.1_events.parquet,9,9,9,9,0
policy_ATRDR_SLOW_BEAR_CONTINUOUS_2014_2023_fixed_0.1_events.parquet,17,17,15,15,0
policy_IFCGR_2018_2021_fixed_0.1_events.parquet,15,15,15,15,0
policy_IFCGR_2022_2023_fixed_0.1_events.parquet,3,3,3,3,0
policy_MCB_CONTINUOUS_2014_2023_fixed_0.1_events.parquet,25,23,21,20,2
policy_MCB_CONTINUOUS_2014_2023_profit_0_events.parquet,90,90,64,64,0
policy_OGR_2018_2021_fixed_0.1_events.parquet,15,15,15,15,0
policy_OGR_2022_2023_fixed_0.1_events.parquet,3,3,3,3,0
