strategy,segment,policy,reason,count
ATRDR,CONTINUOUS_2014_2023,NATIVE,DAILY_CAP_10,849
ATRDR,CONTINUOUS_2014_2023,NATIVE,MAX_K_30,618
ATRDR,CONTINUOUS_2014_2023,NATIVE,INSUFFICIENT_CASH,450
MCB,CONTINUOUS_2014_2023,NATIVE,DAILY_CAP,456
MCB,CONTINUOUS_2014_2023,NATIVE,MAX_K,270
MCB,CONTINUOUS_2014_2023,NATIVE,INSUFFICIENT_CASH,163
OGR,2018_2021,NATIVE,SKIPPED_CAPACITY,94
OGR,2018_2021,NATIVE,SKIPPED_DUPLICATE_SYMBOL,6
IFCGR,2018_2021,NATIVE,SKIPPED_CAPACITY,93
IFCGR,2018_2021,NATIVE,SKIPPED_DUPLICATE_SYMBOL,6
ATRDR,CONTINUOUS_2014_2023,ATRDR_BULL:fixed_0.1,DAILY_CAP_10,849
ATRDR,CONTINUOUS_2014_2023,ATRDR_BULL:fixed_0.1,MAX_K_30,617
ATRDR,CONTINUOUS_2014_2023,ATRDR_BULL:fixed_0.1,INSUFFICIENT_CASH,450
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:fixed_0.1,DAILY_CAP_10,849
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:fixed_0.1,MAX_K_30,616
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:fixed_0.1,INSUFFICIENT_CASH,451
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:H1_2,DAILY_CAP_10,849
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:H1_2,MAX_K_30,617
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:H1_2,INSUFFICIENT_CASH,450
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:H2_0,DAILY_CAP_10,849
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:H2_0,MAX_K_30,614
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:H2_0,INSUFFICIENT_CASH,451
ATRDR,CONTINUOUS_2014_2023,ATRDR_SLOW_BEAR:fixed_0.1,DAILY_CAP_10,849
ATRDR,CONTINUOUS_2014_2023,ATRDR_SLOW_BEAR:fixed_0.1,MAX_K_30,618
ATRDR,CONTINUOUS_2014_2023,ATRDR_SLOW_BEAR:fixed_0.1,INSUFFICIENT_CASH,450
MCB,CONTINUOUS_2014_2023,MCB:fixed_0.1,DAILY_CAP,456
MCB,CONTINUOUS_2014_2023,MCB:fixed_0.1,MAX_K,270
MCB,CONTINUOUS_2014_2023,MCB:fixed_0.1,INSUFFICIENT_CASH,163
MCB,CONTINUOUS_2014_2023,MCB:profit_0,DAILY_CAP,456
MCB,CONTINUOUS_2014_2023,MCB:profit_0,MAX_K,270
MCB,CONTINUOUS_2014_2023,MCB:profit_0,INSUFFICIENT_CASH,163
OGR,2018_2021,OGR:fixed_0.1,SKIPPED_INSUFFICIENT_CASH,55
OGR,2018_2021,OGR:fixed_0.1,SKIPPED_CAPACITY,37
OGR,2018_2021,OGR:fixed_0.1,SKIPPED_DUPLICATE_SYMBOL,6
IFCGR,2018_2021,IFCGR:fixed_0.1,SKIPPED_INSUFFICIENT_CASH,54
IFCGR,2018_2021,IFCGR:fixed_0.1,SKIPPED_CAPACITY,37
IFCGR,2018_2021,IFCGR:fixed_0.1,SKIPPED_DUPLICATE_SYMBOL,6
