route,segment,policy,dates_identical,days,start,end
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.1,True,2433,2014-01-03,2023-12-29
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,True,2433,2014-01-03,2023-12-29
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,True,2433,2014-01-03,2023-12-29
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,True,2433,2014-01-03,2023-12-29
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.1,True,2433,2014-01-03,2023-12-29
MCB,CONTINUOUS_2014_2023,fixed_0.1,True,2409,2014-02-13,2023-12-29
MCB,CONTINUOUS_2014_2023,profit_0,True,2409,2014-02-13,2023-12-29
OGR,2018_2021,fixed_0.1,True,961,2018-01-02,2021-12-15
OGR,2022_2023,fixed_0.1,True,459,2022-01-04,2023-11-24
IFCGR,2018_2021,fixed_0.1,True,961,2018-01-02,2021-12-15
IFCGR,2022_2023,fixed_0.1,True,459,2022-01-04,2023-11-24
