route,policy,segment,scope,period,start,end,native_closed_n,native_open_n,native_mean_sessions,native_median_sessions,native_mean_calendar_days,native_outlay_weighted_sessions,policy_closed_n,policy_open_n,policy_mean_sessions,policy_median_sessions,policy_mean_calendar_days,policy_outlay_weighted_sessions,sessions_shortened,shortened_pct,common_n,common_native_mean,common_policy_mean,common_shortened
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,ROUTE,FULL_HISTORY,2014-01-01,2023-12-31,1494,0,14.705488621151272,16.0,21.576305220883533,14.509308173875812,1589,0,9.212083071113907,8.0,13.508495909376967,9.14659090264807,5.493405550037364,37.35615790512436,1488,14.706317204301076,9.288306451612904,5.418010752688172
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,ROUTE,DISCOVERY,2014-01-01,2020-12-31,1074,0,14.95996275605214,16.0,21.93854748603352,14.714183470523531,1154,0,9.088388214904679,8.0,13.261698440207972,8.864553898171673,5.871574541147462,39.24859063417174,1068,14.962546816479401,9.190074906367041,5.772471910112359
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,ROUTE,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,420,0,14.054761904761905,16.0,20.65,14.20794903746941,435,0,9.540229885057471,10.0,14.163218390804598,9.655624815883534,4.5145320197044345,32.12101386203392,420,14.054761904761905,9.538095238095238,4.516666666666667
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,SHARED_ACCOUNT,FULL_HISTORY,2014-01-01,2023-12-31,2121,0,14.441301272984441,16.0,21.204148986327205,14.310943014917825,2216,0,10.513537906137184,9.0,15.435018050541517,10.46264273134276,3.927763366847257,27.19812635025476,2115,14.441134751773049,10.629314420803782,3.811820330969267
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,SHARED_ACCOUNT,DISCOVERY,2014-01-01,2020-12-31,1493,2,14.681848626925653,16.0,21.58472873409243,14.566583384779657,1573,2,10.388429752066116,9.0,15.237126509853782,10.230417497999156,4.293418874859537,29.243040055498582,1487,14.682582380632144,10.536650975117686,4.1459314055144585
ATRDR_BULL,fixed_0.03,CONTINUOUS_2014_2023,SHARED_ACCOUNT,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,626,0,13.84664536741214,16.0,20.268370607028753,13.938599464944128,641,0,10.78783151326053,11.0,15.875195007800311,10.824928802005887,3.0588138541516106,22.090649200495015,626,13.84664536741214,10.81629392971246,3.0303514376996805
ATRDR_BULL,atr_2.5,CONTINUOUS_2014_2023,ROUTE,FULL_HISTORY,2014-01-01,2023-12-31,1494,0,14.705488621151272,16.0,21.576305220883533,14.509308173875812,1508,0,13.189655172413794,16.0,19.30702917771883,13.025934703288996,1.515833448737478,10.307943433836108,1490,14.70738255033557,13.213422818791946,1.4939597315436242
ATRDR_BULL,atr_2.5,CONTINUOUS_2014_2023,ROUTE,DISCOVERY,2014-01-01,2020-12-31,1074,0,14.95996275605214,16.0,21.93854748603352,14.714183470523531,1085,0,13.305069124423962,16.0,19.45437788018433,13.011495625409085,1.6548936316281786,11.062150746055044,1070,14.963551401869159,13.347663551401869,1.6158878504672898
ATRDR_BULL,atr_2.5,CONTINUOUS_2014_2023,ROUTE,CONSUMED_TEMPORAL,2021-01-01,2023-12-31,420,0,14.054761904761905,16.0,20.65,14.20794903746941,423,0,12.893617021276595,16.0,18.929078014184398,13.048557920780292,1.16114488348531,8.261576335148746,420,14.054761904761905,12.871428571428572,1.1833333333333333
ATRDR_BULL,atr_2.5,CONTINUOUS_2014_2023,SHARED_ACCOUNT,FULL_HISTORY,2014-01-01,2023-12-31,2121,0,14.441301272984441,16.0,21.204148986327205,14.310943014917825,2135,0,13.372365339578455,16.0,19.603747072599532,13.261090692633223,1.068935933405987,7.401936385093366,2117,14.442135096835145,13.390647142182333,1.0514879546528106
