route,segment,policy,period,profile,account_status,evidence,baseline_start,baseline_end,baseline_days,baseline_total_return,baseline_cagr,baseline_max_drawdown,baseline_sharpe,baseline_worst5_daily,baseline_worst_month,baseline_utilization,baseline_capital_days,start,end,days,total_return,cagr,max_drawdown,sharpe,worst5_daily,worst_month,utilization,capital_days,baseline_funded,baseline_closed,baseline_open_at_period_end,baseline_worst_trade,baseline_worst5_trade,baseline_below10,baseline_below20,baseline_below30,funded,closed,open_at_period_end,worst_trade,worst5_trade,below10,below20,below30,cagr_cost_pp,mdd_reduction_pp,worst_trade_reduction_pp
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.03,FULL_HISTORY,BEST_WORST_TRADE|BEST_TAIL,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2023-12-29,2434,2.1105406156705127,0.1203259137265853,-0.0616908432417032,1.5563502567732934,-0.011589915870113,-0.0328684694827994,0.2152963604756479,524.0313413977271,2014-01-02,2023-12-29,2434,1.1103851521095351,0.0776461557026315,-0.0577408083390171,1.2732309659748182,-0.0089714136787672,-0.0312602131864789,0.1618918690757789,394.044809330446,1494,1494,0,-0.3492255526019324,-0.1442284594460887,92,7,1,1589,1589,0,-0.1771505667385676,-0.0895109979516873,18,0,0,4.267975802395374,0.3950034902686083,17.207498586336477
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.03,DISCOVERY,BEST_WORST_TRADE|BEST_TAIL,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2020-12-31,1707,1.3111093851785434,0.127223297440137,-0.0616908432417032,1.5347085280010502,-0.0123414300453992,-0.0328684694827994,0.2193446958086733,374.42139574540545,2014-01-02,2020-12-31,1707,0.6723314674664493,0.0762794448200931,-0.0577408083390171,1.1699769918757634,-0.0097017902905063,-0.0312602131864789,0.1616305344792175,275.90332235602426,1074,1074,0,-0.3492255526019324,-0.147178041697212,70,6,1,1154,1154,0,-0.1771505667385676,-0.0936800879824059,16,0,0,5.094385262004386,0.3950034902686083,17.207498586336477
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.03,CONSUMED_TEMPORAL,BEST_WORST_TRADE|BEST_TAIL,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2021-01-04,2023-12-29,727,0.345908002286194,0.1047695251053035,-0.060708324023787,1.666534253709692,-0.0094665801093363,-0.0262368731316008,0.2057908468395071,149.60994565232167,2021-01-04,2023-12-29,727,0.2619419015697475,0.081156455965786,-0.0375125888586326,1.6360599426513258,-0.0068853474103616,-0.0288900520525032,0.1625054841463848,118.1414869744218,420,420,0,-0.2001044902675858,-0.1359330190663747,22,1,0,435,435,0,-0.114397168910549,-0.0767757908882201,2,0,0,2.361306913951755,2.3195735165154385,8.570732135703674
ATRDR_BULL,CONTINUOUS_2014_2023,atr_2.5,FULL_HISTORY,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2023-12-29,2434,2.1105406156705127,0.1203259137265853,-0.0616908432417032,1.5563502567732934,-0.011589915870113,-0.0328684694827994,0.2152963604756479,524.0313413977271,2014-01-02,2023-12-29,2434,1.7002258120122369,0.1045699497926448,-0.0652351570372322,1.4562404522446333,-0.0107123533128828,-0.030644440496601,0.199918447495213,486.6015012033485,1494,1494,0,-0.3492255526019324,-0.1442284594460887,92,7,1,1508,1508,0,-0.2621345915763408,-0.134943714927362,103,6,0,1.575596393394041,-0.3544313795528997,8.709096102559165
ATRDR_BULL,CONTINUOUS_2014_2023,atr_2.5,DISCOVERY,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2020-12-31,1707,1.3111093851785434,0.127223297440137,-0.0616908432417032,1.5347085280010502,-0.0123414300453992,-0.0328684694827994,0.2193446958086733,374.42139574540545,2014-01-02,2020-12-31,1707,1.0565762602330966,0.1085763632052236,-0.0652351570372322,1.4081529874289525,-0.0115023442950618,-0.030644440496601,0.202356271178122,345.42215490105434,1074,1074,0,-0.3492255526019324,-0.147178041697212,70,6,1,1085,1085,0,-0.2621345915763408,-0.1417260094597808,87,6,0,1.864693423491337,-0.3544313795528997,8.709096102559165
ATRDR_BULL,CONTINUOUS_2014_2023,atr_2.5,CONSUMED_TEMPORAL,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2021-01-04,2023-12-29,727,0.345908002286194,0.1047695251053035,-0.060708324023787,1.666534253709692,-0.0094665801093363,-0.0262368731316008,0.2057908468395071,149.60994565232167,2021-01-04,2023-12-29,727,0.3129714001980053,0.0956270628250106,-0.0454524789458219,1.653310555253107,-0.0085792449418844,-0.0278815994305517,0.1941944240746822,141.179346302294,420,420,0,-0.2001044902675858,-0.1359330190663747,22,1,0,423,423,0,-0.1523513642171723,-0.1124986231928855,16,0,0,0.9142462280292918,1.525584507796507,4.775312605041348
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.05,FULL_HISTORY,BEST_WORST_TRADE|BEST_TAIL,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2023-12-29,2434,2.1105406156705127,0.1203259137265853,-0.0616908432417032,1.5563502567732934,-0.011589915870113,-0.0328684694827994,0.2152963604756479,524.0313413977271,2014-01-02,2023-12-29,2434,1.9362112533144176,0.1138749416001785,-0.0621488059976269,1.5215595794609065,-0.0112896483038541,-0.0326944721013924,0.2100755456985599,511.3238782302948,128,128,0,-0.2474987955124235,-0.2168735974392092,18,5,0,128,128,0,-0.1520308926220505,-0.132412261337779,12,0,0,0.6450972126406773,-0.045796275592369,9.5467902890373
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.05,DISCOVERY,BEST_WORST_TRADE|BEST_TAIL,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2020-12-31,1707,1.3111093851785434,0.127223297440137,-0.0616908432417032,1.5347085280010502,-0.0123414300453992,-0.0328684694827994,0.2193446958086733,374.42139574540545,2014-01-02,2020-12-31,1707,1.191937193746495,0.1187243180143891,-0.0621488059976269,1.4782697138878305,-0.0120819030828915,-0.0326944721013924,0.2133171827983828,364.1324310368394,79,79,0,-0.2474987955124235,-0.2323619504531829,13,4,0,79,79,0,-0.1520308926220505,-0.1448035882601897,11,0,0,0.8498979425747955,-0.045796275592369,9.5467902890373
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.05,CONSUMED_TEMPORAL,BEST_WORST_TRADE|BEST_TAIL,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2021-01-04,2023-12-29,727,0.345908002286194,0.1047695251053035,-0.060708324023787,1.666534253709692,-0.0094665801093363,-0.0262368731316008,0.2057908468395071,149.60994565232167,2021-01-04,2023-12-29,727,0.3395508145449184,0.1030165869159971,-0.0583092457617367,1.7027438237305006,-0.0090720477122962,-0.0250921594198484,0.2024641639524832,147.19144719345533,49,49,0,-0.2465900272073099,-0.1836729603238913,5,1,0,49,49,0,-0.1019353124311135,-0.0852235450008312,1,0,0,0.1752938189306441,0.2399078262050213,14.46547147761964
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,atr_3,FULL_HISTORY,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2023-12-29,2434,2.1105406156705127,0.1203259137265853,-0.0616908432417032,1.5563502567732934,-0.011589915870113,-0.0328684694827994,0.2152963604756479,524.0313413977271,2014-01-02,2023-12-29,2434,2.12548905177421,0.1208638148219054,-0.0618794529896629,1.5630969802364365,-0.0115812111877028,-0.0329715151148419,0.2152555955639778,523.9321196027221,128,128,0,-0.2474987955124235,-0.2168735974392092,18,5,0,128,128,0,-0.2465900272073098,-0.1892843115375004,18,2,0,-0.0537901095320147,-0.0188609747959644,0.090876830511366
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,atr_3,DISCOVERY,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2020-12-31,1707,1.3111093851785434,0.127223297440137,-0.0616908432417032,1.5347085280010502,-0.0123414300453992,-0.0328684694827994,0.2193446958086733,374.42139574540545,2014-01-02,2020-12-31,1707,1.3238489524407813,0.12810947319365,-0.0618794529896629,1.544963288847096,-0.0123293133651259,-0.0329715151148419,0.2192471177003634,374.2548299145203,79,79,0,-0.2474987955124235,-0.2323619504531829,13,4,0,79,79,0,-0.2086681247434212,-0.1819567400797558,13,1,0,-0.0886175753513018,-0.0188609747959644,3.8830670769002262
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,atr_3,CONSUMED_TEMPORAL,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2021-01-04,2023-12-29,727,0.345908002286194,0.1047695251053035,-0.060708324023787,1.666534253709692,-0.0094665801093363,-0.0262368731316008,0.2057908468395071,149.60994565232167,2021-01-04,2023-12-29,727,0.3449622224763977,0.1045090836378328,-0.0607909079740304,1.6624955737545637,-0.0094748866832815,-0.0269970956547259,0.2058834796261373,149.67728968820182,49,49,0,-0.2465900272073099,-0.1836729603238913,5,1,0,49,49,0,-0.2465900272073098,-0.1965493738141715,5,1,0,0.0260441467470728,-0.0082583950243408,1.1102230246251564e-14
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.03,FULL_HISTORY,BEST_TAIL,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2023-12-29,2434,2.1105406156705127,0.1203259137265853,-0.0616908432417032,1.5563502567732934,-0.011589915870113,-0.0328684694827994,0.2152963604756479,524.0313413977271,2014-01-02,2023-12-29,2434,1.7037879099956903,0.1047157562500837,-0.0606631954263964,1.4581933667252798,-0.0108189048336757,-0.0323071123985551,0.1963324064183708,477.8730772223146,499,499,0,-0.1960596712910267,-0.1572313956919914,34,0,0,510,510,0,-0.2233923760869871,-0.101863671338154,10,1,0,1.5610157476501518,0.1027647815306842,-2.7332704795960394
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.03,DISCOVERY,BEST_TAIL,QUARANTINED_PRODUCTION_PREFIX_DEFECT,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE,2014-01-02,2020-12-31,1707,1.3111093851785434,0.127223297440137,-0.0616908432417032,1.5347085280010502,-0.0123414300453992,-0.0328684694827994,0.2193446958086733,374.42139574540545,2014-01-02,2020-12-31,1707,1.060213957948212,0.1088564662142113,-0.0606631954263964,1.4097055205071154,-0.0115407998058484,-0.0323071123985551,0.1987447940658824,339.2573634704613,342,340,2,-0.1960596712910267,-0.1582390632091516,24,0,0,350,350,0,-0.2233923760869871,-0.1126657606242897,10,1,0,1.836683122592575,0.1027647815306842,-2.7332704795960394
