route,policy,profile,selection_period,evidence
ATRDR_BULL,fixed_0.03,BEST_WORST_TRADE|BEST_TAIL,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
ATRDR_BULL,atr_2.5,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
ATRDR_FAST_BEAR,fixed_0.05,BEST_WORST_TRADE|BEST_TAIL,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
ATRDR_FAST_BEAR,atr_3,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
ATRDR_SLOW_BEAR,fixed_0.03,BEST_TAIL,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
MCB,fixed_0.05,BEST_WORST_TRADE,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
MCB,fixed_0.03,BEST_TAIL,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
MCB,profit_0,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
OGR,fixed_0.05,BEST_WORST_TRADE,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
OGR,fixed_0.03,BEST_TAIL,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
OGR,atr_1,LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
IFCGR,fixed_0.05,INHERITED_OGR:BEST_WORST_TRADE,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
IFCGR,fixed_0.03,INHERITED_OGR:BEST_TAIL,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
IFCGR,atr_1,INHERITED_OGR:LOWEST_STATIC_COST_WITH_BOTH_RISKS_IMPROVED,DISCOVERY_MATURE_EVENT_SCREEN,USER_PREFERENCE_UPDATE_AFTER_RESULT_EXPOSURE
