route,segment,policy,total_account_nav_delta,net_fill_cash_flow_delta,terminal_inventory_mark_delta,decomposition_residual,common_event_exit_pnl_delta,common_event_quantity_pnl_delta,newly_funded_pnl,cancelled_event_pnl,newly_funded,cancelled,quantity_changed,base_accepted,policy_accepted,released_baseline_calendar_days,units,cash_reuse_scope
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.03,-1.000155463561016,-1.0001554635610173,0.0,1.1102230246251563e-15,-0.7039804103596016,-0.3321246005645794,0.04007171563983,-0.0041221682766664,101,6,2079,2121,2216,11883.0,INITIAL_COMBINED_NAV,Existing opportunity/rank/router paths; no invented future allocator return
ATRDR_BULL,CONTINUOUS_2014_2023,atr_2.5,-0.4103148036583275,-0.4103148036583286,0.0,1.1102230246251563e-15,-0.258863387467058,-0.158448257756595,0.0162620878381698,-0.0092652462728457,18,4,2081,2121,2135,3359.0,INITIAL_COMBINED_NAV,Existing opportunity/rank/router paths; no invented future allocator return
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.05,-0.1743293623561119,-0.174329362356115,0.0,3.1086244689504387e-15,-0.0880465316398116,-0.0915584742969561,0.0129542962536844,-0.0076786526730318,8,4,1884,2121,2125,1305.0,INITIAL_COMBINED_NAV,Existing opportunity/rank/router paths; no invented future allocator return
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,atr_3,0.0149484361036549,0.0149484361036558,0.0,-8.881784197001252e-16,0.0060826021710102,0.0088658339326456,0.0,0.0,0,0,992,2121,2121,57.0,INITIAL_COMBINED_NAV,Existing opportunity/rank/router paths; no invented future allocator return
ATRDR_SLOW_BEAR,CONTINUOUS_2014_2023,fixed_0.03,-0.4067527056748941,-0.4067527056748958,0.0,1.7763568394002505e-15,-0.2666021441142815,-0.1672975345236542,0.0207637452743552,0.0063832276886845,44,7,2033,2121,2158,4523.0,INITIAL_COMBINED_NAV,Existing opportunity/rank/router paths; no invented future allocator return
MCB,CONTINUOUS_2014_2023,fixed_0.05,-0.3230374580182049,-0.3143864869746683,-0.0086509710435334,-3.191891195797325e-15,-0.2538451930913654,-0.0746342953837976,0.0054420304569614,0.0,16,0,996,1010,1026,3938.0,INITIAL_COMBINED_NAV,Existing opportunity/rank/router paths; no invented future allocator return
MCB,CONTINUOUS_2014_2023,fixed_0.03,-0.5034595046882333,-0.503161901624952,-0.0002976030632818,5.204170427930421e-16,-0.4242317593003347,-0.0905947968992807,0.0042785880008671,0.0070884635105144,24,3,993,1010,1031,7141.0,INITIAL_COMBINED_NAV,Existing opportunity/rank/router paths; no invented future allocator return
MCB,CONTINUOUS_2014_2023,profit_0,-0.1551100140736452,-0.1496015226725102,-0.0055084914011326,-2.296773882193293e-15,-0.110991574248594,-0.0493508353447777,0.0052323955197289,0.0,7,0,996,1010,1017,2560.0,INITIAL_COMBINED_NAV,Existing opportunity/rank/router paths; no invented future allocator return
OGR,2018_2021,fixed_0.05,-0.011485112193647229,-0.011485112193645577,0.0,-1.6514567491299204e-15,-0.012526203623262146,-0.0003762073361976472,0.0014172987658142206,0.0,3,0,221,255,258,646.0,INITIAL_COMBINED_NAV,Existing opportunity/rank/router paths; no invented future allocator return
OGR,2022_2023,fixed_0.05,-0.0013690108035282478,-0.0013690108035285357,0.0,2.8796409701215e-16,-0.0013781262015743236,9.11539804578943e-06,0.0,0.0,0,0,33,44,44,116.0,INITIAL_COMBINED_NAV,Existing opportunity/rank/router paths; no invented future allocator return
OGR,2018_2021,fixed_0.03,-0.023807390758678437,-0.023807390758677965,0.0,-4.718447854656915e-16,-0.02986150283591017,-0.0005142081430913944,0.006568320220323596,0.0,14,0,221,255,269,1109.0,INITIAL_COMBINED_NAV,Existing opportunity/rank/router paths; no invented future allocator return
