strategy,segment,policy,sleeve,event_states,min_cash,max_gross_ratio,negative_cash_timestamps,exposure_violation_timestamps,violation_dates,borrowed_cash,margin,reservation_contract,absolute_tolerance_nav_units,ratio_tolerance,execution_scope
ATRDR,CONTINUOUS_2014_2023,ATRDR_BULL:fixed_0.03,MAIN,3078,0.0008859933549187,0.9989493824634234,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
ATRDR,CONTINUOUS_2014_2023,ATRDR_BULL:fixed_0.03,CHINEXT,1354,0.0127720547385166,0.9821813914618642,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
ATRDR,CONTINUOUS_2014_2023,ATRDR_BULL:atr_2.5,MAIN,2928,0.0001501249793399,0.9998997379354572,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
ATRDR,CONTINUOUS_2014_2023,ATRDR_BULL:atr_2.5,CHINEXT,1342,0.0149257595003959,0.9811328853998617,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:fixed_0.05,MAIN,2910,0.0001728731176991,0.9998924022560852,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:fixed_0.05,CHINEXT,1340,0.015216480835408,0.9811328853998617,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:atr_3,MAIN,2902,0.0001616363557301,0.9998924022560854,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:atr_3,CHINEXT,1340,0.0161410752915877,0.9811328853998617,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
ATRDR,CONTINUOUS_2014_2023,ATRDR_SLOW_BEAR:fixed_0.03,MAIN,2976,0.0001544898606789,0.9998924022560848,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
ATRDR,CONTINUOUS_2014_2023,ATRDR_SLOW_BEAR:fixed_0.03,CHINEXT,1340,0.0148879155029785,0.9811328853998608,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
MCB,CONTINUOUS_2014_2023,MCB:fixed_0.05,MAIN,1320,0.0016792938734912,0.9980152513201002,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
MCB,CONTINUOUS_2014_2023,MCB:fixed_0.05,CHINEXT,730,0.0106247327080821,0.9816188233192662,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
MCB,CONTINUOUS_2014_2023,MCB:fixed_0.03,MAIN,1325,0.0035288108269437,0.9951662466027794,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
MCB,CONTINUOUS_2014_2023,MCB:fixed_0.03,CHINEXT,734,0.0103483483488311,0.9816188233192664,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
MCB,CONTINUOUS_2014_2023,MCB:profit_0,MAIN,1304,0.0008218437780006,0.9987132276970814,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
MCB,CONTINUOUS_2014_2023,MCB:profit_0,CHINEXT,728,0.0001898439743553,0.999730757479755,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
OGR,2018_2021,OGR:fixed_0.05,MAIN,354,0.002006688762021794,0.9980531997311987,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
OGR,2018_2021,OGR:fixed_0.05,CHINEXT,166,0.4844595259619526,0.5262643509249375,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
OGR,2022_2023,OGR:fixed_0.05,MAIN,55,0.8517296089691756,0.15469446568816314,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
OGR,2022_2023,OGR:fixed_0.05,CHINEXT,37,0.8883743038738108,0.11490276783943393,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
OGR,2018_2021,OGR:fixed_0.03,MAIN,372,0.0015815588418009556,0.9984876241501521,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified
