route,policy,category,eligible_events
ATRDR_FAST_BEAR,fixed_0.05,HARMED_WINNER,26
ATRDR_FAST_BEAR,fixed_0.05,MISSED_SEVERE_LOSS,0
ATRDR_FAST_BEAR,fixed_0.05,WORST_REALIZED_STOP,64
ATRDR_FAST_BEAR,fixed_0.05,RESCUED_SEVERE_LOSS,18
MCB,profit_0,HARMED_WINNER,55
MCB,profit_0,MISSED_SEVERE_LOSS,27
MCB,profit_0,WORST_REALIZED_STOP,242
MCB,profit_0,RESCUED_SEVERE_LOSS,17
OGR,fixed_0.05,HARMED_WINNER,10
OGR,fixed_0.05,MISSED_SEVERE_LOSS,0
OGR,fixed_0.05,WORST_REALIZED_STOP,41
OGR,fixed_0.05,RESCUED_SEVERE_LOSS,7
OGR,atr_1,HARMED_WINNER,9
OGR,atr_1,MISSED_SEVERE_LOSS,0
OGR,atr_1,WORST_REALIZED_STOP,40
OGR,atr_1,RESCUED_SEVERE_LOSS,6
