route,variant,pair_id,outcome,scope
ATRDR_BULL,full,ATRDR_BULL_PAIR_1,ABSTAIN_TIE,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
ATRDR_BULL,full,ATRDR_BULL_PAIR_2,CORRECT_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
ATRDR_FAST_BEAR,full,ATRDR_FAST_BEAR_PAIR_1,ABSTAIN_TIE,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
ATRDR_FAST_BEAR,full,ATRDR_FAST_BEAR_PAIR_2,CORRECT_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
ATRDR_SLOW_BEAR,full,ATRDR_SLOW_BEAR_PAIR_1,CORRECT_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
ATRDR_SLOW_BEAR,full,ATRDR_SLOW_BEAR_PAIR_2,WRONG_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
MCB,full,MCB_PAIR_1,ABSTAIN_TIE,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
MCB,full,MCB_PAIR_2,ABSTAIN_TIE,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
OGR,full,OGR_PAIR_1,CORRECT_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
OGR,full,OGR_PAIR_2,WRONG_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
SMV6,full,SMV6_PAIR_1,ABSTAIN_TIE,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
SMV6,full,SMV6_PAIR_2,ABSTAIN_TIE,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
ATRDR_BULL,price_only,ATRDR_BULL_PAIR_1,ABSTAIN_TIE,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
ATRDR_BULL,price_only,ATRDR_BULL_PAIR_2,CORRECT_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
ATRDR_FAST_BEAR,price_only,ATRDR_FAST_BEAR_PAIR_1,WRONG_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
ATRDR_FAST_BEAR,price_only,ATRDR_FAST_BEAR_PAIR_2,CORRECT_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
ATRDR_SLOW_BEAR,price_only,ATRDR_SLOW_BEAR_PAIR_1,CORRECT_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
ATRDR_SLOW_BEAR,price_only,ATRDR_SLOW_BEAR_PAIR_2,WRONG_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
MCB,price_only,MCB_PAIR_1,CORRECT_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
MCB,price_only,MCB_PAIR_2,CORRECT_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
OGR,price_only,OGR_PAIR_1,CORRECT_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
OGR,price_only,OGR_PAIR_2,WRONG_ORDER,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
SMV6,price_only,SMV6_PAIR_1,ABSTAIN_TIE,DESCRIPTIVE_MATCHED_DESIGN_12_PAIRS_NO_ACCURACY_CLAIM
