route,category,eligible_episodes,selected,status
ATRDR_BULL,severe_loss,70,2,SAMPLED
ATRDR_BULL,recovered_deep_winner,13,2,SAMPLED
ATRDR_BULL,never_worked,139,2,SAMPLED
ATRDR_BULL,worked_gave_back,153,2,SAMPLED
ATRDR_BULL,simple_stop_rescued,42,2,SAMPLED
ATRDR_BULL,simple_stop_harmed,6,2,SAMPLED
ATRDR_FAST_BEAR,severe_loss,13,2,SAMPLED
ATRDR_FAST_BEAR,recovered_deep_winner,18,2,SAMPLED
ATRDR_FAST_BEAR,never_worked,3,2,SAMPLED
ATRDR_FAST_BEAR,worked_gave_back,9,2,SAMPLED
ATRDR_FAST_BEAR,simple_stop_rescued,7,2,SAMPLED
ATRDR_FAST_BEAR,simple_stop_harmed,4,2,SAMPLED
ATRDR_SLOW_BEAR,severe_loss,24,2,SAMPLED
ATRDR_SLOW_BEAR,recovered_deep_winner,16,2,SAMPLED
ATRDR_SLOW_BEAR,never_worked,21,2,SAMPLED
ATRDR_SLOW_BEAR,worked_gave_back,32,2,SAMPLED
ATRDR_SLOW_BEAR,simple_stop_rescued,14,2,SAMPLED
ATRDR_SLOW_BEAR,simple_stop_harmed,11,2,SAMPLED
MCB,severe_loss,31,2,SAMPLED
MCB,recovered_deep_winner,12,2,SAMPLED
MCB,never_worked,69,2,SAMPLED
MCB,worked_gave_back,106,2,SAMPLED
MCB,simple_stop_rescued,24,2,SAMPLED
MCB,simple_stop_harmed,6,2,SAMPLED
OGR,severe_loss,6,2,SAMPLED
OGR,recovered_deep_winner,3,2,SAMPLED
OGR,never_worked,12,2,SAMPLED
OGR,worked_gave_back,7,2,SAMPLED
OGR,simple_stop_rescued,3,2,SAMPLED
OGR,simple_stop_harmed,1,1,SAMPLED
SMV6,severe_loss,0,0,EMPTY_NO_THRESHOLD_RELAXATION
SMV6,recovered_deep_winner,0,0,EMPTY_NO_THRESHOLD_RELAXATION
SMV6,never_worked,15,2,SAMPLED
SMV6,worked_gave_back,1,1,SAMPLED
SMV6,simple_stop_rescued,0,0,NOT_OPENED_SMV6_STOP_GRID
SMV6,simple_stop_harmed,0,0,NOT_OPENED_SMV6_STOP_GRID
