route,pair_id,tier,distance,age_difference,return_difference,mae_difference,atr_difference,selected_pairs,eligible_states,eligible_events
ATRDR_BULL,ATRDR_BULL_PAIR_1,PRIMARY,0.0058687697978712285,0.0,0.0007027276930193782,0.00015718908922746078,0.0006010171058715014,,,
ATRDR_BULL,ATRDR_BULL_PAIR_2,PRIMARY,0.009968545423026009,0.0,0.000603538656524738,0.0013724714046445818,0.0006033591420602155,,,
ATRDR_BULL,QUOTA,FILLED,,,,,,2.0,2590.0,692.0
ATRDR_FAST_BEAR,ATRDR_FAST_BEAR_PAIR_1,PRIMARY,0.2227727689332761,0.0,0.005617406222385601,0.0002330127736542842,0.002870391334667703,,,
ATRDR_FAST_BEAR,ATRDR_FAST_BEAR_PAIR_2,PRIMARY,0.48584566797352524,0.0,0.0026731184201924663,0.0025655780170917852,0.006615377070454599,,,
ATRDR_FAST_BEAR,QUOTA,FILLED,,,,,,2.0,140.0,43.0
ATRDR_SLOW_BEAR,ATRDR_SLOW_BEAR_PAIR_1,PRIMARY,0.03389556323845792,0.0,0.00012664640324222542,0.0013931104356637025,0.001702127659574476,,,
ATRDR_SLOW_BEAR,ATRDR_SLOW_BEAR_PAIR_2,PRIMARY,0.06085260581327281,0.0,0.0012921743471060454,0.004498218864157133,0.0005335466158418734,,,
ATRDR_SLOW_BEAR,QUOTA,FILLED,,,,,,2.0,585.0,177.0
MCB,MCB_PAIR_1,PRIMARY,0.004246742419567242,0.0,8.33333333335462e-05,0.000583333333332936,0.0005801020408163493,,,
MCB,MCB_PAIR_2,PRIMARY,0.011753374037665298,0.0,0.0006561882888960202,0.0018894646012559413,0.0003024037538922747,,,
MCB,QUOTA,FILLED,,,,,,2.0,1566.0,427.0
OGR,OGR_PAIR_1,PRIMARY,0.032919305884852625,0.0,0.001438468819537575,0.0022681986350331362,0.0010421651478914329,,,
OGR,OGR_PAIR_2,PRIMARY,0.11515496283338536,0.0,0.0004213661862545459,0.005464540071314694,0.0019928085365080173,,,
OGR,QUOTA,FILLED,,,,,,2.0,228.0,64.0
SMV6,SMV6_PAIR_1,PRIMARY,0.13115361832226113,0.0,0.004315937266116121,0.004006822220934403,0.0009071379811708535,,,
SMV6,SMV6_PAIR_2,PRIMARY,0.49388777047883803,0.0,0.008407795593384448,0.006826873243345188,0.002513760802260538,,,
SMV6,QUOTA,FILLED,,,,,,2.0,60.0,21.0
