left,right,common_days,daily_return_corr,both_held_days,both_held_corr,right_mean_on_left_tail,right_loss_rate_on_left_tail,left_mean_on_right_tail,left_loss_rate_on_right_tail
ATRDR,MCB,2396,0.7720731385192883,,,-0.005571729538407742,0.725,-0.00886393490231013,0.975
ATRDR,OGR,645,0.5367836939112556,245.0,0.6749102545088405,-0.0004663458763601723,0.6363636363636364,-0.007841320346567274,0.7272727272727273
ATRDR,IFCGR,1108,0.39631150354900335,373.0,0.6132313744344144,-0.00033725560974762995,0.5357142857142857,-0.005558786380895985,0.7142857142857143
ATRDR,SMV6,3057,0.34804342161056356,689.0,0.5616615699821144,-0.004159367705532065,0.30718954248366015,-0.00363827902972467,0.6209150326797386
MCB,OGR,471,0.02151258218779397,,,-4.4440369947125934e-05,0.2916666666666667,-8.92358725311145e-05,0.20833333333333334
MCB,IFCGR,471,0.021512582187794175,,,-4.4440369947125934e-05,0.2916666666666667,-8.92358725311145e-05,0.20833333333333334
MCB,SMV6,2396,0.3418683469725924,,,-0.0042420357321126066,0.325,-0.0019741693317136388,0.35833333333333334
OGR,IFCGR,645,0.9996594295438613,302.0,0.9996554385083481,-0.0008282877612416975,1.0,-0.0008230638204208484,1.0
OGR,SMV6,645,0.023135965709973533,62.0,0.12182847366085583,-0.0009900084020950863,0.24242424242424243,-9.217548695526809e-05,0.45454545454545453
IFCGR,SMV6,1108,0.014573605947791862,118.0,0.1597733060981365,-0.0006814035574935167,0.19642857142857142,-5.652290933242218e-05,0.32142857142857145
