comparison,match_method,group,events,signal_dates,mature_return_mean,mature_return_median,mature_n
A ATRDR_BULL_vs_MCB,symbol+signal_date exact key (not complete economic-event identity),common,576,79,0.035641502724823707,0.026895031015656046,1152
A ATRDR_BULL_vs_MCB,symbol+signal_date exact key (not complete economic-event identity),left_only,888,220,0.016739494051081,0.005150154791886189,888
A ATRDR_BULL_vs_MCB,symbol+signal_date exact key (not complete economic-event identity),right_only,114,36,0.03857281677251087,0.034800301891640184,114
B OGR_vs_IFCGR,symbol+signal_date exact key (not complete economic-event identity),common,104,40,0.07209945735383133,0.06715140107794304,208
B OGR_vs_IFCGR,symbol+signal_date exact key (not complete economic-event identity),left_only,2,2,0.08699608951559257,0.08699608951559257,2
B OGR_vs_IFCGR,symbol+signal_date exact key (not complete economic-event identity),right_only,64,27,0.04081374331282706,0.04973694325697031,52
C BEAR_WORSENING_FAST_CAPITULATION_vs_OGR,symbol+signal_date exact key (not complete economic-event identity),common,0,0,,,0
C BEAR_WORSENING_FAST_CAPITULATION_vs_OGR,symbol+signal_date exact key (not complete economic-event identity),left_only,109,29,0.05181330663558899,0.09600000000000009,109
C BEAR_WORSENING_FAST_CAPITULATION_vs_OGR,symbol+signal_date exact key (not complete economic-event identity),right_only,106,40,0.07238052588518532,0.06715140107794304,106
C BEAR_STABILIZING_SLOW_SUPPLY_EXHAUSTION_vs_OGR,symbol+signal_date exact key (not complete economic-event identity),common,3,2,0.06514906573343326,0.06590139825653507,6
C BEAR_STABILIZING_SLOW_SUPPLY_EXHAUSTION_vs_OGR,symbol+signal_date exact key (not complete economic-event identity),left_only,552,144,0.03695699418144659,0.09600000000000009,528
C BEAR_STABILIZING_SLOW_SUPPLY_EXHAUSTION_vs_OGR,symbol+signal_date exact key (not complete economic-event identity),right_only,103,40,0.0726524098364604,0.06715141146278869,103
