strategy,dimension,rank,key,realized_profit,share_of_all_positive_trade_profit,profit_definition
MCB,SIGNAL_DATE,1,2019-02-18,0.06333502503611853,0.041808505572954305,account-cash realized PnL; OGR includes cash distributions
MCB,SIGNAL_DATE,2,2019-02-22,0.0578300964545504,0.038174610470679445,account-cash realized PnL; OGR includes cash distributions
MCB,SIGNAL_DATE,3,2019-02-25,0.055060888475302924,0.036346610131735665,account-cash realized PnL; OGR includes cash distributions
MCB,SIGNAL_DATE,4,2020-06-19,0.049111147991781845,0.032419087279710795,account-cash realized PnL; OGR includes cash distributions
MCB,SIGNAL_DATE,5,2023-01-18,0.034695625978782826,0.02290316094868284,account-cash realized PnL; OGR includes cash distributions
MCB,SECURITY,1,002743.SZ,0.0111901951845753,0.00738683433802957,account-cash realized PnL; OGR includes cash distributions
MCB,SECURITY,2,300320.SZ,0.008932434289525108,0.005896448743182584,account-cash realized PnL; OGR includes cash distributions
MCB,SECURITY,3,000686.SZ,0.008895774278763844,0.005872248859100391,account-cash realized PnL; OGR includes cash distributions
MCB,SECURITY,4,300523.SZ,0.008845119514439417,0.0058388108049534666,account-cash realized PnL; OGR includes cash distributions
MCB,SECURITY,5,002926.SZ,0.0086158081328102,0.005687438540218123,account-cash realized PnL; OGR includes cash distributions
ATRDR,SIGNAL_DATE,1,2019-02-18,0.08641506277491491,0.022830922836298097,account-cash realized PnL; OGR includes cash distributions
ATRDR,SIGNAL_DATE,2,2022-05-05,0.06474317179415169,0.017105193376525024,account-cash realized PnL; OGR includes cash distributions
ATRDR,SIGNAL_DATE,3,2019-02-25,0.06390496539373222,0.01688373863201232,account-cash realized PnL; OGR includes cash distributions
ATRDR,SIGNAL_DATE,4,2019-02-22,0.05529123628813659,0.014607985097528788,account-cash realized PnL; OGR includes cash distributions
ATRDR,SIGNAL_DATE,5,2023-01-18,0.05460952259607053,0.014427875841107276,account-cash realized PnL; OGR includes cash distributions
ATRDR,SECURITY,1,000686.SZ,0.013462573675260506,0.003556821818881718,account-cash realized PnL; OGR includes cash distributions
ATRDR,SECURITY,2,300123.SZ,0.013438349388140189,0.0035504217444936583,account-cash realized PnL; OGR includes cash distributions
ATRDR,SECURITY,3,300651.SZ,0.013435193576581309,0.0035495879767699183,account-cash realized PnL; OGR includes cash distributions
ATRDR,SECURITY,4,000409.SZ,0.013300090552479962,0.003513893658914215,account-cash realized PnL; OGR includes cash distributions
ATRDR,SECURITY,5,002926.SZ,0.012799348659012874,0.0033815972841441497,account-cash realized PnL; OGR includes cash distributions
OGR,SIGNAL_DATE,1,2018-10-26,0.08574255827102999,0.3536648612686947,account-cash realized PnL; OGR includes cash distributions
OGR,SIGNAL_DATE,2,2018-02-22,0.025022009244824794,0.10320902019580774,account-cash realized PnL; OGR includes cash distributions
OGR,SIGNAL_DATE,3,2018-10-22,0.021239683113209507,0.08760794794435565,account-cash realized PnL; OGR includes cash distributions
OGR,SIGNAL_DATE,4,2018-10-25,0.011040681441441207,0.045539824668591036,account-cash realized PnL; OGR includes cash distributions
OGR,SIGNAL_DATE,5,2018-10-31,0.007545812185478222,0.031124434278029422,account-cash realized PnL; OGR includes cash distributions
OGR,SECURITY,1,603101.SH,0.0038155778194685804,0.015738226469948945,account-cash realized PnL; OGR includes cash distributions
OGR,SECURITY,2,300278.SZ,0.0030627040853792257,0.012632825953697737,account-cash realized PnL; OGR includes cash distributions
OGR,SECURITY,3,000917.SZ,0.002938593193517856,0.012120902094214346,account-cash realized PnL; OGR includes cash distributions
OGR,SECURITY,4,600604.SH,0.002673472627273894,0.011027351468120783,account-cash realized PnL; OGR includes cash distributions
OGR,SECURITY,5,300268.SZ,0.00266244229272386,0.010981854321580626,account-cash realized PnL; OGR includes cash distributions
IFCGR,SIGNAL_DATE,1,2018-10-26,0.08544149910229301,0.36767546233020587,account-cash realized PnL; OGR includes cash distributions
IFCGR,SIGNAL_DATE,2,2018-02-22,0.023880752260691765,0.10276466027042488,account-cash realized PnL; OGR includes cash distributions
IFCGR,SIGNAL_DATE,3,2018-10-22,0.021191054361128746,0.09119023883422754,account-cash realized PnL; OGR includes cash distributions
IFCGR,SIGNAL_DATE,4,2018-10-25,0.010987558887492735,0.047282126791837104,account-cash realized PnL; OGR includes cash distributions
IFCGR,SIGNAL_DATE,5,2018-10-31,0.007550944910777055,0.03249354459214259,account-cash realized PnL; OGR includes cash distributions
IFCGR,SECURITY,1,603101.SH,0.0037926569295873708,0.01632072125017844,account-cash realized PnL; OGR includes cash distributions
IFCGR,SECURITY,2,000917.SZ,0.0029310739651154105,0.012613121101229793,account-cash realized PnL; OGR includes cash distributions
IFCGR,SECURITY,3,300268.SZ,0.00266244229272386,0.0114571339593744,account-cash realized PnL; OGR includes cash distributions
IFCGR,SECURITY,4,600604.SH,0.002660609137404594,0.0114492454480934,account-cash realized PnL; OGR includes cash distributions
IFCGR,SECURITY,5,002631.SZ,0.002572836341479586,0.011071537850956025,account-cash realized PnL; OGR includes cash distributions
