record_type,a,b,start,end,n_days,full_day_correlation,both_active_correlation,both_active_return_days,common_holding_days,b_mean_on_a_worst5pct,a_tail_n,a_actual_loss_days_in_tail,a_mean_on_b_worst5pct,b_tail_n,b_actual_loss_days_in_tail,common_negative_ratio,a_tail_threshold,b_tail_threshold,tail_pressure_note,delta_total_return,delta_cagr,delta_max_drawdown,delta_sharpe,delta_worst_5pct_mean,delta_avg_utilization
PAIR_RISK,ATRDR,MCB,2014-02-13,2023-12-13,2396.0,0.7720731385192872,0.885367175387182,999.0,1000.0,-0.005571729538407742,120.0,120.0,-0.008863934902310121,120.0,120.0,0.12813021702838062,-0.005109916710280826,-0.0022234905508171643,ACTUAL_NEGATIVE_TAIL,NA,NA,NA,NA,NA,NA
PAIR_RISK,ATRDR,OGR,2018-01-02,2021-12-15,960.0,0.23345116123148388,0.3480816587252747,395.0,395.0,-0.0002438259062207751,48.0,48.0,-0.003092099752879373,48.0,48.0,0.12083333333333333,-0.005201370513170267,-0.00030219087901561803,ACTUAL_NEGATIVE_TAIL,NA,NA,NA,NA,NA,NA
PAIR_RISK,ATRDR,IFCGR,2018-01-02,2021-12-15,960.0,0.23279002711927788,0.34717827984302113,393.0,393.0,-0.00024354601699156284,48.0,48.0,-0.0030254107297324243,48.0,48.0,0.121875,-0.005201370513170267,-0.0002734758428235562,ACTUAL_NEGATIVE_TAIL,NA,NA,NA,NA,NA,NA
PAIR_RISK,ATRDR,SMV6,2014-01-03,2023-12-29,2429.0,0.21848090293385655,0.4470617013819295,498.0,499.0,-0.002498511601731759,122.0,122.0,-0.003041551035624025,122.0,122.0,0.06463565253190613,-0.0050894948860930045,-0.002612223456136098,ACTUAL_NEGATIVE_TAIL,NA,NA,NA,NA,NA,NA
PAIR_RISK,MCB,OGR,2018-01-02,2021-12-15,960.0,0.015733357099628743,0.23561421527477655,108.0,108.0,-6.412402463962935e-05,48.0,48.0,-0.0008281506193723054,48.0,48.0,0.034375,-0.002559708816763262,-0.00030219087901561803,ACTUAL_NEGATIVE_TAIL,NA,NA,NA,NA,NA,NA
PAIR_RISK,MCB,IFCGR,2018-01-02,2021-12-15,960.0,0.016016348291474452,0.23498218824628397,106.0,106.0,-6.392857906816392e-05,48.0,48.0,-0.0008281506193723054,48.0,48.0,0.034375,-0.002559708816763262,-0.0002734758428235562,ACTUAL_NEGATIVE_TAIL,NA,NA,NA,NA,NA,NA
PAIR_RISK,MCB,SMV6,2014-02-13,2023-12-13,2393.0,0.2508121395428912,0.5521989847842471,349.0,350.0,-0.002564136993156558,120.0,120.0,-0.0020344385068373533,120.0,120.0,0.03593815294609277,-0.0022234905508171643,-0.0026207759872122205,ACTUAL_NEGATIVE_TAIL,NA,NA,NA,NA,NA,NA
PAIR_RISK,OGR,IFCGR,2018-01-02,2021-12-15,960.0,0.9988156515604028,0.9988319743233923,434.0,434.0,-0.0009756207776106899,48.0,48.0,-0.0009860774203430886,48.0,48.0,0.20833333333333334,-0.00030219087901561803,-0.0002734758428235562,ACTUAL_NEGATIVE_TAIL,NA,NA,NA,NA,NA,NA
PAIR_RISK,OGR,SMV6,2018-01-02,2021-12-15,960.0,-0.0001979793404983211,0.19350072853775635,88.0,88.0,0.00030281562458343386,48.0,48.0,-2.9596190295940832e-05,48.0,48.0,0.03125,-0.00030219087901561803,-0.004311906332742921,ACTUAL_NEGATIVE_TAIL,NA,NA,NA,NA,NA,NA
PAIR_RISK,IFCGR,SMV6,2018-01-02,2021-12-15,960.0,-0.0008299564202053204,0.14766176160181826,86.0,86.0,0.00030281562458343386,48.0,48.0,-2.6797870888442082e-05,48.0,48.0,0.030208333333333334,-0.0002734758428235562,-0.004311906332742921,ACTUAL_NEGATIVE_TAIL,NA,NA,NA,NA,NA,NA
DELETE_LEAVE_CASH_DELTA,P1,P1_WITHOUT_ATRDR_LEAVE_CASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16401820400882583,0.034822391538895436,-0.00840491215442385,0.20232238199683228,-0.0025587641697655903,0.05502298278012244
DELETE_LEAVE_CASH_DELTA,P1,P1_WITHOUT_MCB_LEAVE_CASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0946108573023483,0.01967300511111225,-0.008597103132688577,0.019158699610983154,-0.0015621867028637205,0.023097122999511235
DELETE_LEAVE_CASH_DELTA,P1,P1_WITHOUT_OGR_LEAVE_CASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02754236694127643,0.005617791148994966,0.000757317149768677,0.11686121711433595,0.0001029132144495775,0.0013856192377641047
DELETE_LEAVE_CASH_DELTA,P1,P1_WITHOUT_SMV6_LEAVE_CASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06280545349453259,0.012939488996379644,-0.00611657782172359,-0.05452057786509257,-0.0017954895028281697,0.03176206951528476
DELETE_LEAVE_CASH_DELTA,P2,P2_WITHOUT_ATRDR_LEAVE_CASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16401820400882583,0.03484809662407229,-0.00840908178022104,0.20602314372543473,-0.0025600316646684426,0.05505603655822647
DELETE_LEAVE_CASH_DELTA,P2,P2_WITHOUT_MCB_LEAVE_CASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0946108573023483,0.019687116077002687,-0.008601588404637761,0.02097491336996682,-0.0015630652912266745,0.023110834446879072
DELETE_LEAVE_CASH_DELTA,P2,P2_WITHOUT_IFCGR_LEAVE_CASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026294302035785533,0.005365086512620465,0.0007325892180134463,0.11121002329003682,9.820847467202458e-05,0.0013988708524123455
DELETE_LEAVE_CASH_DELTA,P2,P2_WITHOUT_SMV6_LEAVE_CASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06280545349453259,0.012948654034875773,-0.006119702231459856,-0.05315961296506955,-0.0017968189521606589,0.03178258751751438
COST_STRESS_DELTA,P1,P1_EXTRA_20BP_PER_FILL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04418826487909078,-0.009055567495564798,-0.001846519741094954,-0.19804527729264199,NA,NA
COST_STRESS_DELTA,P2,P2_EXTRA_20BP_PER_FILL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04408173796503645,-0.009039815414665142,-0.0018955318690900835,-0.1975463548886076,NA,NA
