trade_date,family,nav,cash,positions,industries,industry_hhi
2018-07-10,industry_diffusion_20,10020118.38,7500000,10,1,1
2018-07-11,industry_diffusion_20,9928157.926,7500000,10,1,1
2018-07-12,industry_diffusion_20,9999716.309,7500000,10,1,1
2018-07-13,industry_diffusion_20,9995514.684,7500000,10,1,1
2018-07-16,industry_diffusion_20,10011529.75,7500000,10,1,1
2018-07-17,industry_diffusion_20,10023413.05,4997242.421,20,4,0.413988768
2018-07-18,industry_diffusion_20,9971075.285,4997242.421,20,4,0.4116483674
2018-07-19,industry_diffusion_20,9847152.065,4997242.421,20,4,0.4121205998
2018-07-20,industry_diffusion_20,9938476.791,4997242.421,20,4,0.4153198301
2018-07-23,industry_diffusion_20,9987671.24,4997242.421,20,4,0.4280652606
2018-07-24,industry_diffusion_20,10054899.9,2503910.552,30,8,0.3008569505
2018-07-25,industry_diffusion_20,10106666.84,2503910.552,30,8,0.3024832761
2018-07-26,industry_diffusion_20,9957143.022,2503910.552,30,8,0.2983317261
2018-07-27,industry_diffusion_20,9984735.925,2503910.552,30,8,0.2958648145
2018-07-30,industry_diffusion_20,9925799.561,2503910.552,30,8,0.2981535173
2018-07-31,industry_diffusion_20,9829829.265,27758.95644,40,12,0.1844800415
2018-08-01,industry_diffusion_20,9571850.715,27758.95644,40,12,0.1823600132
2018-08-02,industry_diffusion_20,9390532.052,27758.95644,40,12,0.1779283603
2018-08-03,industry_diffusion_20,9232047.453,27758.95644,40,12,0.1806580841
2018-08-06,industry_diffusion_20,9054369.305,27758.95644,40,12,0.180383949
2018-08-07,industry_diffusion_20,9346408.283,-2.619344741e-10,40,12,0.1474167446
2018-08-08,industry_diffusion_20,9189143.723,-2.619344741e-10,40,12,0.149625366
2018-08-09,industry_diffusion_20,9394466.347,-2.619344741e-10,40,12,0.1484383238
2018-08-10,industry_diffusion_20,9427176.92,-2.619344741e-10,40,12,0.1474097866
2018-08-13,industry_diffusion_20,9546672.618,-2.619344741e-10,40,12,0.1488467819
2018-08-14,industry_diffusion_20,9408076.983,4.074536264e-10,40,10,0.2443965355
2018-08-15,industry_diffusion_20,9279493.944,4.074536264e-10,40,10,0.2416724376
2018-08-16,industry_diffusion_20,9142569.573,4.074536264e-10,40,10,0.2419831708
