group,profit,invested,trades,dimension,net_pnl_share
IT服务Ⅱ,109849.8328,5604693.109,13,industry,0.008972120581
一般零售,-66466.77567,2335338.808,6,industry,-0.005428755883
专业工程,-111412.954,3965086.084,13,industry,-0.009099790434
专业服务,54063.05449,1241552.835,3,industry,0.004415666656
个护用品,-127022.405,1721639.396,4,industry,-0.01037471159
中药Ⅱ,-167516.2477,5348235.94,11,industry,-0.01368209615
乘用车,2002737.694,18308871.27,44,industry,0.1635760714
互联网电商,-54730.2405,2701192.757,9,industry,-0.004470159897
休闲食品,161254.603,4829095.002,17,industry,0.01317066859
元件,149795.324,7650265.003,23,industry,0.01223471785
光伏设备,438112.1962,8527065.543,24,industry,0.03578335399
光学光电子,-176246.2515,5952274.339,12,industry,-0.01439512997
其他电子Ⅱ,345019.9213,5103367.506,13,industry,0.02817992762
其他电源设备Ⅱ,-2128.619588,278844.0785,1,industry,-0.0001738576303
养殖业,808059.9293,22146147.08,64,industry,0.06599929138
军工电子Ⅱ,-115571.1042,2646804.371,7,industry,-0.009439412477
农产品加工,81300.74199,3900526.73,12,industry,0.006640338378
农化制品,4096.983508,2307903.101,6,industry,0.0003346261812
冶钢原料,-275701.6067,3774840.65,9,industry,-0.02251826878
出版,1598572.929,30767046.77,58,industry,0.1305654157
动物保健Ⅱ,44178.52446,1169292.079,3,industry,0.003608335475
包装印刷,1532.251513,387043.2351,2,industry,0.0001251485322
化妆品,336472.668,5006385.801,14,industry,0.02748182016
化学制药,73138.41317,5547595.32,10,industry,0.005973670105
化学原料,-106603.0587,1593624.203,4,industry,-0.008706936303
化学纤维,-732191.0362,10193443.8,23,industry,-0.05980260596
医疗器械,339439.8837,11834729.82,38,industry,0.02772417117
医疗服务,57820.80526,2878735.434,8,industry,0.004722585585
医药商业,298293.4282,14748732.98,40,industry,0.02436348366
半导体,53895.49596,6763700.008,19,industry,0.004401981107
厨卫电器,14151.62442,388393.0056,1,industry,0.001155851379
商用车,616089.434,14367759.78,33,industry,0.05031986441
地面兵装Ⅱ,471163.6542,31226471.46,65,industry,0.03848287259
基础建设,-41256.87601,1946034.457,5,industry,-0.003369706234
塑料,39264.60657,271195.8386,1,industry,0.00320698517
多元金融,284786.4533,4026877.332,10,industry,0.02326028483
家居用品,4415.013286,749351.4061,2,industry,0.0003606016556
家电零部件Ⅱ,356103.5173,9409354.703,19,industry,0.02908519399
小家电,218160.5883,5271292.093,12,industry,0.01781853513
小金属,286289.6042,20128401.19,54,industry,0.02338305653
工业金属,99751.09973,7114427.313,18,industry,0.008147294103
工程咨询服务Ⅱ,-49735.97809,878051.5146,2,industry,-0.004062247355
工程机械,88865.56228,21031150.01,73,industry,0.007258204406
广告营销,-324874.8186,6821626.627,13,industry,-0.02653455151
影视院线,566343.9032,9880350.722,20,industry,0.04625683682
房地产开发,114607.2854,11623902.73,40,industry,0.009360691395
房地产服务,-945689.3028,16292107.28,32,industry,-0.07724034022
房屋建设Ⅱ,-168447.0693,4318174.246,8,industry,-0.01375812215
摩托车及其他,273194.9976,2338187.452,6,industry,0.02231353839
教育,322581.5815,7440690.442,17,industry,0.02634724854
数字媒体,1086047.511,7572408.207,17,industry,0.08870426999
文娱用品,86677.24953,1786372.951,5,industry,0.007079471263
旅游及景区,252436.9441,29542987.48,64,industry,0.02061809876
普钢,281775.8537,36718079.31,89,industry,0.02301439039
服装家纺,-29722.26696,405544.7112,1,industry,-0.002427602813
橡胶,180383.7899,1797829.226,4,industry,0.01473306852
水泥,413173.1034,18960471.08,46,industry,0.03374642283
汽车零部件,13953.60263,854571.2739,2,industry,0.001139677705
油服工程,-854276.4947,12695018.71,30,industry,-0.06977408637
消费电子,442014.3715,5563523.52,14,industry,0.03610206897
渔业,-826580.2853,10077535,23,industry,-0.06751196431
游戏Ⅱ,23742.28239,9531421.598,18,industry,0.001939180198
炼化及贸易,-52260.65052,7598358.854,22,industry,-0.004268453089
焦炭Ⅱ,-83362.60411,5182353.099,12,industry,-0.00680874351
煤炭开采,-125172.8564,30950111.8,64,industry,-0.01022364743
燃气Ⅱ,367238.2649,18601970.59,49,industry,0.02999463824
物流,3062.738656,853501.6043,2,industry,0.0002501529573
特钢Ⅱ,-42016.13336,3165474.878,7,industry,-0.003431719515
环保设备Ⅱ,-44574.60337,3234245.032,7,industry,-0.003640685709
环境治理,77773.22345,4825844.429,13,industry,0.00635222395
玻璃玻纤,797359.4026,8182063.323,20,industry,0.06512531267
生物制品,33971.90042,3376455.736,11,industry,0.002774696868
电子化学品Ⅱ,10555.86108,3452043.444,11,industry,0.0008621629732
电机Ⅱ,-328.451994,6100515.346,13,industry,-2.682672172e-05
电池,74829.09259,1632565.023,5,industry,0.006111758431
电网设备,155678.4135,1283621.877,5,industry,0.01271522644
电视广播Ⅱ,-17416.06135,13085797.59,32,industry,-0.001422478292
白色家电,611091.1479,28456256.49,67,industry,0.04991162323
白酒Ⅱ,1508395.612,51342205.77,143,industry,0.1232000721
种植业,-912181.9287,13689367.66,33,industry,-0.07450358411
纺织制造,-117362.0487,6537792.575,14,industry,-0.009585690078
综合Ⅱ,29547.13215,17066062.32,45,industry,0.002413298462
能源金属,-195195.1416,32027247.63,73,industry,-0.01594280394
航天装备Ⅱ,-79885.17408,11500292.55,23,industry,-0.006524720123
航海装备Ⅱ,-193589.7685,3937706.676,8,industry,-0.01581168311
航空机场,102253.2738,26911161.36,61,industry,0.008351662257
航空装备Ⅱ,-659064.5714,12023611.12,38,industry,-0.05382991176
航运港口,158689.7971,12356377.94,31,industry,0.0129611849
装修建材,240880.0918,7023508.241,23,industry,0.0196741786
