map,first_dimension,second_dimension,first_state,second_state,support,decision_dates,cohorts,trades,calendar_years,early_dates,late_dates,mean_cohort_payoff,absolute_trade_return,selected_industry_return,broad_proxy_return,relative_to_industry,relative_to_broad,winner_rate,severe_loss_rate,early_mean_cohort_payoff,late_mean_cohort_payoff
ABSOLUTE_MARKET_STATE_X_CROSS_SECTIONAL_DISPERSION,ABSOLUTE_MARKET_STATE,CROSS_SECTIONAL_DISPERSION,HIGH,HIGH,SUPPORTED,42,42,418,5,22,20,0.01070169363,0.009987106196,0.0008310963901,-0.05691459994,0.009870597242,0.06761629357,0.480861244,0.1555023923,0.03587975448,-0.01699417331
ABSOLUTE_MARKET_STATE_X_CROSS_SECTIONAL_DISPERSION,ABSOLUTE_MARKET_STATE,CROSS_SECTIONAL_DISPERSION,HIGH,LOW,SUPPORTED,25,25,249,3,11,14,0.02143475086,0.02137498915,0.009676716974,-0.04582442011,0.01175803389,0.06725917098,0.4497991968,0.1004016064,0.0579345347,-0.007243650722
ABSOLUTE_MARKET_STATE_X_CROSS_SECTIONAL_DISPERSION,ABSOLUTE_MARKET_STATE,CROSS_SECTIONAL_DISPERSION,HIGH,MEDIUM,SUPPORTED,26,26,260,6,8,18,0.0196314291,0.0196314291,0.0125522276,-0.04587829788,0.007079201502,0.06550972698,0.5,0.1038461538,0.01619719082,0.02115775722
ABSOLUTE_MARKET_STATE_X_CROSS_SECTIONAL_DISPERSION,ABSOLUTE_MARKET_STATE,CROSS_SECTIONAL_DISPERSION,LOW,HIGH,SUPPORTED,31,31,308,5,14,17,0.01058232985,0.01120796255,-0.01652627514,-0.04903847457,0.02710860499,0.05962080443,0.512987013,0.1850649351,0.0390255237,-0.01284147685
ABSOLUTE_MARKET_STATE_X_CROSS_SECTIONAL_DISPERSION,ABSOLUTE_MARKET_STATE,CROSS_SECTIONAL_DISPERSION,LOW,LOW,SUPPORTED,18,18,180,5,8,10,0.01455813954,0.01455813954,0.004336007671,-0.02202962174,0.01022213187,0.03658776128,0.4722222222,0.1222222222,0.01039909417,0.01788537583
ABSOLUTE_MARKET_STATE_X_CROSS_SECTIONAL_DISPERSION,ABSOLUTE_MARKET_STATE,CROSS_SECTIONAL_DISPERSION,LOW,MEDIUM,SUPPORTED,25,25,250,5,11,14,-0.01495303634,-0.01495303634,-0.0318107922,-0.06004945013,0.01685775586,0.04509641379,0.444,0.2,0.01098560877,-0.03533340036
ABSOLUTE_MARKET_STATE_X_CROSS_SECTIONAL_DISPERSION,ABSOLUTE_MARKET_STATE,CROSS_SECTIONAL_DISPERSION,MEDIUM,HIGH,SUPPORTED,42,42,420,5,21,21,0.02721192877,0.02721192877,0.0211527175,-0.04800067984,0.006059211268,0.07521260861,0.5547619048,0.1404761905,0.009662446539,0.044761411
ABSOLUTE_MARKET_STATE_X_CROSS_SECTIONAL_DISPERSION,ABSOLUTE_MARKET_STATE,CROSS_SECTIONAL_DISPERSION,MEDIUM,LOW,SUPPORTED,39,39,390,4,21,18,0.01042867483,0.01042867483,-0.007908222479,-0.04421751088,0.01833689731,0.05464618572,0.4538461538,0.1179487179,-0.01085344123,0.03525781024
ABSOLUTE_MARKET_STATE_X_CROSS_SECTIONAL_DISPERSION,ABSOLUTE_MARKET_STATE,CROSS_SECTIONAL_DISPERSION,MEDIUM,MEDIUM,SUPPORTED,15,15,150,5,6,9,0.04202303193,0.04202303193,0.03239746213,-0.04303153142,0.009625569793,0.08505456335,0.5266666667,0.1333333333,0.05411453144,0.03396203225
ABSOLUTE_MARKET_STATE_X_SYNCHRONIZATION,ABSOLUTE_MARKET_STATE,SYNCHRONIZATION,HIGH,HIGH,SUPPORTED,33,33,328,6,20,13,0.01862591928,0.01776357447,0.005503635257,-0.0515752703,0.01312228402,0.07020118958,0.4969512195,0.118902439,0.02051400639,0.01572116987
ABSOLUTE_MARKET_STATE_X_SYNCHRONIZATION,ABSOLUTE_MARKET_STATE,SYNCHRONIZATION,HIGH,LOW,SUPPORTED,27,27,269,6,10,17,0.03344425163,0.03343357814,0.02576235008,-0.03639072143,0.007681901547,0.06983497305,0.5092936803,0.0780669145,0.09428777842,-0.002346058254
ABSOLUTE_MARKET_STATE_X_SYNCHRONIZATION,ABSOLUTE_MARKET_STATE,SYNCHRONIZATION,HIGH,MEDIUM,SUPPORTED,33,33,330,6,11,22,-0.0006634263419,-0.0006634263419,-0.008303682586,-0.06194927413,0.007640256244,0.06128584779,0.4333333333,0.1727272727,0.01845946317,-0.0102248711
