signal_date,absolute_market_state,complete_stocks,stock_p10,stock_p90,positive_stock_fraction,cross_sectional_dispersion,synchronization,complete_industries,common_industries,industry_persistence,absolute_market_state_state,absolute_market_state_prior_q1,absolute_market_state_prior_q2,cross_sectional_dispersion_state,cross_sectional_dispersion_prior_q1,cross_sectional_dispersion_prior_q2,synchronization_state,synchronization_prior_q1,synchronization_prior_q2,industry_persistence_state,industry_persistence_prior_q1,industry_persistence_prior_q2,year,block,cohort_id,trades,absolute_trade_return,winner_rate,severe_loss_rate,cohort_payoff,selected_industry_return,broad_proxy_return,relative_to_industry,relative_to_broad
2018-07-09,-0.1252232097,3296,-0.2151824148,0,0.09496359223,0.2151824148,0.8100728155,128,128,0.761816746,LOW,-0.06854803291,-0.03886245935,MEDIUM,0.2125648373,0.2290793691,HIGH,0.2997999279,0.6321399516,MEDIUM,0.690937252,0.7944668254,2018,early,2018-07-09,10,-0.1026707882,0.1,0.6,-0.1026707882,-0.1225732345,-0.1106769607,0.01990244626,0.008006172471
2018-07-16,-0.08407483362,3298,-0.159047483,0.06232716361,0.2222559127,0.2213746466,0.5554881747,128,128,0.6286795001,LOW,-0.07723892047,-0.04122959132,MEDIUM,0.2130949566,0.2285878121,MEDIUM,0.3174457684,0.730828457,LOW,0.692606284,0.7890400873,2018,early,2018-07-16,10,-0.03283670463,0.2,0.2,-0.03283670463,-0.1218506879,-0.08091698624,0.08901398325,0.04808028161
2018-07-23,0.005048921517,3303,-0.08028773525,0.1399864699,0.6330608538,0.2202742051,0.2661217075,128,128,0.5669978026,HIGH,-0.0817961959,-0.04204701137,MEDIUM,0.213790776,0.2285256219,LOW,0.3239603924,0.6814842043,LOW,0.6892682201,0.7836133492,2018,early,2018-07-23,10,-0.08363595182,0.2,0.4,-0.08363595182,-0.08818584431,-0.1208500686,0.004549892485,0.03721411677
2018-07-30,-0.01143565285,3305,-0.0900159269,0.1097778099,0.5736762481,0.1997937368,0.1473524962,128,128,0.4549418605,HIGH,-0.07951755819,-0.03886245935,LOW,0.2144865954,0.2284634317,LOW,0.3003377481,0.6321399516,LOW,0.678468153,0.7833672862,2018,early,2018-07-30,10,-0.0253873123,0.5,0.2,-0.0253873123,-0.04588073472,-0.07897957754,0.02049342242,0.05359226524
2018-08-06,-0.0752224614,3308,-0.1773806735,0.05803999139,0.2333736397,0.2354206649,0.5332527207,128,128,0.757616508,MEDIUM,-0.07723892047,-0.03412819541,HIGH,0.2130949566,0.2284012415,MEDIUM,0.2661217075,0.5827956989,MEDIUM,0.6591073827,0.7831212232,2018,early,2018-08-06,10,-0.02442617705,0.4,0.1,-0.02442617705,-0.03474588779,-0.03295471852,0.01031971073,0.008528541466
2018-08-13,-0.04673549499,3307,-0.154346826,0.08238701969,0.3677048685,0.2367338456,0.2645902631,128,128,0.8505081487,MEDIUM,-0.07656676744,-0.03649532738,HIGH,0.213790776,0.2285256219,LOW,0.2832297278,0.5736931908,HIGH,0.6730681194,0.7828751602,2018,early,2018-08-13,10,-0.05486767183,0.2,0.1,-0.05486767183,-0.1045767801,-0.1020499522,0.04970910827,0.04718228036
2018-08-20,-0.08758390133,3310,-0.1872821712,0.02121709691,0.150755287,0.2084992681,0.698489426,128,128,0.8634350394,LOW,-0.07589461442,-0.03886245935,LOW,0.2144865954,0.2290793691,HIGH,0.2656112261,0.5645906827,HIGH,0.678468153,0.7833672862,2018,early,2018-08-20,10,-0.06099403964,0.2,0.1,-0.06099403964,-0.07594124217,-0.07269652724,0.01494720253,0.0117024876
2018-08-27,-0.06540201266,3311,-0.1456628478,0.03321590337,0.1917849592,0.1788787512,0.6164300815,128,128,0.770360282,MEDIUM,-0.07723892047,-0.04122959132,LOW,0.2130949566,0.2285878121,HIGH,0.2661217075,0.5827956989,MEDIUM,0.6838681865,0.7890400873,2018,early,2018-08-27,10,-0.07018589802,0,0.2,-0.07018589802,-0.08824351677,-0.05883849151,0.01805761875,-0.01134740651
2018-09-03,-0.02754290497,3312,-0.106583344,0.08724594803,0.4181763285,0.193829292,0.163647343,128,128,0.6757519227,HIGH,-0.07656676744,-0.04204701137,LOW,0.212034718,0.2285256219,LOW,0.2832297278,0.6052186207,LOW,0.6892682201,0.7836133492,2018,early,2018-09-03,10,-0.05213288557,0,0,-0.05213288557,-0.06375709301,-0.06522812623,0.01162420744,0.01309524066
2018-09-10,-0.08296725856,3313,-0.1613121186,0.01686441994,0.1319046182,0.1781765385,0.7361907637,128,128,0.7145039828,LOW,-0.07589461442,-0.03886245935,LOW,0.2109677796,0.2284634317,HIGH,0.2656112261,0.5940071598,MEDIUM,0.6802573552,0.7833672862,2018,early,2018-09-10,10,-0.06224184127,0.1,0.3,-0.06224184127,-0.06671500427,-0.1426633391,0.004473162999,0.0804214978
2018-09-17,-0.05512184601,3313,-0.1435011434,0.05066007459,0.2336251132,0.194161218,0.5327497736,128,128,0.6689823292,MEDIUM,-0.07723892047,-0.04122959132,LOW,0.2098941415,0.2284012415,MEDIUM,0.2661217075,0.6164300815,LOW,0.6847627876,0.7831212232,2018,early,2018-09-17,10,-0.08280713925,0.1,0.4,-0.08280713925,-0.09908282376,-0.09784752422,0.01627568451,0.01504038497
2018-09-25,-0.04331111003,3316,-0.1188692582,0.05241151649,0.2816646562,0.1712807747,0.4366706876,128,128,0.7661199872,MEDIUM,-0.07656676744,-0.04204701137,LOW,0.2097534265,0.2268160511,MEDIUM,0.2832297278,0.6052186207,MEDIUM,0.6757519227,0.7828751602,2018,early,2018-09-25,10,-0.1577022019,0,0.7,-0.1577022019,-0.1516992496,-0.1419015141,-0.006002952254,-0.01580068771
2018-10-09,-0.04886845045,3318,-0.1252029013,0.05270655111,0.2637130802,0.1779094524,0.4725738397,128,128,0.7328442593,MEDIUM,-0.07589461442,-0.04261727046,LOW,0.2092884687,0.2252308608,MEDIUM,0.3003377481,0.5940071598,MEDIUM,0.6802573552,0.7787035342,2018,early,2018-10-09,10,-0.0842629049,0.2,0.4,-0.0842629049,-0.07947756534,-0.06898228602,-0.004785339565,-0.01528061888
2018-10-16,-0.1442814213,3318,-0.2222921768,0,0.09885473177,0.2222921768,0.8022905365,128,128,0.6994311939,LOW,-0.0752224614,-0.04331111003,MEDIUM,0.2084992681,0.2236456704,HIGH,0.3174457684,0.5827956989,MEDIUM,0.6847627876,0.7745319081,2018,early,2018-10-16,10,0.03149247365,0.5,0.2,0.03149247365,0.02885497717,0.07026317489,0.002637496486,-0.03877070124
2018-10-23,-0.1060826804,3322,-0.1769730535,0.04501031732,0.1776038531,0.2219833708,0.6447922938,128,128,0.7377082952,LOW,-0.07656676744,-0.04343469051,MEDIUM,0.2088938684,0.2234031168,HIGH,0.3239603924,0.6052186207,MEDIUM,0.6892682201,0.770360282,2018,early,2018-10-23,10,0.008180332352,0.6,0,0.008180332352,0.0400879717,0.01531578025,-0.03190763935,-0.007135447895
2018-10-30,-0.1340876333,3328,-0.2099038894,0.002010409889,0.1015625,0.2119142993,0.796875,128,128,0.6749793994,LOW,-0.0791483665,-0.04355827099,MEDIUM,0.2092884687,0.2231605631,HIGH,0.3304750164,0.6258841523,LOW,0.690937252,0.7689468504,2018,early,2018-10-30,10,0.05542093999,0.9,0,0.05542093999,0.02125975165,-0.01032503493,0.03416118834,0.06574597491
