trade_date,family,nav,cash,positions,industries,industry_hhi
2018-07-10,champion_diffusion_q1_top2,10012510.6,7500000,2,1,1
2018-07-11,champion_diffusion_q1_top2,9954849.2941,7500000,2,1,1
2018-07-12,champion_diffusion_q1_top2,10023459.6338,7500000,2,1,1
2018-07-13,champion_diffusion_q1_top2,10081358.3834,7500000,2,1,1
2018-07-16,champion_diffusion_q1_top2,10071585.1234,7500000,2,1,1
2018-07-17,champion_diffusion_q1_top2,10089108.1274,4982549.57512,4,3,0.378652317108
2018-07-18,champion_diffusion_q1_top2,10106043.3544,4982549.57512,4,3,0.378131955836
2018-07-19,champion_diffusion_q1_top2,9958118.35086,4982549.57512,4,3,0.376285560321
2018-07-20,champion_diffusion_q1_top2,10016278.532,4982549.57512,4,3,0.378859799688
2018-07-23,champion_diffusion_q1_top2,9994738.77176,4982549.57512,4,3,0.388531544347
2018-07-24,champion_diffusion_q1_top2,10147455.6996,2506209.15532,6,4,0.342510825972
2018-07-25,champion_diffusion_q1_top2,10209338.5837,2506209.15532,6,4,0.345771747882
2018-07-26,champion_diffusion_q1_top2,10133525.2669,2506209.15532,6,4,0.340155191352
2018-07-27,champion_diffusion_q1_top2,10213224.3619,2506209.15532,6,4,0.334704630212
2018-07-30,champion_diffusion_q1_top2,10245668.3569,2506209.15532,6,4,0.333835562066
2018-07-31,champion_diffusion_q1_top2,10233675.7535,-2.32830643654e-10,8,6,0.220597273473
2018-08-01,champion_diffusion_q1_top2,9985128.54317,-2.32830643654e-10,8,6,0.217885900631
2018-08-02,champion_diffusion_q1_top2,9715801.47383,-2.32830643654e-10,8,6,0.215529134971
2018-08-03,champion_diffusion_q1_top2,9651274.63812,-2.32830643654e-10,8,6,0.21802163648
2018-08-06,champion_diffusion_q1_top2,9454282.60614,-2.32830643654e-10,8,6,0.216915789254
2018-08-07,champion_diffusion_q1_top2,9781327.68227,170188.168836,8,6,0.221523171177
2018-08-08,champion_diffusion_q1_top2,9708459.35844,170188.168836,8,6,0.223840044416
2018-08-09,champion_diffusion_q1_top2,9809550.65407,170188.168836,8,6,0.222786538114
2018-08-10,champion_diffusion_q1_top2,9828811.87492,170188.168836,8,6,0.221737109776
2018-08-13,champion_diffusion_q1_top2,9854807.96177,170188.168836,8,6,0.221663870426
2018-08-14,champion_diffusion_q1_top2,9809735.04591,136346.393728,8,4,0.441066249239
2018-08-15,champion_diffusion_q1_top2,9649315.76837,136346.393728,8,4,0.439209953705
2018-08-16,champion_diffusion_q1_top2,9479872.40803,136346.393728,8,4,0.440434902861
2018-08-17,champion_diffusion_q1_top2,9422193.26954,136346.393728,8,4,0.442291711313
2018-08-20,champion_diffusion_q1_top2,9515774.07505,136346.393728,8,4,0.444524796092
2018-08-21,champion_diffusion_q1_top2,9596203.51144,0,8,2,0.618820505802
2018-08-22,champion_diffusion_q1_top2,9619169.45917,0,8,2,0.622371717227
2018-08-23,champion_diffusion_q1_top2,9628299.93568,0,8,2,0.621461882266
2018-08-24,champion_diffusion_q1_top2,9666195.19109,0,8,2,0.6228440351
2018-08-27,champion_diffusion_q1_top2,9769010.05224,0,8,2,0.622331178134
2018-08-28,champion_diffusion_q1_top2,9739897.48647,18152.3332724,8,2,0.531701008921
2018-08-29,champion_diffusion_q1_top2,9767779.58937,18152.3332724,8,2,0.533035448202
2018-08-30,champion_diffusion_q1_top2,9607851.85244,18152.3332724,8,2,0.534411580116
2018-08-31,champion_diffusion_q1_top2,9634528.47923,18152.3332724,8,2,0.537329477562
2018-09-03,champion_diffusion_q1_top2,9692575.29457,18152.3332724,8,2,0.540704928885
2018-09-04,champion_diffusion_q1_top2,9725867.72594,120311.672767,8,3,0.343487393164
2018-09-05,champion_diffusion_q1_top2,9535336.25192,120311.672767,8,3,0.343693069435
2018-09-06,champion_diffusion_q1_top2,9491043.56316,120311.672767,8,3,0.344696304183
