trade_date,family,nav,cash,positions,industries,industry_hhi,replay
2018-07-10,industry_diffusion_low_max,10017088.4828,7500000,10,1,1,same_plan_h20
2018-07-11,industry_diffusion_low_max,9930202.02119,7500000,10,1,1,same_plan_h20
2018-07-12,industry_diffusion_low_max,9996447.07857,7500000,10,1,1,same_plan_h20
2018-07-13,industry_diffusion_low_max,9983813.43948,7500000,10,1,1,same_plan_h20
2018-07-16,industry_diffusion_low_max,9997329.61009,7500000,10,1,1,same_plan_h20
2018-07-17,industry_diffusion_low_max,9993486.34495,5000280.02649,20,4,0.417092405335,same_plan_h20
2018-07-18,industry_diffusion_low_max,9936260.9522,5000280.02649,20,4,0.416666113063,same_plan_h20
2018-07-19,industry_diffusion_low_max,9825634.4188,5000280.02649,20,4,0.412915736389,same_plan_h20
2018-07-20,industry_diffusion_low_max,9910529.99874,5000280.02649,20,4,0.416709548159,same_plan_h20
2018-07-23,industry_diffusion_low_max,10004123.3363,5000280.02649,20,4,0.428849541682,same_plan_h20
2018-07-24,industry_diffusion_low_max,10045878.9261,2504617.27749,30,8,0.304067492202,same_plan_h20
2018-07-25,industry_diffusion_low_max,10093026.2389,2504617.27749,30,8,0.304501065573,same_plan_h20
2018-07-26,industry_diffusion_low_max,9954075.39855,2504617.27749,30,8,0.301615197884,same_plan_h20
2018-07-27,industry_diffusion_low_max,9954587.6374,2504617.27749,30,8,0.300074316607,same_plan_h20
2018-07-30,industry_diffusion_low_max,9880768.32991,2504617.27749,30,8,0.300925470672,same_plan_h20
2018-07-31,industry_diffusion_low_max,9862856.67121,37672.4413182,40,12,0.18746718039,same_plan_h20
2018-08-01,industry_diffusion_low_max,9635133.60036,37672.4413182,40,12,0.184129981085,same_plan_h20
2018-08-02,industry_diffusion_low_max,9394633.56034,37672.4413182,40,12,0.180014575512,same_plan_h20
2018-08-03,industry_diffusion_low_max,9292371.99436,37672.4413182,40,12,0.182982691737,same_plan_h20
2018-08-06,industry_diffusion_low_max,9137441.83686,37672.4413182,40,12,0.181790884413,same_plan_h20
2018-08-07,industry_diffusion_low_max,9422059.24163,3.20142135024e-10,40,12,0.14568180486,same_plan_h20
2018-08-08,industry_diffusion_low_max,9287806.01409,3.20142135024e-10,40,12,0.147429977444,same_plan_h20
2018-08-09,industry_diffusion_low_max,9464638.50715,3.20142135024e-10,40,12,0.146059836397,same_plan_h20
2018-08-10,industry_diffusion_low_max,9496611.90307,3.20142135024e-10,40,12,0.144776431115,same_plan_h20
2018-08-13,industry_diffusion_low_max,9590526.29764,3.20142135024e-10,40,12,0.145390748243,same_plan_h20
2018-08-14,industry_diffusion_low_max,9505418.82886,26495.6021404,40,10,0.242402272158,same_plan_h20
2018-08-15,industry_diffusion_low_max,9317408.81557,26495.6021404,40,10,0.241581983696,same_plan_h20
2018-08-16,industry_diffusion_low_max,9194640.20365,26495.6021404,40,10,0.241614353835,same_plan_h20
2018-08-17,industry_diffusion_low_max,9103348.73778,26495.6021404,40,10,0.243234137817,same_plan_h20
2018-08-20,industry_diffusion_low_max,9250105.25028,26495.6021404,40,10,0.244177033438,same_plan_h20
2018-08-21,industry_diffusion_low_max,9321496.44065,2719.77414842,40,6,0.353480847411,same_plan_h20
2018-08-22,industry_diffusion_low_max,9258392.10241,2719.77414842,40,6,0.356084296899,same_plan_h20
2018-08-23,industry_diffusion_low_max,9264985.78601,2719.77414842,40,6,0.353769662521,same_plan_h20
2018-08-24,industry_diffusion_low_max,9260779.09644,2719.77414842,40,6,0.353499000328,same_plan_h20
2018-08-27,industry_diffusion_low_max,9398981.39053,2719.77414842,40,6,0.353084270205,same_plan_h20
2018-08-28,industry_diffusion_low_max,9382077.15705,57256.8765781,40,5,0.354027485156,same_plan_h20
2018-08-29,industry_diffusion_low_max,9339573.25361,57256.8765781,40,5,0.35463704951,same_plan_h20
2018-08-30,industry_diffusion_low_max,9127852.88341,57256.8765781,40,5,0.354830983443,same_plan_h20
2018-08-31,industry_diffusion_low_max,9105329.62866,57256.8765781,40,5,0.35455475817,same_plan_h20
2018-09-03,industry_diffusion_low_max,9090772.95428,57256.8765781,40,5,0.355511597687,same_plan_h20
