family,track,control_family,period,horizon,count,signal_dates,mean_net_return,median_net_return,net_excess_vs_control,severe_loss_fraction,control_severe_fraction,entry_executable_fraction,median_candidate_count,p10_entry_amount_cny
fip_continuous_good_news_60,track_b,date_control,early_2018_2020,20,616,31,-0.0010314432157888557,-0.018349052919817088,-0.0017250919264758155,0.2224025974025974,0.20560271646859085,0.9983870967741936,1601.0,59302085.245000005
fip_continuous_good_news_60,track_b,date_control,full,20,1307,66,-0.006297213854093976,-0.027021102304062405,-0.007864482680575765,0.23335883703136956,0.19370015948963315,0.9955223880597015,1917.0,56756371.941999994
fip_continuous_good_news_60,track_b,date_control,late_2021_2023,20,691,35,-0.010991446434695941,-0.03180375723248097,-0.013337514090887724,0.24312590448625182,0.18315789473684208,0.9930555555555556,2104.5,52594382.48
industry_follower_rank_acceleration_20,track_b,date_control,early_2018_2020,20,592,30,-0.0040005446839503495,-0.03226254561583908,-0.004379333809523394,0.2668918918918919,0.20912280701754388,0.9883333333333333,678.0,73286202.08999999
industry_follower_rank_acceleration_20,track_b,date_control,full,20,1286,65,-0.007400264170502989,-0.03226254561583908,-0.008347349776604203,0.27682737169517885,0.1951417004048583,0.9946969696969697,979.0,74450754.14
industry_follower_rank_acceleration_20,track_b,date_control,late_2021_2023,20,694,35,-0.010300313069694865,-0.0324003578015119,-0.01173217031336478,0.28530259365994237,0.18315789473684208,1.0,1101.0,78487979.895
low_idio_within_vov_high,track_a_conditional,control_vov_high,early_2018_2020,20,619,31,-0.0028948714658124605,-0.012637918607229959,-0.010332679644299958,0.0420032310177706,0.10025466893039049,1.0,621.0,36937238.438
low_idio_within_vov_high,track_a_conditional,control_vov_high,full,20,1318,66,0.0015274304349527591,-0.008951395237656423,-0.003865288793985188,0.038694992412746584,0.10697767145135567,1.0,824.0,38631751.553
low_idio_within_vov_high,track_a_conditional,control_vov_high,late_2021_2023,20,699,35,0.00544360336281209,-0.006743419238870452,0.001861914262302138,0.0357653791130186,0.11293233082706768,1.0,928.5,39735831.276
low_idio_within_vov_low,track_a_conditional,control_vov_low,early_2018_2020,20,617,31,-0.004185967785434565,-0.013426462366201264,0.00877473831595297,0.12317666126418152,0.266893039049236,0.9983870967741936,621.0,34641774.536
low_idio_within_vov_low,track_a_conditional,control_vov_low,full,20,1315,66,0.0013426374678316363,-0.007066114684211922,0.008368907581106923,0.09809885931558936,0.2512360446570973,0.9985074626865672,823.0,35729367.4
low_idio_within_vov_low,track_a_conditional,control_vov_low,late_2021_2023,20,698,35,0.0062296710513062015,-0.003992015968063867,0.008010171816923525,0.07593123209169055,0.23736842105263156,0.9986111111111111,928.5,36572783.08
low_idio_within_vov_middle,track_a_conditional,control_vov_middle,early_2018_2020,20,618,31,0.006742863420595439,-0.005133931855237639,0.0009312529420847978,0.0825242718446602,0.16001697792869268,0.9967741935483871,620.0,36740726.65
low_idio_within_vov_middle,track_a_conditional,control_vov_middle,full,20,1316,66,0.005594911288216572,-0.003992015968063922,0.0030750349969489157,0.07598784194528875,0.17619617224880382,0.9985074626865672,823.0,37904052.92
low_idio_within_vov_middle,track_a_conditional,control_vov_middle,late_2021_2023,20,698,35,0.004578529600809494,-0.003992015968063756,0.004973111372172449,0.07020057306590258,0.19052631578947365,1.0,927.5,39779636.61
low_turnover_attention_60,track_b,date_control,early_2018_2020,20,618,31,0.0005565725341001534,-0.006194242726438093,-0.00011222011781572714,0.02912621359223301,0.20560271646859085,1.0,1862.0,48013714.068
low_turnover_attention_60,track_b,date_control,full,20,1313,66,0.002020862045996495,-0.003992015968063978,0.0007589139771025953,0.031226199543031227,0.19370015948963315,1.0,2470.0,50573420.376
low_turnover_attention_60,track_b,date_control,late_2021_2023,20,695,35,0.003322920921323025,-0.003992015968063867,0.0015335339348860827,0.033093525179856115,0.18315789473684208,1.0,2784.5,52096969.567999996
low_vov_refinement_of_low_idio,track_a_translation,date_control,early_2018_2020,20,309,31,0.0014254552199729344,-0.009675371083795348,0.000756932435595713,0.025889967637540454,0.20560271646859085,1.0,20.0,36126772.312
low_vov_refinement_of_low_idio,track_a_translation,date_control,full,20,659,66,0.0029766195882278113,-0.00782281590664835,0.0017745330152887336,0.025796661608497723,0.19370015948963315,1.0,20.0,37830629.18
low_vov_refinement_of_low_idio,track_a_translation,date_control,late_2021_2023,20,350,35,0.004346076130487118,-0.0077167947917910484,0.002672928955646283,0.025714285714285714,0.18315789473684208,1.0,20.0,39722149.058
low_vov_residual_to_low_idio,track_a_residual,date_control,early_2018_2020,20,615,31,0.013817850913558827,-0.0015567886232427108,0.013952692789250548,0.16747967479674797,0.20560271646859085,0.9951612903225806,1862.0,53947767.912
low_vov_residual_to_low_idio,track_a_residual,date_control,full,20,1311,66,-0.0012348743677297862,-0.015576370150073626,-0.0019415283639834398,0.1945080091533181,0.19370015948963315,0.9977611940298508,2470.0,58081832.08
low_vov_residual_to_low_idio,track_a_residual,date_control,late_2021_2023,20,696,35,-0.014535773861971878,-0.02344658634482555,-0.015985991020935883,0.21839080459770116,0.18315789473684208,1.0,2784.5,63815174.61
low_vov_within_idio_high,track_a_conditional,control_idio_high,early_2018_2020,20,614,31,0.010679158084207552,-8.208471145282337e-05,0.005537778796008975,0.021172638436482084,0.0972835314091681,0.9967741935483871,621.0,49137138.834
low_vov_within_idio_high,track_a_conditional,control_idio_high,full,20,1313,66,0.004226891553303578,-0.003992015968063756,0.0014138920322885734,0.01827875095201828,0.0975412014885699,0.9985074626865672,824.0,46319617.68
low_vov_within_idio_high,track_a_conditional,control_idio_high,late_2021_2023,20,699,35,-0.0014407645983059208,-0.006526387428704927,-0.0022085206614515223,0.015736766809728183,0.09776942355889723,1.0,928.5,45251640.32
low_vov_within_idio_low,track_a_conditional,control_idio_low,early_2018_2020,20,613,31,0.010164043570270393,-0.006467009183620642,0.008646648092988055,0.16150081566068517,0.23925674401056407,0.9919354838709677,621.0,52210296.16
low_vov_within_idio_low,track_a_conditional,control_idio_low,full,20,1301,66,0.0021037063902877556,-0.013388317704214225,0.004205164516746536,0.191391237509608,0.24726652489810386,0.9932835820895523,823.0,55512447.0
low_vov_within_idio_low,track_a_conditional,control_idio_low,late_2021_2023,20,688,35,-0.005077960312225845,-0.016999049206945394,0.0002478542954732036,0.2180232558139535,0.2543609022556391,0.9944444444444445,928.5,60055949.980000004
low_vov_within_idio_middle,track_a_conditional,control_idio_middle,early_2018_2020,20,616,31,0.019865125018973383,0.011038192046174178,0.012624231745543649,0.12012987012987013,0.16740237691001703,1.0,620.0,47496828.435
low_vov_within_idio_middle,track_a_conditional,control_idio_middle,full,20,1310,66,0.005520108619810089,-0.008190970705940825,0.00364144848634146,0.1435114503816794,0.17714867978025875,0.9992537313432835,823.0,50272728.371
low_vov_within_idio_middle,track_a_conditional,control_idio_middle,late_2021_2023,20,694,35,-0.007212643688380961,-0.0213218252140408,-0.004331742418080078,0.1642651296829971,0.18578111946533,0.9986111111111111,927.5,51207731.716
low_vov_within_industry_high,track_a_industry,low_vov_within_industry_low,early_2018_2020,20,5914,31,0.008122894146703655,-0.006786884411019156,0.017297771641282208,0.11075414271220832,0.25233283849990085,0.9983215844243034,210.0,41039220.779
low_vov_within_industry_high,track_a_industry,low_vov_within_industry_low,full,20,14516,66,0.0037498409377120586,-0.009644510870273293,0.011983064121645666,0.11228988702121796,0.23909965017641335,0.9985206105843588,243.0,41858179.465
low_vov_within_industry_high,track_a_industry,low_vov_within_industry_low,late_2021_2023,20,8602,35,0.000743303309488817,-0.011314990463145713,0.008329125471200361,0.11334573355033713,0.22737882623275305,0.998653651969034,252.0,42287092.90400001
low_vov_within_industry_low,track_a_industry,low_vov_within_industry_low,early_2018_2020,20,5919,31,-0.009181158588364687,-0.03015357652424966,6.752496855297455e-19,0.2598411893900997,0.25233283849990085,0.9968110104061766,210.0,41753399.384
low_vov_within_industry_low,track_a_industry,low_vov_within_industry_low,full,20,14484,66,-0.008207632842652844,-0.028037043238161086,5.672224787507704e-19,0.24212924606462302,0.23909965017641335,0.9973774460359088,243.0,44585532.5
low_vov_within_industry_low,track_a_industry,low_vov_within_industry_low,late_2021_2023,20,8565,35,-0.0075348600593640675,-0.02666329744602869,5.703422426562392e-19,0.2298890834792761,0.22737882623275305,0.9977560866150567,252.0,46978382.14
market_relative_rank_acceleration_20,track_b,date_control,early_2018_2020,20,596,30,-0.0034034372637093665,-0.028355574737214617,-0.003369903543784202,0.2953020134228188,0.20912280701754388,0.9933333333333333,1514.5,98674338.81
market_relative_rank_acceleration_20,track_b,date_control,full,20,1289,65,-0.011898129716305625,-0.03392982820486201,-0.012604622514470242,0.3180760279286268,0.1951417004048583,0.9946969696969697,2191.0,104949868.488
market_relative_rank_acceleration_20,track_b,date_control,late_2021_2023,20,693,35,-0.019203810382607746,-0.040482398566230926,-0.02054674734351625,0.33766233766233766,0.18315789473684208,0.9958333333333333,2389.0,118803500.216
overnight_daytime_tug_of_war_20,track_b,date_control,early_2018_2020,20,618,31,0.0057897169129839995,-0.005518157233919352,0.005222477565796157,0.15210355987055016,0.20560271646859085,1.0,1862.0,39840629.082
overnight_daytime_tug_of_war_20,track_b,date_control,full,20,1313,66,0.0010677415577763675,-0.010065235382892612,-1.7315666537710506e-05,0.15003808073115005,0.19370015948963315,0.9992537313432835,2470.0,37912753.44
overnight_daytime_tug_of_war_20,track_b,date_control,late_2021_2023,20,695,35,-0.0031310796933291273,-0.015760101708505836,-0.004676585044354011,0.14820143884892087,0.18315789473684208,0.9986111111111111,2784.5,36493810.732
same_month_seasonality_1y,track_b,date_control,early_2018_2020,20,478,24,-0.008810687619632912,-0.027072585598034715,-0.020725038405868305,0.2112970711297071,0.19473684210526318,0.9979166666666667,2001.5,43099991.800000004
same_month_seasonality_1y,track_b,date_control,full,20,1174,59,-0.012504152323667207,-0.03201001833904715,-0.018412768651296398,0.22061328790459966,0.1878679750223015,0.9991666666666666,2475.5,46337377.38
same_month_seasonality_1y,track_b,date_control,late_2021_2023,20,696,35,-0.015040755956610297,-0.03527358948468251,-0.016824744308357648,0.22701149425287356,0.18315789473684208,1.0,2681.0,52505362.74
