family,leg,period,horizon,count,signal_dates,mean_return,median_return,positive_fraction,p10,p90,severe_loss_fraction,mean_adverse_excursion,mean_excess_vs_date_control,entry_executable_fraction,median_candidate_count,median_avg_amount20_cny,p10_entry_amount_cny
date_control,control,early_2018_2020,5,2431,122,-0.001645786225,-0.003992015968,0.4631838749,-0.07716365515,0.0753236304,0.05594405594,-0.04698985305,0,0.9963114754,20,124370003.7,39032422.2
date_control,control,early_2018_2020,20,2425,122,0.001748842412,-0.01186559687,0.4519587629,-0.1512048821,0.1631240723,0.2049484536,-0.09237764362,0,0.9963114754,20,124370003.7,39071202.52
date_control,control,full,5,5241,263,-0.002715383389,-0.005260815948,0.4523945812,-0.07603392526,0.07279771523,0.05533295173,-0.04608039726,0,0.9825842697,20,137735587.5,41413613.88
date_control,control,full,20,5225,263,-0.002363173031,-0.01615328561,0.4380861244,-0.1465119394,0.1449011557,0.1975119617,-0.09131646368,0,0.9825842697,20,137735587.5,41433911.46
date_control,control,late_2021_2023,5,2810,141,-0.003640718159,-0.006517079587,0.4430604982,-0.07567491811,0.06844620836,0.05480427046,-0.04529360473,0,0.9710344828,20,152200710.3,42950155.58
date_control,control,late_2021_2023,20,2800,141,-0.005924472119,-0.0184288368,0.4260714286,-0.1419624241,0.132429668,0.1910714286,-0.09039740606,0,0.9710344828,20,152200710.3,42950155.58
date_control,control,year_2018,5,480,24,-0.01292326198,-0.01248028243,0.4104166667,-0.07619998868,0.05688214235,0.05208333333,-0.0511035834,0,1,20,97257271.48,33240004.95
date_control,control,year_2018,20,480,24,-0.03698736076,-0.04133146698,0.31875,-0.1639668726,0.09440387518,0.2729166667,-0.1067761869,0,1,20,97257271.48,33240004.95
date_control,control,year_2019,5,975,49,0.004406190436,-0.0006682963328,0.4974358974,-0.06616857411,0.078347933,0.04307692308,-0.03999088595,0,0.9948979592,20,121563401.3,40214055.2
date_control,control,year_2019,20,973,49,0.02260013216,0.005008056177,0.5220966084,-0.1258140508,0.1784768772,0.1541623844,-0.07854998447,0,0.9948979592,20,121563401.3,40178780.6
date_control,control,year_2020,5,976,49,-0.00214526254,-0.004825860258,0.4549180328,-0.08386689323,0.08170797303,0.07069672131,-0.051958503,0,0.9959183673,20,146926537.5,44089928.42
date_control,control,year_2020,20,972,49,5.089936584e-06,-0.01527786348,0.4475308642,-0.1600042685,0.1778560657,0.2222222222,-0.09910913702,0,0.9959183673,20,146926537.5,44339034.29
date_control,control,year_2021,5,955,48,1.623138266e-06,-0.003992015968,0.4753926702,-0.08065256576,0.07972909616,0.06073298429,-0.0459252612,0,0.996875,20,173108322.9,44535491.9
date_control,control,year_2021,20,953,48,0.001775962631,-0.01412091072,0.4470094439,-0.1458971627,0.1449342543,0.1951731375,-0.09065755409,0,0.996875,20,173108322.9,44614010.13
date_control,control,year_2022,5,978,49,-0.005387552809,-0.007565164648,0.4437627812,-0.0840107175,0.06665642437,0.06952965235,-0.04892959473,0,0.9989795918,20,153382178.8,42066492.59
