section,representation,context,period,horizon,quintile,count,dates,securities,industries,mean_net_return,median_net_return,positive_return_fraction,mean_industry_relative,median_industry_relative,mean_broad_relative,severe_loss_fraction,mean_mae_h20,control,tercile,q5_count,q1_count,q5_mean_industry_relative,q1_mean_industry_relative,q5_minus_q1_industry_relative
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,1,1,52184,254,4184,118,-0.0044435675909,-0.00478397787709,0.425072819255,0.000246905024504,-0.00136890518753,-0.000172172169038,0.00302774796873,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,1,2,52285,257,4239,118,-0.00440139571382,-0.00399201596806,0.415874533805,0.000145339619855,-0.00110530210576,-0.000137999411963,0.00229511332122,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,1,3,52291,257,4185,118,-0.00454373276226,-0.00399201596806,0.401656116731,8.41465689745e-06,-0.000985784373627,-0.000278337205847,0.00244783997246,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,1,4,52291,257,4130,119,-0.00492988063878,-0.00494149927029,0.392113365589,-0.00024412833817,-0.00125676193723,-0.000666341968495,0.0026582012201,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,1,5,52390,258,4087,119,-0.00481183725878,-0.00548002414631,0.398072151174,-0.000139489404993,-0.00156335989107,-0.000547290363263,0.006966978431,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,1,Q5-Q1,52184,254,,,-0.000368269667878,-0.000696046269213,-0.0270006680811,-0.000386394429497,-0.000194454703544,-0.000375118194225,0.00393923046227,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,3,1,51782,253,4176,118,-4.80571105884e-05,-0.00334339508241,0.471071028543,0.00103997613928,-0.00282934177831,0.000815761749382,0.0274999034414,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,3,2,51890,256,4231,118,-0.000404488058129,-0.0027623764816,0.470052033147,0.000533359030525,-0.00211942636693,0.00045848790706,0.0205049142417,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,3,3,51902,256,4177,118,-0.000962889032914,-0.00294026519295,0.465704597125,0.000226706934306,-0.00194296034974,-0.000106663881239,0.0177257138453,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,3,4,51896,256,4119,119,-0.00169902671484,-0.00399201596806,0.458147063357,-0.00054810356985,-0.00245775650713,-0.000838985272299,0.0196354246955,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,3,5,51985,257,4078,119,-0.00242942054435,-0.00480112074794,0.449841300375,-0.00142010940884,-0.00384045145251,-0.00156802801411,0.0350485717034,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,3,Q5-Q1,51782,253,,,-0.00238136343376,-0.00145772566553,-0.0212297281676,-0.00246008554812,-0.0010111096742,-0.00238378976349,0.00754866826203,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,5,1,51754,253,4175,118,0.000195790445482,-0.00522317728557,0.463017351316,0.00159785310439,-0.00383670313363,0.00114413191704,0.0626038567067,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,5,2,51867,256,4231,118,-2.20152909826e-06,-0.00399201596806,0.466327337228,0.00102154085307,-0.00283492824618,0.000947147575404,0.0459637148862,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,5,3,51871,256,4176,118,-0.000936814455031,-0.00399201596806,0.46174162827,0.000337664695262,-0.00273667295874,1.29216979184e-06,0.0413333076285,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,5,4,51860,256,4119,119,-0.00205751213406,-0.00399201596806,0.457038179715,-0.000756069108781,-0.00336543920118,-0.00111916490638,0.0445622830698,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,5,5,51952,257,4077,119,-0.00368959727469,-0.00674723004672,0.446777794888,-0.00246078919798,-0.00562955356672,-0.00274507632557,0.0690060055436,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,5,Q5-Q1,51754,253,,,-0.00388538772018,-0.00152405276115,-0.0162395564283,-0.00405864230237,-0.00179285043309,-0.00388920824261,0.00640214883685,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,10,1,51184,252,4163,118,-0.00063229449249,-0.0118217999372,0.441114410753,0.00220323654057,-0.00624779608985,0.00155422673714,0.123358862144,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,10,2,51294,255,4212,118,-0.00128147324845,-0.00932207925184,0.445549187039,0.0013527476138,-0.00432339816141,0.000894593094747,0.0965999922018,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,10,3,51299,255,4156,118,-0.00181502883643,-0.00825627033395,0.44733815474,0.0010224607698,-0.0036869566132,0.000359256155741,0.0862784849607,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,10,4,51291,255,4094,119,-0.00361516024776,-0.0090564633445,0.441071533017,-0.000822473047499,-0.00451658316661,-0.00144957713323,0.0916340098653,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_PRESSURE,full,10,5,51360,256,4056,119,-0.0067201154831,-0.0133576879812,0.42550623053,-0.00408120949111,-0.00867287295768,-0.00453946641063,0.13156152648,,,,,,,,
