family,track,period,horizon,count,signal_dates,mean_return,median_return,mean_excess_vs_date_control,severe_loss_fraction,control_severe_loss_fraction,severe_loss_disadvantage,entry_executable_fraction,median_candidate_count,median_avg_amount20_cny,p10_entry_amount_cny
chip_cost_concentration,internal,early_2018_2020,20,1791,96,-0.0013813006715320767,-0.008159413390791737,-0.017342666010436346,0.11278615298715801,0.06867671691792294,0.044109436069235064,0.9359375,1960.0,128512912.97475,38530265.0
chip_cost_concentration,internal,full,20,4464,237,-0.0035671496433852586,-0.00753113701404845,-0.010226477705319988,0.0961021505376344,0.03853046594982079,0.057571684587813615,0.9456431535269709,2411.0,124479430.83425,39116560.953
chip_cost_concentration,internal,late_2021_2023,20,2673,141,-0.00503174205213537,-0.0072791710308754976,-0.005458391938592195,0.08492330714552937,0.01833146277590722,0.06659184436962215,0.9520689655172414,2585.0,122645873.41775,39812122.874
chip_overhang_clearance,internal,early_2018_2020,20,1850,96,-0.008463993109780448,-0.03271624505801879,-0.023364089102713047,0.2708108108108108,0.07351351351351351,0.1972972972972973,0.9635416666666666,1960.0,129028921.50850001,48992774.478
chip_overhang_clearance,internal,full,20,4532,237,-0.013706549505425169,-0.03367935415593831,-0.01954750146594552,0.2680935569285084,0.041924095322153576,0.22616946160635482,0.9593360995850623,2411.0,142362559.324,53557691.355000004
chip_overhang_clearance,internal,late_2021_2023,20,2682,141,-0.017322779681391887,-0.033824153484924624,-0.016914881358555536,0.2662192393736018,0.020134228187919462,0.24608501118568235,0.956551724137931,2585.0,150190636.513,57652299.122
chip_support_density,internal,early_2018_2020,20,1818,96,0.0009674588906853257,-0.01541834364058764,-0.014546503553104885,0.18701870187018702,0.06985698569856985,0.11716171617161716,0.9479166666666666,1960.0,103720580.81825,36222153.846
chip_support_density,internal,full,20,4506,237,-0.0010298656218779294,-0.015209710041657443,-0.007293911172704012,0.16355969818020416,0.03994673768308921,0.12361296049711495,0.9533195020746889,2411.0,112713771.46350001,38063054.275
chip_support_density,internal,late_2021_2023,20,2688,141,-0.002380734656044596,-0.014804432813869006,-0.002388698022566817,0.14769345238095238,0.019717261904761904,0.12797619047619047,0.9568965517241379,2585.0,116294622.82875001,39786334.076
diffusion_accel_plus_low_idio,combination,early_2018_2020,20,1577,93,0.01868784850846708,0.0019483895032994525,-0.002262567405969479,0.0849714648065948,0.054533925174381735,0.030437539632213066,0.9987357774968394,1775.0,93062177.725,41671721.524000004
diffusion_accel_plus_low_idio,combination,full,20,3959,232,0.013640104368233834,0.00015801729873587966,0.0034143498929590037,0.06617832786057085,0.031826218742106595,0.03435210911846425,0.9995045826108496,2184.0,89871304.5005,44414952.886
diffusion_accel_plus_low_idio,combination,late_2021_2023,20,2382,139,0.010298251929464802,-0.0003145344418117313,0.007172745602619044,0.05373635600335852,0.016792611251049538,0.03694374475230898,1.0,2402.0,88457635.312,46383532.069
gh_52_week_high,external,early_2018_2020,120,440,24,0.10051624918765842,0.03964106242263998,0.003813253181990956,0.32954545454545453,0.07954545454545454,0.25,0.9395833333333333,1938.0,191970232.87375003,95369992.59200001
gh_52_week_high,external,full,120,979,54,0.010933784075329843,-0.05739394029895317,-0.0459714825620875,0.43820224719101125,0.14402451481103168,0.2941777323799796,0.9423728813559322,2385.0,197946144.829,125284276.76000002
gh_52_week_high,external,late_2021_2023,120,539,30,-0.06219475887350979,-0.11630978043912177,-0.0866120831694985,0.5269016697588126,0.19666048237476808,0.3302411873840445,0.9442857142857143,2535.0,205472442.0005,154343672.78800002
industry_momentum_120,external,early_2018_2020,120,477,24,0.10450229843757275,0.006236111346711759,0.009191487185944544,0.31865828092243187,0.08385744234800839,0.23480083857442346,1.0,1832.5,251633195.58525,53665323.866
industry_momentum_120,external,full,120,1055,54,0.05947080322009427,-0.04432332518062465,0.002497541635260883,0.4066350710900474,0.14502369668246445,0.2616113744075829,0.9957627118644068,2310.0,325966977.2855,67199042.398
industry_momentum_120,external,late_2021_2023,120,578,30,0.022308133291483147,-0.09043903952911442,-0.003026700627154538,0.47923875432525953,0.19550173010380623,0.2837370242214533,0.9928571428571429,2448.0,384813818.85950005,87398046.988
intraday_reversal_5,external,early_2018_2020,5,1918,96,-0.003341620686186383,-0.01098158152504608,-0.0019241745231486907,0.08706986444212722,0.020855057351407715,0.0662148070907195,0.9994791666666667,1960.0,194072983.15275,51590741.014
intraday_reversal_5,external,full,5,4790,240,-0.0016795851414196216,-0.010674765055293911,-0.0007038220833925943,0.08100208768267224,0.008350730688935281,0.07265135699373695,0.9987551867219917,2411.0,232811465.07875,55864061.949
intraday_reversal_5,external,late_2021_2023,5,2872,144,-0.0005696324342947434,-0.01056882630367506,0.00011116258911861522,0.07694986072423399,0.0,0.07694986072423399,0.9982758620689656,2585.0,266839526.385,59281596.675000004
jt_momentum_12_1,external,early_2018_2020,120,470,24,0.08709758633253654,0.02673603808390168,-0.005876168654321382,0.37659574468085105,0.0851063829787234,0.29148936170212764,0.9979166666666667,1938.0,545592512.68875,87875594.951
jt_momentum_12_1,external,full,120,1048,54,0.0021222229933755797,-0.10633478682070052,-0.05182610449487134,0.5095419847328244,0.15076335877862596,0.35877862595419846,0.9991525423728813,2385.0,722227898.161,115457940.381
