trade_date,family,nav,cash,positions,industries,industry_hhi
2018-07-10,industry_consensus_q1_event,10025021.1999,5000000,2,1,1
2018-07-11,industry_consensus_q1_event,9909698.5882,5000000,2,1,1
2018-07-12,industry_consensus_q1_event,10046919.2676,5000000,2,1,1
2018-07-13,industry_consensus_q1_event,10162716.7667,5000000,2,1,1
2018-07-16,industry_consensus_q1_event,10143170.2468,5000000,2,1,1
2018-07-17,industry_consensus_q1_event,10179510.822,5000000,2,1,1
2018-07-18,industry_consensus_q1_event,10186293.6655,5000000,2,1,1
2018-07-19,industry_consensus_q1_event,10000947.4965,5000000,2,1,1
2018-07-20,industry_consensus_q1_event,10109687.3034,5000000,2,1,1
2018-07-23,industry_consensus_q1_event,10255290.4284,5000000,2,1,1
2018-07-24,industry_consensus_q1_event,10332689.0797,5000000,2,1,1
2018-07-25,industry_consensus_q1_event,10490795.6144,5000000,2,1,1
2018-07-26,industry_consensus_q1_event,10363061.1945,5000000,2,1,1
2018-07-27,industry_consensus_q1_event,10352814.4612,5000000,2,1,1
2018-07-30,industry_consensus_q1_event,10382995.2424,5000000,2,1,1
2018-07-31,industry_consensus_q1_event,10448599.258,5000000,2,1,1
2018-08-01,industry_consensus_q1_event,10331450.0508,5000000,2,1,1
2018-08-02,industry_consensus_q1_event,10130008.8792,5000000,2,1,1
2018-08-03,industry_consensus_q1_event,10210262.9529,5000000,2,1,1
2018-08-06,industry_consensus_q1_event,10070618.5669,5000000,2,1,1
2018-08-07,industry_consensus_q1_event,10208224.3718,5044977.90158,2,1,1
2018-08-08,industry_consensus_q1_event,10207253.1624,5044977.90158,2,1,1
2018-08-09,industry_consensus_q1_event,10244060.0165,5044977.90158,2,1,1
2018-08-10,industry_consensus_q1_event,10229531.5167,5044977.90158,2,1,1
2018-08-13,industry_consensus_q1_event,10238490.4279,5044977.90158,2,1,1
2018-08-14,industry_consensus_q1_event,10134803.3788,0,4,1,1
2018-08-15,industry_consensus_q1_event,9931791.16857,0,4,1,1
2018-08-16,industry_consensus_q1_event,9759466.51627,0,4,1,1
2018-08-17,industry_consensus_q1_event,9736059.29817,0,4,1,1
2018-08-20,industry_consensus_q1_event,9874722.02589,0,4,1,1
2018-08-21,industry_consensus_q1_event,9931348.93322,0,4,1,1
2018-08-22,industry_consensus_q1_event,10022370.9442,0,4,1,1
2018-08-23,industry_consensus_q1_event,10037171.1164,0,4,1,1
2018-08-24,industry_consensus_q1_event,10106403.5591,0,4,1,1
2018-08-27,industry_consensus_q1_event,10221123.732,0,4,1,1
2018-08-28,industry_consensus_q1_event,10204659.3592,0,4,1,1
2018-08-29,industry_consensus_q1_event,10294994.7418,0,4,1,1
2018-08-30,industry_consensus_q1_event,10146810.4867,0,4,1,1
2018-08-31,industry_consensus_q1_event,10256601.1487,0,4,1,1
2018-09-03,industry_consensus_q1_event,10402648.9571,0,4,1,1
2018-09-04,industry_consensus_q1_event,10414789.3275,158258.923469,4,2,0.500110032084
2018-09-05,industry_consensus_q1_event,10237698.216,158258.923469,4,2,0.500071259112
2018-09-06,industry_consensus_q1_event,10153190.4719,158258.923469,4,2,0.50000023361
2018-09-07,industry_consensus_q1_event,10177768.1908,158258.923469,4,2,0.500000025428
2018-09-10,industry_consensus_q1_event,10053839.3548,158258.923469,4,2,0.500082879582
2018-09-11,industry_consensus_q1_event,9951748.28665,134806.819058,4,2,0.500011322665
2018-09-12,industry_consensus_q1_event,9918561.93169,134806.819058,4,2,0.500000011355
2018-09-13,industry_consensus_q1_event,10091381.0784,134806.819058,4,2,0.500051783661
2018-09-14,industry_consensus_q1_event,9936731.65042,134806.819058,4,2,0.500002828983
2018-09-17,industry_consensus_q1_event,9979152.16386,134806.819058,4,2,0.500262672697
2018-09-18,industry_consensus_q1_event,10040315.231,0,6,2,0.500240227257
2018-09-19,industry_consensus_q1_event,10376390.6786,0,6,2,0.500000060973
2018-09-20,industry_consensus_q1_event,10313110.9768,0,6,2,0.500039540891
2018-09-21,industry_consensus_q1_event,10455300.7546,0,6,2,0.500087651267
2018-09-25,industry_consensus_q1_event,10287140.2185,0,6,2,0.500014757135
2018-09-26,industry_consensus_q1_event,10414879.176,0,6,2,0.500149518424
2018-09-27,industry_consensus_q1_event,10305955.1688,0,6,2,0.500126852317
2018-09-28,industry_consensus_q1_event,10425692.0244,0,6,2,0.500021795378
2018-10-08,industry_consensus_q1_event,10105476.8856,0,6,2,0.500474018457
2018-10-09,industry_consensus_q1_event,10324614.6747,0,6,2,0.501037336469
2018-10-10,industry_consensus_q1_event,10391776.6739,0,6,2,0.501266180152
2018-10-11,industry_consensus_q1_event,10086189.7426,0,6,2,0.502832345887
2018-10-12,industry_consensus_q1_event,10013546.7518,0,6,2,0.501537057336
2018-10-15,industry_consensus_q1_event,9706823.20399,0,6,2,0.501658439272
2018-10-16,industry_consensus_q1_event,9818552.02434,0,6,2,0.502644379139
2018-10-17,industry_consensus_q1_event,9828016.02787,198593.302314,6,3,0.487834105533
2018-10-18,industry_consensus_q1_event,9304892.78262,198593.302314,6,3,0.488485787654
2018-10-19,industry_consensus_q1_event,9549491.36451,198593.302314,6,3,0.48910051454
2018-10-22,industry_consensus_q1_event,9944898.64023,198593.302314,6,3,0.488952047028
2018-10-23,industry_consensus_q1_event,9847534.29941,198593.302314,6,3,0.489079012848
2018-10-24,industry_consensus_q1_event,9953529.72014,310868.639574,4,2,0.500471066032
2018-10-25,industry_consensus_q1_event,9896945.80793,310868.639574,4,2,0.500182047928
2018-10-26,industry_consensus_q1_event,10025700.4241,310868.639574,4,2,0.500064232982
2018-10-29,industry_consensus_q1_event,9863831.07671,310868.639574,4,2,0.500130514295
2018-10-30,industry_consensus_q1_event,10014951.2764,310868.639574,4,2,0.500068195836
2018-10-31,industry_consensus_q1_event,10078103.9393,0,6,3,0.470172079154
2018-11-01,industry_consensus_q1_event,10140974.1212,0,6,3,0.470199030044
2018-11-02,industry_consensus_q1_event,10384147.2241,0,6,3,0.469847655689
2018-11-05,industry_consensus_q1_event,10558374.8832,0,6,3,0.470837144142
2018-11-06,industry_consensus_q1_event,10467792.2288,0,6,3,0.471315097859
2018-11-07,industry_consensus_q1_event,10338222.7879,0,6,2,0.500223861357
2018-11-08,industry_consensus_q1_event,10206274.312,0,6,2,0.50025511307
2018-11-09,industry_consensus_q1_event,10077518.6987,0,6,2,0.500123601656
2018-11-12,industry_consensus_q1_event,10321395.1035,0,6,2,0.500150214858
2018-11-13,industry_consensus_q1_event,10512654.7841,0,6,2,0.500147560765
2018-11-14,industry_consensus_q1_event,10399821.8502,5345598.07496,4,1,1
2018-11-15,industry_consensus_q1_event,10587152.4999,5345598.07496,4,1,1
2018-11-16,industry_consensus_q1_event,10851967.1165,5345598.07496,4,1,1
2018-11-19,industry_consensus_q1_event,11038067.5128,5345598.07496,4,1,1
2018-11-20,industry_consensus_q1_event,10753278.0704,5345598.07496,4,1,1
2018-11-21,industry_consensus_q1_event,10785662.6645,5345598.07496,4,1,1
2018-11-22,industry_consensus_q1_event,10702845.2157,5345598.07496,4,1,1
2018-11-23,industry_consensus_q1_event,10472621.5735,5345598.07496,4,1,1
2018-11-26,industry_consensus_q1_event,10477284.418,5345598.07496,4,1,1
2018-11-27,industry_consensus_q1_event,10455647.1417,5345598.07496,4,1,1
2018-11-28,industry_consensus_q1_event,10690769.4361,452651.113549,4,2,0.500747422033
2018-11-29,industry_consensus_q1_event,10478582.8211,452651.113549,4,2,0.501797545104
2018-11-30,industry_consensus_q1_event,10604206.716,452651.113549,4,2,0.501357398583
2018-12-03,industry_consensus_q1_event,11053940.4067,452651.113549,4,2,0.501831775981
2018-12-04,industry_consensus_q1_event,11133906.3094,452651.113549,4,2,0.501471225328
2018-12-05,industry_consensus_q1_event,10990138.7789,5405538.41969,2,1,1
2018-12-06,industry_consensus_q1_event,10946495.3606,5405538.41969,2,1,1
2018-12-07,industry_consensus_q1_event,10927313.9817,5405538.41969,2,1,1
2018-12-10,industry_consensus_q1_event,10917206.0279,5405538.41969,2,1,1
2018-12-11,industry_consensus_q1_event,10949579.1689,5405538.41969,2,1,1
2018-12-12,industry_consensus_q1_event,11047521.6509,5405538.41969,2,1,1
2018-12-13,industry_consensus_q1_event,11071402.5285,5405538.41969,2,1,1
2018-12-14,industry_consensus_q1_event,10956522.6821,5405538.41969,2,1,1
2018-12-17,industry_consensus_q1_event,11012840.5981,5405538.41969,2,1,1
2018-12-18,industry_consensus_q1_event,10887530.2683,5405538.41969,2,1,1
2018-12-19,industry_consensus_q1_event,10816601.9593,0,4,2,0.500182419771
2018-12-20,industry_consensus_q1_event,10703234.4754,0,4,2,0.500359348712
2018-12-21,industry_consensus_q1_event,10556890.0376,0,4,2,0.500251741959
2018-12-24,industry_consensus_q1_event,10777405.857,0,4,2,0.500633402591
2018-12-25,industry_consensus_q1_event,10670954.4559,0,4,2,0.500510146352
2018-12-26,industry_consensus_q1_event,10610784.004,175956.043528,4,2,0.500149875982
2018-12-27,industry_consensus_q1_event,10440903.761,175956.043528,4,2,0.500075668914
2018-12-28,industry_consensus_q1_event,10497772.4922,175956.043528,4,2,0.500006372024
2019-01-02,industry_consensus_q1_event,10418216.3781,175956.043528,4,2,0.500186688153
2019-01-03,industry_consensus_q1_event,10232305.3897,175956.043528,4,2,0.500646438247
2019-01-04,industry_consensus_q1_event,10517782.2534,0,6,3,0.483913569011
2019-01-07,industry_consensus_q1_event,10782777.5554,0,6,3,0.484282378687
2019-01-08,industry_consensus_q1_event,10752825.6191,0,6,3,0.483716598546
2019-01-09,industry_consensus_q1_event,10843043.0901,0,6,3,0.48353297077
2019-01-10,industry_consensus_q1_event,10758374.3609,0,6,3,0.483632574657
2019-01-11,industry_consensus_q1_event,11189308.8583,0,6,3,0.484681873377
2019-01-14,industry_consensus_q1_event,11176711.0025,0,6,3,0.48390082059
2019-01-15,industry_consensus_q1_event,11811585.2475,0,6,3,0.484589552488
2019-01-16,industry_consensus_q1_event,11578841.4235,0,6,3,0.483899658926
2019-01-17,industry_consensus_q1_event,11324774.638,0,6,3,0.483374950366
2019-01-18,industry_consensus_q1_event,11322038.6703,0,6,2,0.500320520518
2019-01-21,industry_consensus_q1_event,11371980.9811,0,6,2,0.500154308804
2019-01-22,industry_consensus_q1_event,11357601.3587,0,6,2,0.500320542102
2019-01-23,industry_consensus_q1_event,11473343.4528,0,6,2,0.500551705553
2019-01-24,industry_consensus_q1_event,11701560.6383,0,6,2,0.500637368396
2019-01-25,industry_consensus_q1_event,11685491.2238,5644731.7678,4,1,1
2019-01-28,industry_consensus_q1_event,11810169.8449,5644731.7678,4,1,1
2019-01-29,industry_consensus_q1_event,11776246.5675,5644731.7678,4,1,1
2019-01-30,industry_consensus_q1_event,11735147.373,5644731.7678,4,1,1
2019-01-31,industry_consensus_q1_event,11786652.9029,5644731.7678,4,1,1
2019-02-01,industry_consensus_q1_event,11834156.1316,0,4,2,0.500000522596
2019-02-11,industry_consensus_q1_event,12396159.5706,0,4,2,0.500065364016
2019-02-12,industry_consensus_q1_event,12458906.0254,0,4,2,0.500013808713
2019-02-13,industry_consensus_q1_event,12501006.5105,0,4,2,0.50000163219
2019-02-14,industry_consensus_q1_event,12591151.0338,0,4,2,0.500096140179
2019-02-15,industry_consensus_q1_event,12703996.2412,0,4,2,0.500039637406
2019-02-18,industry_consensus_q1_event,13339114.9223,0,4,2,0.500267655079
2019-02-19,industry_consensus_q1_event,13250957.4268,0,4,2,0.500327888399
2019-02-20,industry_consensus_q1_event,13631697.0703,0,4,2,0.501326545149
2019-02-21,industry_consensus_q1_event,13690205.0958,0,4,2,0.502010998441
2019-02-22,industry_consensus_q1_event,13744897.7772,7179183.63261,2,1,1
2019-02-25,industry_consensus_q1_event,14086883.3345,7179183.63261,2,1,1
2019-02-26,industry_consensus_q1_event,14036414.6296,7179183.63261,2,1,1
2019-02-27,industry_consensus_q1_event,13976981.7214,7179183.63261,2,1,1
2019-02-28,industry_consensus_q1_event,14011733.0296,7179183.63261,2,1,1
2019-03-01,industry_consensus_q1_event,14074238.1986,143047.911222,4,2,0.500022493833
2019-03-04,industry_consensus_q1_event,14448572.3845,143047.911222,4,2,0.500000912354
2019-03-05,industry_consensus_q1_event,14752127.931,143047.911222,4,2,0.50007339665
2019-03-06,industry_consensus_q1_event,14836104.5899,143047.911222,4,2,0.500035716903
2019-03-07,industry_consensus_q1_event,14769523.1387,143047.911222,4,2,0.50009034207
2019-03-08,industry_consensus_q1_event,14262440.7326,7231663.59657,2,1,1
2019-03-11,industry_consensus_q1_event,14260259.596,7231663.59657,2,1,1
2019-03-12,industry_consensus_q1_event,14278020.2801,7231663.59657,2,1,1
2019-03-13,industry_consensus_q1_event,14375548.2473,7231663.59657,2,1,1
2019-03-14,industry_consensus_q1_event,14229061.5521,7231663.59657,2,1,1
2019-03-15,industry_consensus_q1_event,14552008.8327,84143.1287163,4,2,0.500008978527
2019-03-18,industry_consensus_q1_event,15331896.4274,84143.1287163,4,2,0.50023122738
2019-03-19,industry_consensus_q1_event,15431333.6155,84143.1287163,4,2,0.500473182305
2019-03-20,industry_consensus_q1_event,15433639.8849,84143.1287163,4,2,0.500726531924
2019-03-21,industry_consensus_q1_event,15476098.9959,84143.1287163,4,2,0.500583874934
2019-03-22,industry_consensus_q1_event,15703140.4178,84143.1287163,4,2,0.500932838091
2019-03-25,industry_consensus_q1_event,15468147.3826,84143.1287163,4,2,0.500628933711
2019-03-26,industry_consensus_q1_event,15197364.1896,84143.1287163,4,2,0.500837087279
2019-03-27,industry_consensus_q1_event,15951009.5435,84143.1287163,4,2,0.502114045255
2019-03-28,industry_consensus_q1_event,15766045.7775,84143.1287163,4,2,0.501715825455
2019-03-29,industry_consensus_q1_event,15997213.0271,8371434.1384,2,1,1
2019-04-01,industry_consensus_q1_event,16143672.2522,8371434.1384,2,1,1
2019-04-02,industry_consensus_q1_event,16098233.379,8371434.1384,2,1,1
2019-04-03,industry_consensus_q1_event,16153328.0128,8371434.1384,2,1,1
2019-04-04,industry_consensus_q1_event,16180104.4916,8371434.1384,2,1,1
2019-04-08,industry_consensus_q1_event,16213534.5197,8371434.1384,2,1,1
2019-04-09,industry_consensus_q1_event,16334596.6603,8371434.1384,2,1,1
2019-04-10,industry_consensus_q1_event,16310497.8294,8371434.1384,2,1,1
2019-04-11,industry_consensus_q1_event,16099775.0551,8371434.1384,2,1,1
2019-04-12,industry_consensus_q1_event,16049548.8721,8371434.1384,2,1,1
2019-04-15,industry_consensus_q1_event,16146590.8884,16146590.8884,0,0,0
2019-04-16,industry_consensus_q1_event,16146590.8884,16146590.8884,0,0,0
2019-04-17,industry_consensus_q1_event,16146590.8884,16146590.8884,0,0,0
2019-04-18,industry_consensus_q1_event,16146590.8884,16146590.8884,0,0,0
