family,symbol,event_id,effective_date,fill_date,fill_price,shares
arm0_baseline,000025.SZ,cninfo:distribution:4193ac36ba16fadea18d76f9ae65816a,2019-05-15,2019-05-13,30.05,7993.332214
arm0_baseline,603517.SH,cninfo:distribution:d0eee38e477dd3beb15f52cef370a094,2019-06-03,2019-05-30,47.7,4776.073825
arm0_baseline,603045.SH,cninfo:distribution:cb5d8c25cdae879bd47b892c07139799,2019-06-05,2019-05-31,29.13,7785.772171
arm0_baseline,300673.SZ,cninfo:distribution:8e7bc343cf1853f8e41c2b122f7b19e8,2019-06-10,2019-06-04,33.1,6263.592129
arm0_baseline,300673.SZ,cninfo:distribution:8e7bc343cf1853f8e41c2b122f7b19e8,2019-06-10,2019-06-04,33.1,6280.76987
arm0_baseline,000848.SZ,cninfo:distribution:e06ecb11bb7334dde8805f86f12c136e,2020-04-29,2020-04-24,7.41,34317.00414
arm0_baseline,603288.SH,cninfo:distribution:9531fa9a2c634a904953222174b7fe59,2020-05-07,2020-04-30,126,1760.267506
arm0_baseline,603288.SH,cninfo:distribution:9531fa9a2c634a904953222174b7fe59,2020-05-07,2020-04-30,126,1840.801545
arm0_baseline,603317.SH,cninfo:distribution:2f770846be2ea21607cb4be88c22719c,2020-05-08,2020-05-06,50.96,4708.339094
arm0_baseline,002238.SZ,cninfo:distribution:5584fc5ac053c315368f0b8c8b44c586,2020-06-24,2020-06-18,10.92,23433.32608
arm0_baseline,000088.SZ,cninfo:rights:b09389bc5314ebbb141dc4f49e8b780a,2020-08-19,2020-08-10,8.4,47047.38942
arm0_baseline,600740.SH,cninfo:distribution:7899efc5dd3b201087334225d2881312,2021-05-28,2021-05-26,6.67,49957.4225
arm0_baseline,002839.SZ,cninfo:distribution:7cc96a618799f64f743f58ee9075ef1e,2022-05-05,2022-04-28,6.23,54297.3019
arm0_baseline,000625.SZ,cninfo:distribution:31af37a6a595e854235d965e8b44c9f1,2022-06-27,2022-06-21,18.8,23277.93123
arm0_baseline,002829.SZ,cninfo:distribution:12be4e465e127a4ac5f3352a65f79b7c,2023-07-04,2023-06-30,42.76,9326.65831
arm2_low_max,601015.SH,cninfo:distribution:060cf029459113492c8f2d4c884e0a95,2019-05-09,2019-05-07,5.5,44817.84491
arm2_low_max,603517.SH,cninfo:distribution:d0eee38e477dd3beb15f52cef370a094,2019-06-03,2019-05-30,47.7,5709.186466
arm2_low_max,603517.SH,cninfo:distribution:d0eee38e477dd3beb15f52cef370a094,2019-06-03,2019-05-30,47.7,5599.545067
arm2_low_max,603045.SH,cninfo:distribution:cb5d8c25cdae879bd47b892c07139799,2019-06-05,2019-05-31,29.13,11539.04517
arm2_low_max,300673.SZ,cninfo:distribution:8e7bc343cf1853f8e41c2b122f7b19e8,2019-06-10,2019-06-04,33.1,7487.324677
arm2_low_max,300673.SZ,cninfo:distribution:8e7bc343cf1853f8e41c2b122f7b19e8,2019-06-10,2019-06-04,33.1,7404.88409
arm2_low_max,000848.SZ,cninfo:distribution:e06ecb11bb7334dde8805f86f12c136e,2020-04-29,2020-04-24,7.41,40313.91401
arm2_low_max,603288.SH,cninfo:distribution:9531fa9a2c634a904953222174b7fe59,2020-05-07,2020-04-30,126,2128.311681
arm2_low_max,603288.SH,cninfo:distribution:9531fa9a2c634a904953222174b7fe59,2020-05-07,2020-04-30,126,2149.498559
arm2_low_max,603317.SH,cninfo:distribution:2f770846be2ea21607cb4be88c22719c,2020-05-08,2020-05-06,50.96,5497.913734
arm2_low_max,002238.SZ,cninfo:distribution:5584fc5ac053c315368f0b8c8b44c586,2020-06-24,2020-06-18,10.92,32948.45584
arm2_low_max,002238.SZ,cninfo:distribution:5584fc5ac053c315368f0b8c8b44c586,2020-06-24,2020-06-18,10.92,28881.05876
arm2_low_max,601311.SH,cninfo:distribution:94b6fa26c15b1d75adae81ea800d2b7e,2020-07-13,2020-07-09,10.04,45095.28418
arm2_low_max,600740.SH,cninfo:distribution:7899efc5dd3b201087334225d2881312,2021-05-28,2021-05-26,6.67,63316.80009
arm2_low_max,002568.SZ,cninfo:distribution:8b8edac13ef211a2330e5acb7ccd2975,2021-06-08,2021-06-04,117,3592.374686
arm2_low_max,600809.SH,cninfo:distribution:cd5dca751ebceefa28adc178a6d8f6b8,2021-07-05,2021-07-01,450,957.6142195
arm2_low_max,601012.SH,cninfo:distribution:305ba07ec4e79a0b1f7fc631b6edd64c,2022-06-06,2022-06-01,79.2,5976.335057
arm2_low_max,603799.SH,cninfo:distribution:97731d9095b3ea0665d096b6085cb4d6,2022-06-08,2022-06-06,101.23,4714.447927
arm2_low_max,603588.SH,cninfo:distribution:3aa96c75899831a6f360b5a9b9d2cbd7,2022-06-17,2022-06-14,15.1,31853.11285
arm2_low_max,600368.SH,cninfo:distribution:2c1f411809a921bf86115dd16afeb992,2023-06-14,2023-06-12,4.2,135555.1419
