family,leg,period,horizon,count,signal_dates,mean_return,median_return,positive_fraction,p10,p90,severe_loss_fraction,mean_adverse_excursion,mean_excess_vs_date_control,entry_executable_fraction,median_candidate_count,median_avg_amount20_cny,p10_entry_amount_cny
closing_acceptance,top,early_2018_2020,5,2435,122,-0.00789524972612202,-0.014472663508533712,0.4213552361396304,-0.1026691572266281,0.0943076339569494,0.10636550308008214,-0.061788905458491514,-0.005887207692570658,0.9979508196721312,1889.5,145863546.85325,51756674.568
closing_acceptance,top,early_2018_2020,20,2429,122,-0.010904340753412223,-0.031132917941050775,0.4100452861259778,-0.1811862310449503,0.17762525710412708,0.2745986002470152,-0.11748516630411676,-0.014073871621296637,0.9979508196721312,1889.5,145863546.85325,51850905.27200001
closing_acceptance,top,full,5,5244,263,-0.007055629702506443,-0.01507405234514736,0.41170861937452324,-0.10183310880534621,0.09550186767901962,0.10430968726163234,-0.06217971620265106,-0.004177835138648909,0.9835205992509364,2473.0,165735245.73624998,55373024.72200001
closing_acceptance,top,full,20,5219,263,-0.011964630090109448,-0.03477197743973215,0.3952864533435524,-0.17619898916757767,0.17478996441552952,0.2824295842115348,-0.11642359043787527,-0.009223711517892618,0.9835205992509364,2473.0,165735245.73624998,55463608.374000005
closing_acceptance,top,late_2021_2023,5,2809,141,-0.006327799600155453,-0.016279982871816312,0.40334638661445354,-0.10109352685946896,0.09734590591102626,0.10252758988964045,-0.06251849304922581,-0.0026960543736793607,0.9713793103448276,2785.0,188141355.03625,60096462.814
closing_acceptance,top,late_2021_2023,20,2790,141,-0.012887727867470581,-0.0384717658813275,0.38243727598566307,-0.1712577797052465,0.17171377885537764,0.289247311827957,-0.11549937259590375,-0.005001116933244455,0.9713793103448276,2785.0,188141355.03625,60129977.743999995
closing_acceptance,top,year_2018,5,480,24,-0.01799601594658373,-0.020169263522999137,0.38333333333333336,-0.10902956524513413,0.0844188516729902,0.11458333333333333,-0.06485227806885255,-0.004862568960390091,1.0,1239.5,104896988.324,44541203.60000001
closing_acceptance,top,year_2018,20,478,24,-0.04955435297344642,-0.05917868905851337,0.303347280334728,-0.18291899142890694,0.09723852562320048,0.32217573221757323,-0.13036817836480774,-0.014819728425930401,1.0,1239.5,104896988.324,44344914.800000004
closing_acceptance,top,year_2019,5,977,49,-0.003008865382957625,-0.014007738712519147,0.436028659160696,-0.08670735424226232,0.0938240803460951,0.06857727737973388,-0.05344059186620623,-0.00640152564096367,0.996938775510204,1657.0,129156407.1835,50231739.2
closing_acceptance,top,year_2019,20,976,49,0.004809328889724422,-0.012851818081574096,0.4569672131147541,-0.1659188841363768,0.1989041890704789,0.23155737704918034,-0.10524202673149834,-0.014457847830231652,0.996938775510204,1657.0,129156407.1835,50226374.0
closing_acceptance,top,year_2020,5,978,49,-0.007819206492430807,-0.013326794858232516,0.42535787321063395,-0.11840427614997708,0.1037643603830379,0.14008179959100203,-0.06862518718312283,-0.005876305806953785,0.9979591836734694,2258.0,195326088.05249995,63770913.825
closing_acceptance,top,year_2020,20,975,49,-0.007685710733437896,-0.03477591178560113,0.4153846153846154,-0.19050829147852166,0.19807976908047778,0.29435897435897435,-0.12342488369679912,-0.013323840511003814,0.9979591836734694,2258.0,195326088.05249995,63734901.06
closing_acceptance,top,year_2021,5,958,48,-0.002792555189500512,-0.014603047393200064,0.42588726513569936,-0.10551307221931992,0.10798818547617851,0.11377870563674322,-0.0653498198522537,9.511248808789857e-05,0.9979166666666667,2420.5,228702404.93324995,65033426.25
closing_acceptance,top,year_2021,20,957,48,-0.004945730919956218,-0.04025212651914023,0.3939393939393939,-0.18125832231595354,0.20752446652226048,0.2998955067920585,-0.11748546587409303,-0.005663860166122654,0.9979166666666667,2420.5,228702404.93324995,65024687.120000005
closing_acceptance,top,year_2022,5,974,49,-0.008474098343075028,-0.018952397746826444,0.3993839835728953,-0.10826790059910432,0.09690715031687057,0.12012320328542095,-0.06617357494766014,-0.005394326952123473,0.9989795918367347,2866.0,175691464.87175003,58835432.903000005
closing_acceptance,top,year_2022,20,964,49,-0.027819136101636655,-0.04244769163777573,0.36618257261410786,-0.19481099248000355,0.16428158783822078,0.3329875518672199,-0.12840370518045605,-0.014873193332171799,0.9989795918367347,2866.0,175691464.87175003,58835432.903000005
closing_acceptance,top,year_2023,5,877,44,-0.0078058716295782244,-0.014939892884727746,0.3831242873432155,-0.08984029013045051,0.08590822923591972,0.07069555302166476,-0.055366314205011743,-0.002748301080826989,0.9166666666666666,2892.0,170257231.77650002,56767630.156
closing_acceptance,top,year_2023,20,869,44,-0.005070252080399408,-0.033911908358455034,0.3878020713463751,-0.14546629626620794,0.14377834134397655,0.2289988492520138,-0.09899710806341176,0.00668004178071457,0.9166666666666666,2892.0,170257231.77650002,57175251.144
date_control,control,early_2018_2020,5,2433,122,-0.0019957838546294454,-0.0072258081240116345,0.44718454582819567,-0.08110441753079171,0.07603301104188465,0.058364159473900536,-0.04739280611589197,0.0,0.9975409836065574,1889.5,129116949.9695,38987185.32
date_control,control,early_2018_2020,20,2428,122,0.0031015308199690925,-0.014035725115174869,0.4443986820428336,-0.14887254608364953,0.1681212432071646,0.20345963756177923,-0.0925987955978296,0.0,0.9975409836065574,1889.5,129116949.9695,38990791.120000005
date_control,control,full,5,5239,263,-0.0028544316982796625,-0.007468194738991407,0.43634281351402937,-0.07623429339171743,0.07053368078021122,0.05039129604886429,-0.04577874529220089,0.0,0.9825842696629213,2473.0,141698011.64824998,41664082.176
date_control,control,full,20,5223,263,-0.0027560827466071147,-0.016476795712196735,0.4321271300019146,-0.14636318896598327,0.1492399815753111,0.19643882825962092,-0.0913919290969405,0.0,0.9825842696629213,2473.0,141698011.64824998,41646727.794
date_control,control,late_2021_2023,5,2806,141,-0.003598939967560124,-0.0075871856171049745,0.4269422665716322,-0.07211085348100793,0.0668166150226045,0.043478260869565216,-0.044379240664959116,0.0,0.97,2785.0,153633693.82325,43924879.849999994
date_control,control,late_2021_2023,20,2795,141,-0.007844557072062225,-0.018720414992565604,0.4214669051878354,-0.1424018838824784,0.1333112250503728,0.19033989266547405,-0.09034353129223253,0.0,0.97,2785.0,153633693.82325,43937117.434
date_control,control,year_2018,5,480,24,-0.013133446986193635,-0.013673167313455303,0.3958333333333333,-0.08805201486975013,0.061152320059919246,0.075,-0.05186685817332812,0.0,1.0,1239.5,106831760.29175001,35716500.62
date_control,control,year_2018,20,480,24,-0.03481503718275267,-0.04098176803895881,0.3375,-0.164935797843168,0.10760191568104314,0.26666666666666666,-0.10922061015100652,0.0,1.0,1239.5,106831760.29175001,35716500.62
date_control,control,year_2019,5,978,49,0.0034022319301808606,-0.0028013271614630852,0.47443762781186094,-0.0686933046215621,0.08176080946384309,0.041922290388548056,-0.04182744760472786,0.0,0.9979591836734694,1657.0,119110466.275,38650014.9
date_control,control,year_2019,20,976,49,0.019312494529221486,-0.0008771439615031795,0.4969262295081967,-0.1344128885431699,0.18299053770435214,0.1598360655737705,-0.08008677171139013,0.0,0.9979591836734694,1657.0,119110466.275,38781933.0
date_control,control,year_2020,5,975,49,-0.0019272516847767987,-0.008649367930805063,0.4451282051282051,-0.0876589352337593,0.08085480461195034,0.06666666666666667,-0.05077267856342955,0.0,0.9959183673469387,2258.0,153753596.50200003,45329159.400000006
date_control,control,year_2020,20,972,49,0.005548086438360145,-0.014856802258337187,0.4444444444444444,-0.14624097819198964,0.1791798696645177,0.21604938271604937,-0.09695400581145104,0.0,0.9959183673469387,2258.0,153753596.50200003,45143144.10000001
date_control,control,year_2021,5,955,48,-0.002955223899936598,-0.008947279570212907,0.4272251308900524,-0.07097602363996051,0.07163579277864991,0.04293193717277487,-0.04664942479431814,0.0,0.9958333333333333,2420.5,167878327.126,48683431.576000005
date_control,control,year_2021,20,951,48,0.0004571470329832666,-0.015506559136063136,0.4479495268138801,-0.14941986100331672,0.15469061876247503,0.1882229232386961,-0.09057028910144976,0.0,0.9958333333333333,2420.5,167878327.126,48621175.04
date_control,control,year_2022,5,972,49,-0.002951598602575101,-0.0056612954230743084,0.44753086419753085,-0.08074753083945613,0.06908207211437016,0.05555555555555555,-0.04776038505978656,0.0,0.9979591836734694,2866.0,152175983.562,42779987.211
date_control,control,year_2022,20,968,49,-0.012613845746636506,-0.019125733415511548,0.42768595041322316,-0.1619411102118036,0.14280311258510917,0.22520661157024793,-0.10118595917821617,0.0,0.9979591836734694,2866.0,152175983.562,42749366.623
date_control,control,year_2023,5,879,44,-0.0050141443490685535,-0.008408902815212005,0.40386803185437997,-0.0626701693156122,0.05690793904348368,0.030716723549488054,-0.038173895732865684,0.0,0.915625,2892.0,141148427.63125,41591048.528000005
date_control,control,year_2023,20,876,44,-0.011586850641594607,-0.024762504489201753,0.3858447488584475,-0.11997737783566198,0.10793220825368488,0.1541095890410959,-0.07811622892899307,0.0,0.915625,2892.0,141148427.63125,41559932.105000004
down_market_resilience,top,early_2018_2020,5,1121,58,-0.008932783553194662,-0.02029304753855654,0.4049955396966994,-0.13390610084179466,0.11770670876895717,0.19000892060660124,-0.08289418305743404,-0.014928491532289565,0.9663793103448276,2047.0,123215959.00575,143424966.8
down_market_resilience,top,early_2018_2020,20,1118,58,-0.0188347797004585,-0.049890332476831833,0.3810375670840787,-0.2255263513628459,0.1932350386945408,0.3747763864042934,-0.1427813908569406,-0.034944827467798215,0.9663793103448276,2047.0,123215959.00575,143615637.756
down_market_resilience,top,full,5,2437,126,-0.008461739465449272,-0.02210125204137181,0.4086992203528929,-0.1380085764610113,0.1313351694439542,0.19368075502667215,-0.08452269372387264,-0.008384755375781207,0.95234375,2474.0,149678437.635,177091327.68
down_market_resilience,top,full,20,2423,126,-0.023571353151032686,-0.06128006348554149,0.35905901774659515,-0.22652133907854835,0.200638529570306,0.3924886504333471,-0.14621991811274043,-0.026335926733523134,0.95234375,2474.0,149678437.635,177102062.664
down_market_resilience,top,late_2021_2023,5,1316,68,-0.008060492943897157,-0.02450090129817889,0.41185410334346506,-0.13892458192671336,0.14526562957727296,0.19680851063829788,-0.0859098977186125,-0.002810645777418079,0.9407142857142857,2789.5,174126159.60824996,223122127.21499997
down_market_resilience,top,late_2021_2023,20,1305,68,-0.02762919921826789,-0.06966287205808164,0.34022988505747126,-0.22635974998587413,0.20625171701313078,0.4076628352490421,-0.14916572153954824,-0.018960638594887464,0.9407142857142857,2789.5,174126159.60824996,223504159.774
down_market_resilience,top,year_2018,5,236,12,-0.030582044926059482,-0.03312451970389557,0.3050847457627119,-0.13687893455559225,0.07273991533906632,0.1906779661016949,-0.08103966577581621,-0.01674921172148552,0.9833333333333333,1119.0,101926930.28724998,95190973.87
down_market_resilience,top,year_2018,20,236,12,-0.0468507455015038,-0.058170472242328575,0.3432203389830508,-0.21743755701665185,0.1306386351906068,0.3940677966101695,-0.1481438840087901,-0.026318659370034827,0.9833333333333333,1119.0,101926930.28724998,95190973.87
down_market_resilience,top,year_2019,5,405,21,-0.013794400134808694,-0.02394067373122144,0.4049382716049383,-0.14295016488509207,0.11557196492816928,0.2,-0.08471137790443185,-0.028057995387426187,0.9642857142857143,1572.0,119070376.09374999,144222219.048
down_market_resilience,top,year_2019,20,405,21,-0.018194197066681062,-0.04872291345452795,0.39012345679012345,-0.21433383303833128,0.2228721180036898,0.37037037037037035,-0.1405523163618428,-0.052221163588414034,0.9642857142857143,1572.0,119070376.09374999,144222219.048
down_market_resilience,top,year_2020,5,480,25,0.005813425612534046,-0.010969890881243782,0.45416666666666666,-0.125340353236378,0.1376608098076529,0.18125,-0.08227272923540842,-0.00295528522816337,0.96,2293.0,153389203.7265,210403223.60799998
down_market_resilience,top,year_2020,20,477,25,-0.005517521917718813,-0.048982285309246865,0.3920335429769392,-0.24506469998240998,0.2064998669762828,0.3689727463312369,-0.14202086001140207,-0.024544113719837533,0.96,2293.0,153389203.7265,210513106.156
down_market_resilience,top,year_2021,5,486,25,0.004772011512907053,-0.005587187292532825,0.4794238683127572,-0.13106274007682456,0.15052173062097585,0.1748971193415638,-0.08067220843015739,0.0023981569754076082,0.972,2425.0,187446142.205,215295273.48000002
down_market_resilience,top,year_2021,20,483,25,0.007086117927494338,-0.0341740760902437,0.432712215320911,-0.20836690463252694,0.24371426506606025,0.33954451345755693,-0.13549791011655885,6.869536363255382e-05,0.972,2425.0,187446142.205,214537775.52
down_market_resilience,top,year_2022,5,423,22,-0.02513430416101238,-0.035701098233751116,0.36879432624113473,-0.17015629273151037,0.1333451039278244,0.2458628841607565,-0.09584830683393027,-0.015267662455595611,0.9636363636363636,2868.0,159187535.21449998,208594688.08
down_market_resilience,top,year_2022,20,416,22,-0.07045019571686377,-0.08999624437167147,0.2764423076923077,-0.2580922176479484,0.1346487382378101,0.46875,-0.1687748468315166,-0.06168800802081746,0.9636363636363636,2868.0,159187535.21449998,208698142.315
