trade_date,block,candidate_count,baseline_symbol,low_max_symbol,changed,baseline_industry,low_max_industry,baseline_return,low_max_return
2019-02-11,development_2018_2021,3,300012.SZ,300271.SZ,True,专业服务,IT服务Ⅱ,0.1235784083,0.3150887088
2019-02-14,development_2018_2021,2,300037.SZ,300037.SZ,False,电池,电池,0.04634558102,0.04634558102
2019-02-25,development_2018_2021,4,300027.SZ,300142.SZ,True,影视院线,生物制品,0.03510244402,0.1063936064
2019-08-30,development_2018_2021,2,300034.SZ,300144.SZ,True,航空装备Ⅱ,旅游及景区,-0.03029339237,0.05621878122
2019-09-02,development_2018_2021,2,300458.SZ,300458.SZ,False,半导体,半导体,0.1402825116,0.1402825116
2019-09-09,development_2018_2021,3,300303.SZ,300037.SZ,True,光学光电子,电池,-0.02713659137,-0.03840744509
2019-09-16,development_2018_2021,2,300256.SZ,300256.SZ,False,消费电子,消费电子,0.09327665175,0.09327665175
2019-12-10,development_2018_2021,2,300303.SZ,300036.SZ,True,光学光电子,软件开发,0.4052584187,0.2816446711
2019-12-12,development_2018_2021,2,300308.SZ,300308.SZ,False,通信设备,通信设备,0.08220841658,0.08220841658
2019-12-17,development_2018_2021,2,300502.SZ,300451.SZ,True,通信设备,软件开发,-0.04033065895,-0.03085092502
2019-12-24,development_2018_2021,2,300429.SZ,300144.SZ,True,电子化学品Ⅱ,旅游及景区,0.0913111279,-0.06780033154
2020-01-02,development_2018_2021,2,300229.SZ,300070.SZ,True,软件开发,环境治理,0.01465950595,0.09160421328
2020-02-18,development_2018_2021,3,300458.SZ,300408.SZ,True,半导体,元件,-0.2163798666,-0.192149862
2020-02-20,development_2018_2021,2,300558.SZ,300066.SZ,True,化学制药,通用设备,-0.1874803246,-0.1134963937
2020-06-16,development_2018_2021,2,300037.SZ,300037.SZ,False,电池,电池,0.3159183636,0.3159183636
2020-06-22,development_2018_2021,3,300087.SZ,300348.SZ,True,种植业,软件开发,0.08630835457,0.2457213297
2020-06-23,development_2018_2021,4,300601.SZ,300451.SZ,True,生物制品,软件开发,0.3901647907,0.0259940403
2020-06-30,development_2018_2021,6,300454.SZ,300271.SZ,True,软件开发,IT服务Ⅱ,0.01113360324,-0.09701204657
2020-07-01,development_2018_2021,2,300613.SZ,300613.SZ,False,半导体,半导体,-0.04233013313,-0.04233013313
2020-07-03,development_2018_2021,6,300316.SZ,300726.SZ,True,光伏设备,军工电子Ⅱ,-0.04322820037,0.2295492
2020-07-06,development_2018_2021,11,300672.SZ,300068.SZ,True,半导体,电池,-0.04288604372,0.2527185358
2020-07-07,development_2018_2021,8,300693.SZ,300124.SZ,True,其他电源设备Ⅱ,自动化设备,0.1173283239,0.193505125
2020-07-08,development_2018_2021,7,300476.SZ,300476.SZ,False,元件,元件,-0.09854086142,-0.09854086142
2020-07-09,development_2018_2021,6,300357.SZ,300634.SZ,True,生物制品,IT服务Ⅱ,-0.006071479541,0.1011354068
2020-07-10,development_2018_2021,2,300078.SZ,300046.SZ,True,IT服务Ⅱ,半导体,-0.1854204619,-0.1870039638
2020-07-13,development_2018_2021,3,300634.SZ,300634.SZ,False,IT服务Ⅱ,IT服务Ⅱ,0.1909028472,0.1909028472
2020-07-14,development_2018_2021,3,300048.SZ,300587.SZ,True,自动化设备,橡胶,-0.06057638014,0.2787677053
2020-08-28,development_2018_2021,2,300702.SZ,300702.SZ,False,化学制药,化学制药,-0.1493764195,-0.1493764195
2020-10-09,development_2018_2021,2,300124.SZ,300124.SZ,False,自动化设备,自动化设备,0.2754208814,0.2754208814
2020-12-04,development_2018_2021,2,300347.SZ,300408.SZ,True,医疗服务,元件,0.3037329155,0.07061025931
2021-05-27,development_2018_2021,3,300655.SZ,300394.SZ,True,电子化学品Ⅱ,通信设备,0.1572194299,0.01942035747
2021-06-10,development_2018_2021,2,300058.SZ,300002.SZ,True,广告营销,游戏Ⅱ,-0.09926246426,-0.0243564989
2021-07-14,development_2018_2021,2,300162.SZ,300141.SZ,True,光学光电子,电网设备,0.1210929337,0.4639175538
2021-07-21,development_2018_2021,2,300377.SZ,300825.SZ,True,软件开发,汽车服务,0.08446256714,-0.03603581849
2021-11-17,development_2018_2021,2,300353.SZ,300002.SZ,True,通信设备,游戏Ⅱ,-0.07665913632,0.001226560193
2021-12-14,development_2018_2021,4,300531.SZ,300059.SZ,True,计算机设备,证券Ⅱ,0.08065423391,-0.1231337183
2022-06-24,consumed_2022_2023,2,300012.SZ,300229.SZ,True,专业服务,软件开发,-0.08545161735,0.1053046604
2022-07-20,consumed_2022_2023,3,300427.SZ,300427.SZ,False,电网设备,电网设备,0.0232533424,0.0232533424
2022-08-15,consumed_2022_2023,2,300360.SZ,300532.SZ,True,电网设备,IT服务Ⅱ,-0.004113907294,-0.04145981569
2022-08-17,consumed_2022_2023,5,300153.SZ,300040.SZ,True,其他电源设备Ⅱ,电力,-0.277868473,-0.186131212
2022-08-18,consumed_2022_2023,3,300890.SZ,300444.SZ,True,电池,电网设备,-0.3228061718,-0.2535269608
2022-08-23,consumed_2022_2023,2,300317.SZ,300001.SZ,True,电力,电网设备,-0.2382197634,-0.2321505155
2023-01-16,consumed_2022_2023,3,300782.SZ,300012.SZ,True,半导体,专业服务,-0.09943606689,-0.07795587077
2023-01-20,consumed_2022_2023,2,300271.SZ,300271.SZ,False,IT服务Ⅱ,IT服务Ⅱ,0.2453383048,0.2453383048
2023-01-30,consumed_2022_2023,8,300229.SZ,300136.SZ,True,软件开发,消费电子,0.3379612094,0.05748177324
2023-01-31,consumed_2022_2023,4,300087.SZ,300001.SZ,True,种植业,电网设备,-0.04556385602,0.01424854216
2023-02-01,consumed_2022_2023,5,300559.SZ,300136.SZ,True,软件开发,消费电子,-0.0398135637,0.0702884987
2023-02-02,consumed_2022_2023,3,300339.SZ,300136.SZ,True,IT服务Ⅱ,消费电子,0.1045583222,0.1190221738
2023-02-03,consumed_2022_2023,3,300087.SZ,300087.SZ,False,种植业,种植业,-0.07623416852,-0.07623416852
2023-02-06,consumed_2022_2023,5,300579.SZ,300567.SZ,True,软件开发,通用设备,0.002127393791,0.1465274715
2023-02-07,consumed_2022_2023,7,300792.SZ,300296.SZ,True,互联网电商,光学光电子,-0.09299668941,0.01876043956
2023-02-08,consumed_2022_2023,2,300017.SZ,300017.SZ,False,IT服务Ⅱ,IT服务Ⅱ,0.01258319602,0.01258319602
2023-02-09,consumed_2022_2023,2,300672.SZ,300855.SZ,True,半导体,金属新材料,-0.1248047742,-0.07622452735
2023-02-10,consumed_2022_2023,3,300623.SZ,300505.SZ,True,半导体,农化制品,-0.0399886683,-0.03731856032
2023-02-13,consumed_2022_2023,2,300105.SZ,300001.SZ,True,其他电源设备Ⅱ,电网设备,-0.1487287508,-0.04482586865
2023-02-15,consumed_2022_2023,4,300513.SZ,300376.SZ,True,通信服务,其他电源设备Ⅱ,-0.06217165188,-0.05158026687
2023-03-22,consumed_2022_2023,2,300226.SZ,300925.SZ,True,软件开发,软件开发,0.4563866366,0.09076500423
2023-03-23,consumed_2022_2023,3,300730.SZ,300161.SZ,True,软件开发,通用设备,-0.08466881031,0.3786204165
2023-04-03,consumed_2022_2023,2,300085.SZ,300085.SZ,False,软件开发,软件开发,0.1773178041,0.1773178041
2023-04-04,consumed_2022_2023,4,300454.SZ,300144.SZ,True,软件开发,旅游及景区,-0.265505275,-0.2101629003
2023-04-06,consumed_2022_2023,3,300468.SZ,300102.SZ,True,软件开发,光学光电子,-0.04170427889,-0.2131138093
2023-04-07,consumed_2022_2023,6,300096.SZ,300542.SZ,True,IT服务Ⅱ,软件开发,-0.1952385849,-0.1350649351
2023-06-19,consumed_2022_2023,2,300275.SZ,300811.SZ,True,计算机设备,金属新材料,-0.06504866974,-0.08769634723
2023-10-13,consumed_2022_2023,2,300782.SZ,300177.SZ,True,半导体,军工电子Ⅱ,0.1183080201,0.01498370739
2023-10-16,consumed_2022_2023,3,300225.SZ,300139.SZ,True,化学制品,贵金属,0.05514327726,0.04373994475
2023-11-07,consumed_2022_2023,5,300507.SZ,300096.SZ,True,汽车零部件,IT服务Ⅱ,-0.07578025088,-0.01804774173
2023-11-08,consumed_2022_2023,6,301160.SZ,300016.SZ,True,特钢Ⅱ,化学制药,0.04778300458,-0.001998001998
2023-11-10,consumed_2022_2023,4,300184.SZ,300514.SZ,True,其他电子Ⅱ,电网设备,-0.1573027784,-0.03996890871
2023-11-13,consumed_2022_2023,2,300536.SZ,301149.SZ,True,基础建设,化学制品,0.1779878413,-0.05810104385
2023-11-14,consumed_2022_2023,4,300514.SZ,300514.SZ,False,电网设备,电网设备,-0.03956394923,-0.03956394923
2023-11-15,consumed_2022_2023,3,301133.SZ,300240.SZ,True,汽车零部件,物流,-0.0591580901,-0.09836591979
2023-11-16,consumed_2022_2023,2,300991.SZ,300074.SZ,True,其他电子Ⅱ,软件开发,-0.1089079786,-0.005966200797
