cohort_id,industry,decision_date,rank_correlation,selection_overlap,changed_fraction,replacements_requested
2018-07-09,航空装备Ⅱ,2018-07-10,1,1,0,0
2018-07-09,航空装备Ⅱ,2018-07-11,1,1,0,0
2018-07-09,航空装备Ⅱ,2018-07-12,1,1,0,0
2018-07-09,航空装备Ⅱ,2018-07-13,1,0.9,0.1,1
2018-07-09,航空装备Ⅱ,2018-07-16,1,1,0,0
2018-07-09,航空装备Ⅱ,2018-07-17,1,1,0,0
2018-07-09,航空装备Ⅱ,2018-07-18,0.9824175824,0.9,0.1,1
2018-07-09,航空装备Ⅱ,2018-07-19,1,0.9,0.1,1
2018-07-09,航空装备Ⅱ,2018-07-20,1,1,0,0
2018-07-09,航空装备Ⅱ,2018-07-23,0.7098901099,0.9,0.1,1
2018-07-09,航空装备Ⅱ,2018-07-24,0.8461538462,0.9,0.1,1
2018-07-09,航空装备Ⅱ,2018-07-25,1,1,0,0
2018-07-09,航空装备Ⅱ,2018-07-26,1,0.9,0.1,1
2018-07-09,航空装备Ⅱ,2018-07-27,1,1,0,0
2018-07-09,航空装备Ⅱ,2018-07-30,1,1,0,0
2018-07-09,航空装备Ⅱ,2018-07-31,0.2351648352,0.8,0.2,2
2018-07-09,航空装备Ⅱ,2018-08-01,1,1,0,0
2018-07-09,航空装备Ⅱ,2018-08-02,1,1,0,0
2018-07-09,航空装备Ⅱ,2018-08-03,1,1,0,0
2018-07-16,军工电子Ⅱ,2018-07-17,1,1,0,0
2018-07-16,军工电子Ⅱ,2018-07-18,0.7932305312,1,0,0
2018-07-16,军工电子Ⅱ,2018-07-19,0.7407952872,0.6666666667,0.3333333333,1
2018-07-16,军工电子Ⅱ,2018-07-20,0.7387787136,0.6666666667,0.3333333333,1
2018-07-16,军工电子Ⅱ,2018-07-23,1,1,0,0
2018-07-16,军工电子Ⅱ,2018-07-24,1,1,0,0
2018-07-16,军工电子Ⅱ,2018-07-25,1,1,0,0
2018-07-16,军工电子Ⅱ,2018-07-26,1,1,0,0
2018-07-16,军工电子Ⅱ,2018-07-27,0.8823529412,0.6666666667,0.3333333333,1
2018-07-16,军工电子Ⅱ,2018-07-30,0.9545923633,1,0,0
2018-07-16,军工电子Ⅱ,2018-07-31,0.7671568627,0.6666666667,0.3333333333,1
2018-07-16,军工电子Ⅱ,2018-08-01,1,1,0,0
2018-07-16,军工电子Ⅱ,2018-08-02,1,1,0,0
