trade_date,family,cost_per_side,nav,cash,positions,industries,industry_hhi
2018-07-10,slow_industry_daily_low_max,0.002,10017088.48,7500000,10,1,1
2018-07-11,slow_industry_daily_low_max,0.002,9930202.021,7500000,10,1,1
2018-07-12,slow_industry_daily_low_max,0.002,9996447.079,7500000,10,1,1
2018-07-13,slow_industry_daily_low_max,0.002,9983813.439,7500000,10,1,1
2018-07-16,slow_industry_daily_low_max,0.002,10000218.27,7500000,10,1,1
2018-07-17,slow_industry_daily_low_max,0.002,9990158.589,4999681.781,20,4,0.4168012646
2018-07-18,slow_industry_daily_low_max,0.002,9938657.863,4999681.781,20,4,0.417012839
2018-07-19,slow_industry_daily_low_max,0.002,9836620.034,4999681.781,20,4,0.4137384773
2018-07-20,slow_industry_daily_low_max,0.002,9912090.814,4999681.781,20,4,0.4172158199
2018-07-23,slow_industry_daily_low_max,0.002,9977281.661,4999681.781,20,4,0.4275179465
2018-07-24,slow_industry_daily_low_max,0.002,10014826.13,2511963.391,30,8,0.3026957217
2018-07-25,slow_industry_daily_low_max,0.002,10017050.39,2511963.391,30,8,0.3015145591
2018-07-26,slow_industry_daily_low_max,0.002,9837453.182,2511963.391,30,8,0.2971648134
2018-07-27,slow_industry_daily_low_max,0.002,9825865.532,2511963.391,30,8,0.2944727125
2018-07-30,slow_industry_daily_low_max,0.002,9753114.065,2511963.391,30,8,0.2992892382
2018-07-31,slow_industry_daily_low_max,0.002,9688926.804,80434.33708,40,12,0.1845895618
2018-08-01,slow_industry_daily_low_max,0.002,9457703.614,80434.33708,40,12,0.1822941288
2018-08-02,slow_industry_daily_low_max,0.002,9243000.519,80434.33708,40,12,0.1783368373
2018-08-03,slow_industry_daily_low_max,0.002,9089359.186,80434.33708,40,12,0.1804718745
2018-08-06,slow_industry_daily_low_max,0.002,8941502.056,80434.33708,40,12,0.1789929504
2018-08-07,slow_industry_daily_low_max,0.002,9212605.798,51189.78568,40,12,0.1465707325
2018-08-08,slow_industry_daily_low_max,0.002,9067792.246,51189.78568,40,12,0.1490120878
2018-08-09,slow_industry_daily_low_max,0.002,9263753.775,51189.78568,40,12,0.1469505556
2018-08-10,slow_industry_daily_low_max,0.002,9262492.761,51189.78568,40,12,0.1457983595
2018-08-13,slow_industry_daily_low_max,0.002,9356341.972,51189.78568,40,12,0.1465181917
2018-08-14,slow_industry_daily_low_max,0.002,9250023.01,-2.910383046e-11,40,10,0.2432868035
2018-08-15,slow_industry_daily_low_max,0.002,9086214.745,-2.910383046e-11,40,10,0.2417286802
2018-08-16,slow_industry_daily_low_max,0.002,8968964.167,-2.910383046e-11,40,10,0.2409624097
2018-08-17,slow_industry_daily_low_max,0.002,8865097.937,-2.910383046e-11,40,10,0.2436173811
2018-08-20,slow_industry_daily_low_max,0.002,9008202.316,-2.910383046e-11,40,10,0.2445172923
2018-08-21,slow_industry_daily_low_max,0.002,9083925.503,-2.910383046e-11,40,6,0.3531510521
2018-08-22,slow_industry_daily_low_max,0.002,9008653.255,-2.910383046e-11,40,6,0.3545554552
2018-08-23,slow_industry_daily_low_max,0.002,9007844.331,-2.910383046e-11,40,6,0.3528811977
2018-08-24,slow_industry_daily_low_max,0.002,8991669.149,-2.910383046e-11,40,6,0.3532677209
2018-08-27,slow_industry_daily_low_max,0.002,9114492.008,-2.910383046e-11,40,6,0.352498863
2018-08-28,slow_industry_daily_low_max,0.002,9100099.687,53993.04633,40,5,0.3546070303
2018-08-29,slow_industry_daily_low_max,0.002,9063443.229,53993.04633,40,5,0.3548401291
2018-08-30,slow_industry_daily_low_max,0.002,8870351.62,53993.04633,40,5,0.3543704956
2018-08-31,slow_industry_daily_low_max,0.002,8845711.083,53993.04633,40,5,0.3537126237
2018-09-03,slow_industry_daily_low_max,0.002,8841225.608,53993.04633,40,5,0.3540298868
2018-09-04,slow_industry_daily_low_max,0.002,8905651.513,27146.63287,40,7,0.2419881456
2018-09-05,slow_industry_daily_low_max,0.002,8720002.271,27146.63287,40,7,0.2404320044
2018-09-06,slow_industry_daily_low_max,0.002,8662283.339,27146.63287,40,7,0.2406617142
2018-09-07,slow_industry_daily_low_max,0.002,8655574.671,27146.63287,40,7,0.2406662562
2018-09-10,slow_industry_daily_low_max,0.002,8596912.087,27146.63287,40,7,0.2422369891
2018-09-11,slow_industry_daily_low_max,0.002,8555370.949,38811.86696,40,7,0.2576517048
2018-09-12,slow_industry_daily_low_max,0.002,8541905.222,38811.86696,40,7,0.2584488828
2018-09-13,slow_industry_daily_low_max,0.002,8637456.036,38811.86696,40,7,0.2574353437
2018-09-14,slow_industry_daily_low_max,0.002,8562373.464,38811.86696,40,7,0.2591418437
2018-09-17,slow_industry_daily_low_max,0.002,8476976.272,38811.86696,40,7,0.2585227191
2018-09-18,slow_industry_daily_low_max,0.002,8587574.032,26453.1186,40,7,0.2654241858
2018-09-19,slow_industry_daily_low_max,0.002,8755727.345,26453.1186,40,7,0.2680242874
2018-09-20,slow_industry_daily_low_max,0.002,8704401.955,26453.1186,40,7,0.2681800406
2018-09-21,slow_industry_daily_low_max,0.002,8783279.917,26453.1186,40,7,0.268788564
2018-09-25,slow_industry_daily_low_max,0.002,8714309.79,26453.1186,40,7,0.2653200959
2018-09-26,slow_industry_daily_low_max,0.002,8809654.268,-2.910383046e-11,40,6,0.2867956651
2018-09-27,slow_industry_daily_low_max,0.002,8664157.412,-2.910383046e-11,40,6,0.2870624733
2018-09-28,slow_industry_daily_low_max,0.002,8730819.493,-2.910383046e-11,40,6,0.2873719707
2018-10-08,slow_industry_daily_low_max,0.002,8583547.643,-2.910383046e-11,40,6,0.2850094315
2018-10-09,slow_industry_daily_low_max,0.002,8655433.956,-2.910383046e-11,40,6,0.2842656734
