scope,period,cell_id,horizon,bucket,n,absolute_mean,absolute_median,absolute_positive_rate,industry_relative_mean,industry_relative_median,severe_loss_incidence
FULL,2018_2023,ABS_m04_REL_m02_W2,1,1,18388,-0.00174246695849,-0.00193467833495,0.46802262345,0.000289524965024,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,1,2,18861,-0.00233144052752,-0.00260385153039,0.458671332379,-0.000170973152052,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,1,3,18879,-0.0023232762759,-0.00350615841488,0.448964457863,-0.00013876178788,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,1,4,18864,-0.00192794132516,-0.00399201596806,0.445557675997,-0.000110149466515,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,1,5,19354,-0.00125627486093,-0.00399201596806,0.452826289139,0.000134260767475,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,3,1,18346,-8.22612067232e-05,-0.00510302897999,0.462335113921,0.000245533179761,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,3,2,18828,-0.000693440241305,-0.00399201596806,0.468663692373,0.000268451464994,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,3,3,18836,-0.000347777234322,-0.00399201596806,0.463633467828,0.000234215281428,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,3,4,18824,-4.71077792572e-05,-0.00399201596806,0.467860178496,0.000157191742461,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,3,5,19310,-0.00130352429142,-0.00586011490153,0.458415328845,-0.00087672772138,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,5,1,18314,0.00111136990872,-0.00597319505401,0.462869935568,0.000607180970337,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,5,2,18793,0.000298643567976,-0.00584793146626,0.459958495184,0.000820860819751,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,5,3,18801,0.000672273073397,-0.00570395818881,0.463326418808,0.000415794784272,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,5,4,18787,0.00115905041957,-0.0055243359435,0.465960504604,0.00054489285711,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,5,5,19274,-0.00332161548563,-0.00990371735426,0.450607035384,-0.00231402975625,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,10,1,18232,-0.000992738136351,-0.015320579313,0.432207108381,0.000988783256926,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,10,2,18708,-0.000677589507922,-0.0131028380946,0.44130853111,0.00166961320548,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,10,3,18697,-0.00090500865311,-0.0122099036251,0.444884206022,0.000512090416956,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,10,4,18697,-0.000160424012666,-0.0118106569243,0.445312082152,0.000958097796548,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,10,5,19191,-0.00877834623512,-0.0203933450464,0.422541816476,-0.0039993084892,0,
FULL,2018_2023,ABS_m04_REL_m02_W2,20,1,18100,-0.00342508472344,-0.0249606051056,0.424475138122,0.001333507006,0,0.499116022099
FULL,2018_2023,ABS_m04_REL_m02_W2,20,2,18548,-0.00214275829803,-0.0232031927924,0.428240241535,0.00151451473105,0,0.469484580548
FULL,2018_2023,ABS_m04_REL_m02_W2,20,3,18549,-0.0022282141225,-0.0225367728469,0.427570219419,0.00169271127919,0,0.467895843442
FULL,2018_2023,ABS_m04_REL_m02_W2,20,4,18549,-0.00167058297465,-0.0228637461918,0.430858806405,0.00182569474784,0,0.479378942261
FULL,2018_2023,ABS_m04_REL_m02_W2,20,5,19031,-0.0147222576166,-0.0370088552177,0.397982239504,-0.00617364349932,0,0.560506541958
FULL,2018_2023,ABS_m04_REL_m02_W3,1,1,17153,-0.00170549270576,-0.00204224503684,0.469830350376,2.36697349261e-05,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,1,2,17621,-0.00207345328376,-0.00256769402971,0.45967879235,-1.9807397594e-06,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,1,3,17650,-0.00232551266572,-0.00377908602955,0.449745042493,-0.000248222941467,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,1,4,17625,-0.00162594164289,-0.00342642370002,0.448794326241,-2.26425079081e-05,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,1,5,18122,-0.00133326350394,-0.00399201596806,0.446970533054,0.000243301223424,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,3,1,17119,-1.29826247485e-05,-0.00399201596806,0.465622991997,0.000162718592152,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,3,2,17585,0.000283270721217,-0.0035599083828,0.469945976685,0.00017937727622,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,3,3,17608,1.64180203944e-05,-0.00399201596806,0.467287596547,0.000162857402114,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,3,4,17579,0.000500427823816,-0.00399201596806,0.469651288469,0.000341934953892,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,3,5,18084,-0.00116304788507,-0.00557251048753,0.46300597213,-0.000819420298179,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,5,1,17089,-0.000157231763493,-0.00746527457905,0.452220726783,0.0003419274963,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,5,2,17555,0.000139259250486,-0.0063410914021,0.458330959841,0.000690428725697,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,5,3,17582,-0.000114336571276,-0.00625357172547,0.461437834149,0.000204147931091,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,5,4,17546,0.000203330391737,-0.00649343996783,0.459363957597,0.000423584582076,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,5,5,18055,-0.00364236392804,-0.0102463832147,0.443256715591,-0.00160538461731,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,10,1,17013,-0.00211697843819,-0.0152011090359,0.43014165638,0.000358840559091,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,10,2,17475,-0.000486539006548,-0.0123367866302,0.443776824034,0.00169512381349,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,10,3,17498,-0.00151420655038,-0.0133827839576,0.43896445308,0.000663696274217,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,10,4,17466,-0.00228817714465,-0.0139951598236,0.440913775335,0.000588401690164,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,10,5,17978,-0.00982161148306,-0.0217550877444,0.416453443097,-0.00320489622868,0,
FULL,2018_2023,ABS_m04_REL_m02_W3,20,1,16890,-0.00403439577078,-0.025138733561,0.421136767318,0.0010705011772,0,0.490645352279
FULL,2018_2023,ABS_m04_REL_m02_W3,20,2,17334,-0.0022842737743,-0.0228116595044,0.429156570901,0.00262775907792,0,0.457482404523
FULL,2018_2023,ABS_m04_REL_m02_W3,20,3,17357,-0.0038145361108,-0.0219704994343,0.427320389468,0.00118390976756,0,0.464538802789
FULL,2018_2023,ABS_m04_REL_m02_W3,20,4,17320,-0.00498174344365,-0.0264903509782,0.418302540416,0.00123850264337,0,0.48227482679
FULL,2018_2023,ABS_m04_REL_m02_W3,20,5,17826,-0.0163344244908,-0.0391179047473,0.394031190396,-0.00592563269148,0,0.561427128913
FULL,2018_2023,ABS_m04_REL_m02_W5,1,1,15180,-0.0019041436794,-0.00182206393314,0.469169960474,-2.66435335581e-05,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,1,2,15661,-0.00153387977008,-0.00207831455033,0.464465870634,7.24327312745e-05,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,1,3,15667,-0.00185763564076,-0.0030083043789,0.450564881598,-0.000140922834073,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,1,4,15664,-0.00127408382116,-0.0032456820097,0.450970377937,0.000194473961427,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,1,5,16160,-0.00140947427536,-0.00399201596806,0.441707920792,-9.7049644521e-05,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,3,1,15156,-0.00178830734467,-0.00621158816589,0.446291897598,0.000318038335043,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,3,2,15636,-0.000678223450511,-0.00514339329568,0.454847787158,0.000748793704571,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,3,3,15643,-0.00149288030269,-0.00575174738861,0.451128300198,0.000237482994538,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,3,4,15638,-0.00125763003135,-0.00598304885742,0.452103849597,0.000409588869722,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,3,5,16129,-0.00440009683136,-0.010328328499,0.42916485833,-0.00165220562954,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,5,1,15127,-0.00226522711731,-0.00856085993151,0.443643815694,0.00020123447482,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,5,2,15609,-0.000917648127778,-0.0078418535651,0.448651419053,0.00145993492877,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,5,3,15611,-0.00165926887437,-0.00818946762951,0.445967586958,0.000537007461274,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,5,4,15605,-0.00192143731998,-0.00881486667984,0.448574174944,0.000182949726245,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,5,5,16094,-0.00671091138183,-0.01347332155,0.424443892134,-0.00230336474213,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,10,1,15080,-0.00234934194218,-0.0144924300994,0.433620689655,0.000606412222743,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,10,2,15556,-9.83655803604e-06,-0.0121476681891,0.435973257907,0.00244866018586,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,10,3,15557,-0.00218823158728,-0.0135231928488,0.433759722311,0.0012537310217,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,10,4,15554,-0.00432117716576,-0.0154356877976,0.432750417899,-0.000125871476228,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,10,5,16037,-0.0118053665043,-0.0236465735196,0.410425890129,-0.00403956742118,0,
FULL,2018_2023,ABS_m04_REL_m02_W5,20,1,14951,-0.00394239448126,-0.0250641171817,0.420038793392,0.00130264980191,0,0.476155441108
FULL,2018_2023,ABS_m04_REL_m02_W5,20,2,15409,-0.00120635243885,-0.0205921490353,0.430981893698,0.00305016669351,0,0.447400869622
FULL,2018_2023,ABS_m04_REL_m02_W5,20,3,15419,-0.00474404260451,-0.0233007329445,0.423633179843,0.00207236923135,0,0.463908165251
FULL,2018_2023,ABS_m04_REL_m02_W5,20,4,15417,-0.00713236106309,-0.0267342844151,0.41823960563,0.00066050754529,0,0.486605695012
FULL,2018_2023,ABS_m04_REL_m02_W5,20,5,15890,-0.0190325345819,-0.0401097242534,0.388483322845,-0.00683529526574,0,0.568219005664
FULL,2018_2023,ABS_m04_REL_m04_W2,1,1,9554,-0.000833404547902,-0.00140257293626,0.478229014026,0.000385325224016,0,
FULL,2018_2023,ABS_m04_REL_m04_W2,1,2,10020,-0.00188921931039,-0.00216698031224,0.467365269461,5.6334287791e-05,0,
