trade_date,family,nav,cash,positions,industries,industry_hhi
2018-07-04,low_volatility_of_volatility_60,9929435.432372563,0.0,8,3,0.47149081690545636
2018-07-05,low_volatility_of_volatility_60,9938341.469418207,0.0,8,3,0.47136001534916006
2018-07-06,low_volatility_of_volatility_60,9893751.840423068,0.0,8,3,0.47264390844363696
2018-07-09,low_volatility_of_volatility_60,10108050.877123684,0.0,8,3,0.4759253015173181
2018-07-10,low_volatility_of_volatility_60,10145744.59302476,0.0,8,3,0.47486557130169804
2018-07-11,low_volatility_of_volatility_60,10031609.320619378,1251507.096700272,7,3,0.43413943581157916
2018-07-12,low_volatility_of_volatility_60,10177474.198589481,1251507.096700272,7,3,0.4342055858691057
2018-07-13,low_volatility_of_volatility_60,10162516.097681755,1251507.096700272,7,3,0.43204042310266005
2018-07-16,low_volatility_of_volatility_60,10086608.992947979,1251507.096700272,7,3,0.42979282619255643
2018-07-17,low_volatility_of_volatility_60,10054931.713154014,1251507.096700272,7,3,0.42932999176723846
2018-07-18,low_volatility_of_volatility_60,10080862.349682663,1251507.096700272,7,3,0.42859559340466613
2018-07-19,low_volatility_of_volatility_60,10091713.104422087,1251507.096700272,7,3,0.427885264907282
2018-07-20,low_volatility_of_volatility_60,10274724.658980964,1251507.096700272,7,3,0.4307730464544626
2018-07-23,low_volatility_of_volatility_60,10373844.454504458,1251507.096700272,7,3,0.4315809403845084
2018-07-24,low_volatility_of_volatility_60,10445805.81177158,1251507.096700272,7,3,0.4309010566418712
2018-07-25,low_volatility_of_volatility_60,10392818.298929526,1251507.096700272,7,3,0.43241549876309704
2018-07-26,low_volatility_of_volatility_60,10386092.36702027,1251507.096700272,7,3,0.4306060717360929
2018-07-27,low_volatility_of_volatility_60,10374432.308512764,1251507.096700272,7,3,0.43156619209713215
2018-07-30,low_volatility_of_volatility_60,10457251.403174367,1251507.096700272,7,3,0.4308488540745122
2018-07-31,low_volatility_of_volatility_60,10483738.746586768,1251507.096700272,7,3,0.43082298018006193
2018-08-01,low_volatility_of_volatility_60,10235352.324136753,-8.149072527885437e-10,10,6,0.21872398280191263
2018-08-02,low_volatility_of_volatility_60,10107064.061870843,-8.149072527885437e-10,10,6,0.2197197136288962
2018-08-03,low_volatility_of_volatility_60,10088696.350013087,-8.149072527885437e-10,10,6,0.22069177725866698
2018-08-06,low_volatility_of_volatility_60,9968634.70175952,-8.149072527885437e-10,10,6,0.22242054739048067
2018-08-07,low_volatility_of_volatility_60,10214676.238816004,-8.149072527885437e-10,10,6,0.22046999579329624
2018-08-08,low_volatility_of_volatility_60,10167276.791424213,-8.149072527885437e-10,10,6,0.22098467169296726
2018-08-09,low_volatility_of_volatility_60,10264272.661911791,-8.149072527885437e-10,10,6,0.22096852065611916
2018-08-10,low_volatility_of_volatility_60,10256258.684075411,-8.149072527885437e-10,10,6,0.22186659028350444
2018-08-13,low_volatility_of_volatility_60,10234389.263079716,-8.149072527885437e-10,10,6,0.221336078020564
2018-08-14,low_volatility_of_volatility_60,10198833.462553678,-8.149072527885437e-10,10,6,0.22019077497867584
2018-08-15,low_volatility_of_volatility_60,10050164.579918021,-8.149072527885437e-10,10,6,0.21991322000340705
2018-08-16,low_volatility_of_volatility_60,9979142.420974841,-8.149072527885437e-10,10,6,0.21977922378272866
2018-08-17,low_volatility_of_volatility_60,9863319.3433541,-8.149072527885437e-10,10,6,0.22017171234166083
2018-08-20,low_volatility_of_volatility_60,9950900.899444874,-8.149072527885437e-10,10,6,0.22004396211547855
2018-08-21,low_volatility_of_volatility_60,10068593.769373804,-8.149072527885437e-10,10,6,0.21872578562133477
2018-08-22,low_volatility_of_volatility_60,10030103.237946903,-8.149072527885437e-10,10,6,0.21791234164985762
2018-08-23,low_volatility_of_volatility_60,10035705.860841671,-8.149072527885437e-10,10,6,0.2176239811557517
2018-08-24,low_volatility_of_volatility_60,10104468.9956314,-8.149072527885437e-10,10,6,0.21812361052614332
2018-08-27,low_volatility_of_volatility_60,10240842.982460001,-8.149072527885437e-10,10,6,0.21769984879141843
2018-08-28,low_volatility_of_volatility_60,10243748.342712758,-8.149072527885437e-10,10,6,0.21701865988313807
2018-08-29,low_volatility_of_volatility_60,10175765.198953444,-1.1641532182693481e-10,10,6,0.23985929093160516
2018-08-30,low_volatility_of_volatility_60,10102492.812745232,-1.1641532182693481e-10,10,6,0.23935231831806977
2018-08-31,low_volatility_of_volatility_60,10155201.282337492,-1.1641532182693481e-10,10,6,0.24164180640226826
2018-09-03,low_volatility_of_volatility_60,10121616.164415149,-1.1641532182693481e-10,10,6,0.2408999887309586
2018-09-04,low_volatility_of_volatility_60,10182737.421443872,-1.1641532182693481e-10,10,6,0.2421047495455122
2018-09-05,low_volatility_of_volatility_60,10017637.103615716,-1.1641532182693481e-10,10,6,0.2422102150013837
2018-09-06,low_volatility_of_volatility_60,9976468.14451906,-1.1641532182693481e-10,10,6,0.2426426743906772
2018-09-07,low_volatility_of_volatility_60,9988195.633025775,-1.1641532182693481e-10,10,6,0.2426443732799235
2018-09-10,low_volatility_of_volatility_60,9951034.914373577,-1.1641532182693481e-10,10,6,0.24243967354338272
2018-09-11,low_volatility_of_volatility_60,9890287.273187593,-1.1641532182693481e-10,10,6,0.24176920525896115
2018-09-12,low_volatility_of_volatility_60,9881318.262992548,-1.1641532182693481e-10,10,6,0.24249484499208523
2018-09-13,low_volatility_of_volatility_60,9993203.749696968,-1.1641532182693481e-10,10,6,0.24306747515010718
2018-09-14,low_volatility_of_volatility_60,9966133.148269648,-1.1641532182693481e-10,10,6,0.24324887176740964
2018-09-17,low_volatility_of_volatility_60,9888085.616544021,-1.1641532182693481e-10,10,6,0.24323694567547868
2018-09-18,low_volatility_of_volatility_60,10017636.240753923,-1.1641532182693481e-10,10,6,0.24393476658399973
2018-09-19,low_volatility_of_volatility_60,10065624.428322732,-1.1641532182693481e-10,10,6,0.24341942905965783
2018-09-20,low_volatility_of_volatility_60,10073977.39485049,-1.1641532182693481e-10,10,6,0.2433475141875867
2018-09-21,low_volatility_of_volatility_60,10294765.443351826,-1.1641532182693481e-10,10,6,0.24437262434816287
2018-09-25,low_volatility_of_volatility_60,10243951.618222298,-1.1641532182693481e-10,10,6,0.24333038904572488
2018-09-26,low_volatility_of_volatility_60,10313705.673959143,-1.1641532182693481e-10,10,6,0.24407186723024657
2018-09-27,low_volatility_of_volatility_60,10252461.418522177,1.1641532182693481e-10,10,5,0.26070512623168574
2018-09-28,low_volatility_of_volatility_60,10311094.71450274,1.1641532182693481e-10,10,5,0.26142458253202217
2018-10-08,low_volatility_of_volatility_60,9968454.659496125,1.1641532182693481e-10,10,5,0.26133630596460733
2018-10-09,low_volatility_of_volatility_60,9975313.424852576,1.1641532182693481e-10,10,5,0.2607438126014772
2018-10-10,low_volatility_of_volatility_60,10006478.46958517,1.1641532182693481e-10,10,5,0.26168302573666447
2018-10-11,low_volatility_of_volatility_60,9535217.110797638,1.1641532182693481e-10,10,5,0.2649158096656941
2018-10-12,low_volatility_of_volatility_60,9604879.127862383,1.1641532182693481e-10,10,5,0.2677258138186095
2018-10-15,low_volatility_of_volatility_60,9543648.88138468,1.1641532182693481e-10,10,5,0.26790276584717837
2018-10-16,low_volatility_of_volatility_60,9552143.249646388,1.1641532182693481e-10,10,5,0.26820030688408636
2018-10-17,low_volatility_of_volatility_60,9664257.53497264,1.1641532182693481e-10,10,5,0.26951986650796195
2018-10-18,low_volatility_of_volatility_60,9438024.46337954,1.1641532182693481e-10,10,5,0.2707480260709557
2018-10-19,low_volatility_of_volatility_60,9659640.089201067,1.1641532182693481e-10,10,5,0.2715920531848995
2018-10-22,low_volatility_of_volatility_60,9970952.933806384,1.1641532182693481e-10,10,5,0.26873082497225637
2018-10-23,low_volatility_of_volatility_60,9810027.796379175,1.1641532182693481e-10,10,5,0.26859545414822644
2018-10-24,low_volatility_of_volatility_60,9914755.895040806,1.1641532182693481e-10,10,5,0.2702739981731563
2018-10-25,low_volatility_of_volatility_60,9996271.806257041,1.1641532182693481e-10,10,5,0.2708130872652587
2018-10-26,low_volatility_of_volatility_60,9944549.664798897,1.1641532182693481e-10,10,5,0.2714269988378303
2018-10-29,low_volatility_of_volatility_60,9803778.801325709,1.1641532182693481e-10,10,5,0.27321415158945833
2018-10-30,low_volatility_of_volatility_60,9935790.776881127,1.1641532182693481e-10,10,5,0.27384855991387563
2018-10-31,low_volatility_of_volatility_60,9934209.337482,1.1641532182693481e-10,10,5,0.27281577132599877
2018-11-01,low_volatility_of_volatility_60,9916279.056144668,-1.0477378964424133e-09,10,5,0.31537824129065983
2018-11-02,low_volatility_of_volatility_60,10038485.505386014,-1.0477378964424133e-09,10,5,0.3172572678852019
2018-11-05,low_volatility_of_volatility_60,9963209.17055784,-1.0477378964424133e-09,10,5,0.31748153936677737
2018-11-06,low_volatility_of_volatility_60,9991874.159562651,-1.0477378964424133e-09,10,5,0.31328162092032996
2018-11-07,low_volatility_of_volatility_60,9959599.70604701,-1.0477378964424133e-09,10,5,0.3137748412289768
2018-11-08,low_volatility_of_volatility_60,9938600.682927527,-1.0477378964424133e-09,10,5,0.317019798684642
