family,track,period,horizon,count,signal_dates,mean_net_return,median_net_return,net_excess_vs_control,severe_loss_fraction,control_severe_fraction,entry_executable_fraction,median_candidate_count,p10_entry_amount_cny
close_location_persistence_20,track_c,early_2018_2020,5,610,31,-0.019632019886871136,-0.020643772726004206,-0.006712657300273845,0.16721311475409836,0.07147707979626484,0.9854838709677419,1862.0,48989352.604
close_location_persistence_20,track_c,full,5,1319,67,-0.011296018909739717,-0.015453557786613059,0.0035429760652013636,0.13949962092494314,0.07336999214454047,0.9873134328358208,2470.0,49295113.256000005
close_location_persistence_20,track_c,late_2021_2023,5,709,36,-0.004124001143801545,-0.012615461717258025,0.012366581640574956,0.1156558533145275,0.075,0.9888888888888889,2784.5,51156832.914
down_up_residual_asymmetry_60,track_c,early_2018_2020,20,614,31,-0.009618241548682493,-0.016320647349357842,-0.016882284038324858,0.255700325732899,0.16231843048481417,0.9967741935483871,1862.0,42577855.692
down_up_residual_asymmetry_60,track_c,full,20,1308,66,-0.01598620646192499,-0.02426702265003655,-0.011617968098454402,0.2530581039755352,0.17504430267588167,0.9977611940298508,2470.0,50209816.799
down_up_residual_asymmetry_60,track_c,late_2021_2023,20,694,35,-0.021620112019174118,-0.03013523898180387,-0.006960489730903305,0.2507204610951009,0.1863157894736842,0.9986111111111111,2784.5,60433792.427999996
low_idio_20_comparator,track_a,early_2018_2020,5,620,31,-0.0093368648091932,-0.009022872622102718,0.0037027083131194803,0.025806451612903226,0.07147707979626484,1.0,1862.0,37811464.544
low_idio_20_comparator,track_a,full,5,1340,67,-0.010134028152669564,-0.007848038946665303,0.004652963084949045,0.026119402985074626,0.07336999214454047,1.0,2470.0,38536527.775
low_idio_20_comparator,track_a,late_2021_2023,5,720,36,-0.010820474365107545,-0.00661544213423465,0.005471238027357835,0.02638888888888889,0.075,1.0,2784.5,39722149.058
low_idio_within_skew_high,track_a_conditional,early_2018_2020,5,620,31,-0.009999218592189505,-0.008690271371903535,0.006047995578485121,0.02903225806451613,0.08870967741935486,1.0,621.0,36793416.271
low_idio_within_skew_high,track_a_conditional,full,5,1339,67,-0.010553737901106365,-0.007674115724189301,-0.00041295101979355617,0.027632561613144136,0.07022780832678711,1.0,824.0,38723138.406
low_idio_within_skew_high,track_a_conditional,late_2021_2023,5,719,36,-0.01103190475997765,-0.006797672261111498,-0.00598428188339965,0.02642559109874826,0.05431286549707602,1.0,928.5,40230795.132
low_idio_within_skew_low,track_a_conditional,early_2018_2020,5,620,31,-0.012920943982814782,-0.012236111097185198,0.004023315773542705,0.041935483870967745,0.08467270326353518,1.0,621.0,37422444.944000006
low_idio_within_skew_low,track_a_conditional,full,5,1340,67,-0.012219238870180473,-0.00964726112879527,0.0006464286137783903,0.03507462686567164,0.0704809286898839,1.0,823.0,37989569.8
low_idio_within_skew_low,track_a_conditional,late_2021_2023,5,720,36,-0.011614992800967597,-0.007463101313068599,-0.002261446440463103,0.029166666666666667,0.05826023391812866,1.0,928.5,38754451.754
low_idio_within_skew_middle,track_a_conditional,early_2018_2020,5,619,31,-0.011140619784554886,-0.01197071810984185,0.006018081980481164,0.0210016155088853,0.09032258064516129,1.0,620.0,38116824.308
low_idio_within_skew_middle,track_a_conditional,full,5,1339,67,-0.010020634867033036,-0.00887440804665196,0.0030867155905759023,0.020911127707244213,0.07168106834249803,1.0,823.0,38835779.638
low_idio_within_skew_middle,track_a_conditional,late_2021_2023,5,720,36,-0.009057758944885778,-0.006431718007333664,0.0005665547636990195,0.020833333333333332,0.05562865497076023,1.0,927.5,39527341.234
low_skew_within_idio_high,track_a_conditional,early_2018_2020,5,620,31,-0.011292522497634181,-0.01099140044388236,0.0006471965710084508,0.04838709677419355,0.0467741935483871,1.0,621.0,35775783.28
