trade_date,symbol,score,score_quintile,round_trip_return,entry_execution_date,exit_execution_date,holding_days
2018-01-09,300122.SZ,-0.00724158719313045,1.0,0.0471646580020965,2018-01-10,2018-01-17,7
2018-03-13,300068.SZ,-0.004838534322686801,3.0,-0.04485698350729023,2018-03-14,2018-03-26,12
2018-03-07,300144.SZ,-0.004950561431988387,3.0,-0.025157464038170988,2018-03-08,2018-03-26,18
2018-03-09,300158.SZ,-0.00880288559847771,1.0,-0.10981237484689131,2018-03-12,2018-03-26,14
2018-03-19,300324.SZ,-0.007400666253787673,1.0,-0.01483779378516223,2018-03-20,2018-03-26,6
2018-08-29,300188.SZ,-0.009097244908971906,1.0,-0.0346598855689765,2018-08-30,2018-09-03,4
2018-09-26,300498.SZ,-0.005472718420360386,1.0,-0.019669200950819758,2018-09-27,2018-10-10,13
2018-12-05,300498.SZ,-0.005845484613057825,2.0,-0.03501739895791935,2018-12-06,2018-12-10,4
2019-01-14,300496.SZ,-0.004933760470754849,2.0,0.04623903703658299,2019-01-15,2019-01-30,15
2019-01-07,300498.SZ,-0.00333948668557126,5.0,0.02028535154450235,2019-01-08,2019-01-30,22
2019-01-24,300570.SZ,-0.010026995762958468,1.0,0.008258955843745095,2019-01-25,2019-01-30,5
2019-02-14,300037.SZ,-0.004341988595462622,3.0,0.0019388380892076764,2019-02-15,2019-03-22,35
2019-02-11,300012.SZ,-0.00397043491374736,3.0,0.1170263145432445,2019-02-12,2019-03-28,44
2019-02-25,300027.SZ,-0.008793806164637508,2.0,-0.01644814932884773,2019-02-26,2019-03-28,30
2019-02-11,300033.SZ,-0.004130597192945379,3.0,0.8962428175602644,2019-02-12,2019-03-28,44
2019-03-15,300068.SZ,-0.005282674310999462,2.0,-0.04976496050509363,2019-03-18,2019-03-28,10
2019-02-14,300079.SZ,-0.005476069717620546,2.0,0.733861659683913,2019-02-15,2019-03-28,41
2019-02-25,300107.SZ,-0.005854788694465025,5.0,0.06348769340895315,2019-02-26,2019-03-28,30
2019-02-25,300142.SZ,-0.005211698599960413,5.0,0.18078797681258618,2019-02-26,2019-03-28,30
2019-02-25,300212.SZ,-0.0077798572802104315,3.0,0.17915124984319628,2019-02-26,2019-03-28,30
2019-02-11,300271.SZ,-0.004176064928987379,3.0,0.30591964181184267,2019-02-12,2019-03-28,44
2019-04-12,300349.SZ,-0.00635507471045656,1.0,-0.07589694189442062,2019-04-15,2019-04-24,9
2019-04-17,300274.SZ,-0.008439769444557228,1.0,-0.05581937323077541,2019-04-18,2019-04-29,11
2019-05-29,300595.SZ,-0.005864565406601696,1.0,0.017312502800629556,2019-05-30,2019-06-05,6
2019-08-22,300699.SZ,-0.003978747993616082,5.0,0.0076504235885243585,2019-08-23,2019-09-25,33
