chart_id,gap_id,symbol,board,gap_date,signal_date,pre_peak_to_gap_sessions,gap_age,rebound_from_post_gap_low_over_l,post_signal_bars_shown,outcome_shown
V27-BLIND-001,002006.SZ|2017-01-16,002006.SZ,MAIN,2017-01-16,2017-02-07,118,11,0.06541129831516379,0,False
V27-BLIND-002,300531.SZ|2017-04-10,300531.SZ,CHINEXT,2017-04-10,2017-04-25,87,11,0.06593406593406592,0,False
V27-BLIND-003,000712.SZ|2017-05-05,000712.SZ,MAIN,2017-05-05,2017-05-25,105,14,0.07710011507479853,0,False
V27-BLIND-004,300056.SZ|2017-05-16,300056.SZ,CHINEXT,2017-05-16,2017-06-05,111,12,0.11181102362204687,0,False
V27-BLIND-005,300556.SZ|2017-07-17,300556.SZ,CHINEXT,2017-07-17,2017-08-03,83,13,0.06644067796610109,0,False
V27-BLIND-006,002873.SZ|2017-11-27,002873.SZ,MAIN,2017-11-27,2017-12-13,20,12,0.06301543666737164,0,False
V27-BLIND-007,300648.SZ|2018-01-29,300648.SZ,CHINEXT,2018-01-29,2018-02-12,54,10,0.12664132688320673,0,False
V27-BLIND-008,000519.SZ|2018-01-31,000519.SZ,MAIN,2018-01-31,2018-02-22,117,11,0.0636792452830186,0,False
V27-BLIND-009,300129.SZ|2018-10-11,300129.SZ,CHINEXT,2018-10-11,2018-10-26,120,11,0.09666666666666646,0,False
V27-BLIND-010,002363.SZ|2018-10-11,002363.SZ,MAIN,2018-10-11,2018-10-26,120,11,0.09589041095890416,0,False
V27-BLIND-011,600518.SH|2018-10-18,600518.SH,MAIN,2018-10-18,2018-11-02,95,11,0.053119209388511335,0,False
V27-BLIND-012,300342.SZ|2018-11-08,300342.SZ,CHINEXT,2018-11-08,2018-11-22,115,10,0.08314855875831506,0,False
V27-BLIND-013,300645.SZ|2018-12-25,300645.SZ,CHINEXT,2018-12-25,2019-01-11,23,11,0.050186406653283666,0,False
V27-BLIND-014,600525.SH|2018-12-25,600525.SH,MAIN,2018-12-25,2019-01-16,115,14,0.15779092702169617,0,False
V27-BLIND-015,300494.SZ|2019-04-30,300494.SZ,CHINEXT,2019-04-30,2019-05-21,33,12,0.06079295154185027,0,False
V27-BLIND-016,000711.SZ|2019-08-02,000711.SZ,MAIN,2019-08-02,2019-08-16,100,10,0.05976095617529886,0,False
V27-BLIND-017,300194.SZ|2019-08-02,300194.SZ,CHINEXT,2019-08-02,2019-08-19,70,11,0.06567796610169496,0,False
V27-BLIND-018,002535.SZ|2019-11-22,002535.SZ,MAIN,2019-11-22,2019-12-06,118,10,0.05190311418685156,0,False
