family,leg,period,horizon,count,securities,decision_dates,industries,mean_net_return,severe_loss10_fraction,mean_adverse_return,matched_count,matched_dates,mean_excess_vs_control,severe_loss10_disadvantage,entry_executable_fraction
liquidity_shock_price_assimilation,control,early_2018_2020,1,9439,2808,478,128,-0.0026435131433,0.024155101176,-0.0292354339378,9439,478,,,0.992468619247
liquidity_shock_price_assimilation,selected,early_2018_2020,1,9439,2893,478,128,-0.00569666304691,0.0225659497828,-0.0302117923442,9439,478,-0.00297019257191,-0.00160210003414,0.993514644351
liquidity_shock_price_assimilation,control,full,1,23817,4037,1203,128,-0.00351641727239,0.0202376453794,-0.0283410346759,23817,1203,,,0.993485477178
liquidity_shock_price_assimilation,selected,full,1,23857,4162,1203,128,-0.00591887821094,0.0203294630507,-0.0300120693375,23857,1203,-0.00235158583391,7.32758693406e-05,0.99601659751
liquidity_shock_price_assimilation,control,late_2021_2023,1,14378,3848,725,128,-0.0040894693015,0.0176658784254,-0.0277538713268,14378,725,,,0.994154057772
liquidity_shock_price_assimilation,selected,late_2021_2023,1,14418,3955,725,128,-0.00606435531825,0.0188653072548,-0.0298813171208,14418,725,-0.00194660393629,0.00117009048669,0.997661623109
liquidity_shock_price_assimilation,control,early_2018_2020,2,9433,2808,478,128,-0.00234499750667,0.063818509488,-0.0396164799852,9433,478,,,0.992468619247
liquidity_shock_price_assimilation,selected,early_2018_2020,2,9424,2893,478,128,-0.00656492214611,0.0703522920204,-0.0418767435501,9424,478,-0.00426356767381,0.00670866007995,0.993514644351
liquidity_shock_price_assimilation,control,full,2,23799,4037,1202,128,-0.00392070954574,0.0568091096265,-0.0385664350692,23799,1202,,,0.993485477178
liquidity_shock_price_assimilation,selected,full,2,23813,4161,1202,128,-0.0069555510006,0.0645865703607,-0.0416345988939,23813,1202,-0.00301758537172,0.00775094653284,0.99601659751
liquidity_shock_price_assimilation,control,late_2021_2023,2,14366,3850,724,128,-0.00495535326455,0.0522065989141,-0.0378769547899,14366,724,,,0.994154057772
liquidity_shock_price_assimilation,selected,late_2021_2023,2,14389,3951,724,128,-0.00721139131783,0.0608103412329,-0.0414760075227,14389,724,-0.00220153580504,0.00843358657259,0.997661623109
liquidity_shock_price_assimilation,control,early_2018_2020,3,9428,2808,478,128,-0.00166120751815,0.0995969452694,-0.0471925369709,9428,478,,,0.992468619247
liquidity_shock_price_assimilation,selected,early_2018_2020,3,9423,2895,478,128,-0.00721566226772,0.114082563939,-0.050393408072,9423,478,-0.00569418663435,0.0149978058904,0.993514644351
liquidity_shock_price_assimilation,control,full,3,23763,4033,1201,128,-0.00378308561087,0.0904347094222,-0.0459847135315,23763,1201,,,0.993485477178
liquidity_shock_price_assimilation,selected,full,3,23784,4160,1201,128,-0.00811669012095,0.106626303397,-0.0499769836473,23784,1201,-0.00435713404158,0.0162913252656,0.99601659751
liquidity_shock_price_assimilation,control,late_2021_2023,3,14335,3843,723,128,-0.00517862566376,0.0844087896756,-0.0451903389667,14335,723,,,0.994154057772
liquidity_shock_price_assimilation,selected,late_2021_2023,3,14361,3950,723,128,-0.00870790141967,0.101733862544,-0.0497037458955,14361,723,-0.00347982420371,0.0171400706923,0.997661623109
price_limit_reopen_reseal_acceptance,control,early_2018_2020,1,4677,1923,473,128,-0.0161251329874,0.124652555057,-0.053468627617,4677,473,,,0.849768600926
