audit_id,sequence_id,cohort,market_view,symbol,source_symbol,trade_date,target_year,block_id,market_sequence_rank,relative_day,daily_raw_close,minute_raw_close,coordinate_scale,coordinate_close,resistance_high10,resistance_high20,resistance_high40,up_limit_contact,down_limit_contact,corporate_action_count,rights_ratio,corporate_action_blocking,daily_snapshot_id,descriptor_available_at,l10_continuous_cross,l10_continuous_first_cross_index,l10_continuous_remaining_bars,l10_continuous_closing_state,l10_continuous_close_loss,l10_continuous_reacquired,l20_continuous_cross,l20_continuous_first_cross_index,l20_continuous_remaining_bars,l20_continuous_closing_state,l20_continuous_close_loss,l20_continuous_reacquired,l40_continuous_cross,l40_continuous_first_cross_index,l40_continuous_remaining_bars,l40_continuous_closing_state,l40_continuous_close_loss,l40_continuous_reacquired,l20_auction_cross,l20_auction_first_cross_index,l20_auction_remaining_bars,l20_auction_closing_state,l20_auction_close_loss,l20_auction_reacquired,l20_auction_only_cross
MARKET|2018|01|ALL_A|01|000420.SZ|2018-03-12,2018|01|ALL_A|01|000420.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,000420.SZ,000420,2018-03-12,2018,1,1,-5,3.02,3.0199999809265137,0.31545741324921139,0.95268138801261848,0.99053627760252394,0.99053627760252394,1.025236593059937,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-12T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|01|000420.SZ|2018-03-13,2018|01|ALL_A|01|000420.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,000420.SZ,000420,2018-03-13,2018,1,1,-4,3,3,0.31545741324921145,0.94637223974763429,0.99053627760252394,0.99053627760252394,1.025236593059937,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-13T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|01|000420.SZ|2018-03-14,2018|01|ALL_A|01|000420.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,000420.SZ,000420,2018-03-14,2018,1,1,-3,2.9500000000000002,2.9500000476837158,0.31545741324921139,0.93059936908517371,0.99053627760252394,0.99053627760252394,1.025236593059937,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-14T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|01|000420.SZ|2018-03-15,2018|01|ALL_A|01|000420.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,000420.SZ,000420,2018-03-15,2018,1,1,-2,2.9399999999999999,2.940000057220459,0.31545741324921139,0.92744479495268151,0.99053627760252394,0.99053627760252394,1.025236593059937,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-15T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|01|000420.SZ|2018-03-16,2018|01|ALL_A|01|000420.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,000420.SZ,000420,2018-03-16,2018,1,1,-1,2.9500000000000002,2.9500000476837158,0.31545741324921139,0.93059936908517371,0.99053627760252394,0.99053627760252394,1.0220820189274449,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-16T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|02|600576.SH|2018-03-12,2018|01|ALL_A|02|600576.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600576.SH,600576,2018-03-12,2018,1,2,-5,6.7800000000000002,6.7800002098083496,0.1317523056653491,0.89328063241106692,0.89328063241106692,0.89328063241106692,1.0329380764163374,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-12T15:30:00+08:00,True,161,78,CROSS_CLOSE_ABOVE,True,True,True,161,78,CROSS_CLOSE_ABOVE,True,True,False,,,NO_CROSS,False,False,True,162,78,CROSS_CLOSE_ABOVE,True,True,False
MARKET|2018|01|ALL_A|02|600576.SH|2018-03-13,2018|01|ALL_A|02|600576.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600576.SH,600576,2018-03-13,2018,1,2,-4,6.8300000000000001,6.8299999237060547,0.1317523056653491,0.89986824769433438,0.89986824769433438,0.89986824769433438,1.0329380764163374,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-13T15:30:00+08:00,True,129,110,CROSS_CLOSE_BELOW,True,True,True,129,110,CROSS_CLOSE_BELOW,True,True,False,,,NO_CROSS,False,False,True,130,110,CROSS_CLOSE_BELOW,True,True,False
MARKET|2018|01|ALL_A|02|600576.SH|2018-03-14,2018|01|ALL_A|02|600576.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600576.SH,600576,2018-03-14,2018,1,2,-3,6.5999999999999996,6.6100001335144043,0.13175230566534912,0.8695652173913041,0.93280632411067166,0.93280632411067166,1.0329380764163374,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-14T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|02|600576.SH|2018-03-15,2018|01|ALL_A|02|600576.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600576.SH,600576,2018-03-15,2018,1,2,-2,6.5800000000000001,6.570000171661377,0.1317523056653491,0.8669301712779971,0.93280632411067166,0.93280632411067166,1.0329380764163374,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-15T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|02|600576.SH|2018-03-16,2018|01|ALL_A|02|600576.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600576.SH,600576,2018-03-16,2018,1,2,-1,6.54,6.5500001907348633,0.1317523056653491,0.86166007905138309,0.93280632411067166,0.93280632411067166,1.0329380764163374,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-16T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-12,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-12,2018,1,3,-5,12.23,12.229999542236328,0.078926598263614811,0.96527229676400916,1.0007892659826356,1.0007892659826356,1.0536700868192579,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-12T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-13,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-13,2018,1,3,-4,11.84,11.829999923706055,0.078926598263614811,0.93449092344119933,1.0007892659826356,1.0007892659826356,1.0536700868192579,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-13T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
