lookback,market_view,denominator,group_type,group_value,date_cells,valid_date_cells,eligible_security_rows,crossing_security_events,close_above_events,close_equal_events,close_below_events,nonindustry_defined_cells,industry_valid_cells,formation_distribution_cells,acceptance_distribution_cells,minimum_eligible_count,minimum_included_industries,minimum_event_industries,minimum_accepted_event_industries
10,ALL_A,ALL_STATUS,ALL_YEARS,ALL,1417,1417,5550255,802834,395435,11545,395854,1417,1417,1417,1417,2935,114,21,10
10,ALL_A,ALL_STATUS,YEAR,2018,203,203,635408,74087,36466,1069,36552,203,203,203,203,2935,114,21,10
10,ALL_A,ALL_STATUS,YEAR,2019,244,244,819132,132477,67754,2007,62716,244,244,244,244,3240,117,23,13
10,ALL_A,ALL_STATUS,YEAR,2020,243,243,877191,136698,70530,1836,64332,243,243,243,243,3488,119,38,25
10,ALL_A,ALL_STATUS,YEAR,2021,243,243,988954,149953,74233,1864,73856,243,243,243,243,3857,120,55,29
10,ALL_A,ALL_STATUS,YEAR,2022,242,242,1074823,144598,67930,1967,74701,242,242,242,242,4274,121,33,11
10,ALL_A,ALL_STATUS,YEAR,2023,242,242,1154747,165021,78522,2802,83697,242,242,242,242,4561,121,45,24
10,ALL_A,NON_ST,ALL_YEARS,ALL,1417,1417,5422707,782458,383954,11068,387436,1417,1417,1417,1417,2887,114,21,9
10,ALL_A,NON_ST,YEAR,2018,203,203,625047,72631,35669,1036,35926,203,203,203,203,2887,114,21,10
10,ALL_A,NON_ST,YEAR,2019,244,244,799935,129204,65932,1933,61339,244,244,244,244,3152,117,23,13
10,ALL_A,NON_ST,YEAR,2020,243,243,846907,132256,68007,1719,62530,243,243,243,243,3351,119,36,22
10,ALL_A,NON_ST,YEAR,2021,243,243,959776,144494,71039,1766,71689,243,243,243,243,3720,120,53,26
10,ALL_A,NON_ST,YEAR,2022,242,242,1054491,141385,66166,1884,73335,242,242,242,242,4201,121,33,9
10,ALL_A,NON_ST,YEAR,2023,242,242,1136551,162488,77141,2730,82617,242,242,242,242,4504,121,45,21
10,CHINEXT_BOARD,ALL_STATUS,ALL_YEARS,ALL,1417,1417,1285795,184642,89759,1744,93139,1417,1417,1412,1385,626,36,3,0
10,CHINEXT_BOARD,ALL_STATUS,YEAR,2018,203,203,135171,16151,7862,149,8140,203,203,199,185,626,36,3,0
10,CHINEXT_BOARD,ALL_STATUS,YEAR,2019,244,244,174484,29128,14795,274,14059,244,244,243,239,693,38,3,1
10,CHINEXT_BOARD,ALL_STATUS,YEAR,2020,243,243,188525,30938,16070,273,14595,243,243,243,240,736,41,8,2
10,CHINEXT_BOARD,ALL_STATUS,YEAR,2021,243,243,222955,31410,14863,237,16310,243,243,243,243,838,46,15,5
10,CHINEXT_BOARD,ALL_STATUS,YEAR,2022,242,242,265333,33078,14795,296,17987,242,242,242,236,1013,54,7,1
10,CHINEXT_BOARD,ALL_STATUS,YEAR,2023,242,242,299327,43937,21374,515,22048,242,242,242,242,1177,57,11,6
10,CHINEXT_BOARD,NON_ST,ALL_YEARS,ALL,1417,1417,1279108,183705,89311,1726,92668,1417,1417,1412,1383,626,36,3,0
10,CHINEXT_BOARD,NON_ST,YEAR,2018,203,203,135171,16151,7862,149,8140,203,203,199,185,626,36,3,0
10,CHINEXT_BOARD,NON_ST,YEAR,2019,244,244,174484,29128,14795,274,14059,244,244,243,239,693,38,3,1
10,CHINEXT_BOARD,NON_ST,YEAR,2020,243,243,188381,30928,16065,273,14590,243,243,243,240,736,41,8,2
10,CHINEXT_BOARD,NON_ST,YEAR,2021,243,243,220737,31095,14724,230,16141,243,243,243,243,836,46,15,5
10,CHINEXT_BOARD,NON_ST,YEAR,2022,242,242,263315,32772,14642,290,17840,242,242,242,234,1002,54,7,1
10,CHINEXT_BOARD,NON_ST,YEAR,2023,242,242,297020,43631,21223,510,21898,242,242,242,242,1171,57,11,6
10,SH_A,ALL_STATUS,ALL_YEARS,ALL,1417,1417,2363729,343812,169117,5432,169263,1417,1417,1417,1411,1103,72,7,0
10,SH_A,ALL_STATUS,YEAR,2018,203,203,252717,30122,14790,497,14835,203,203,203,197,1103,72,7,0
