role_operator,block,coordinate,market_view,denominator,n,rho_discovery_dynamic,rho_leadership_dynamic,joint_adjusted_rank_r2,gate_pass
formation_participation__change,A,absolute,ALL_A,ALL_STATUS,605,0.623003396065,-0.564999415564,0.513801012332,True
formation_participation__change,A,absolute,SH_A,ALL_STATUS,605,0.571776566129,-0.567507564888,0.478960265989,True
formation_participation__change,A,absolute,SZ_A,ALL_STATUS,605,0.629338878596,-0.544526354595,0.511097246194,True
formation_participation__change,A,absolute,CHINEXT_BOARD,ALL_STATUS,605,0.574064373544,-0.501661441204,0.439847196903,True
formation_participation__change,A,absolute,ALL_A,NON_ST,605,0.635756224629,-0.565018034344,0.526648879565,True
formation_participation__change,A,absolute,SH_A,NON_ST,605,0.57051444421,-0.56858046742,0.48297855658,True
formation_participation__change,A,absolute,SZ_A,NON_ST,605,0.642475842148,-0.544306625621,0.524354910972,True
formation_participation__change,A,absolute,CHINEXT_BOARD,NON_ST,605,0.574060661496,-0.502018225877,0.440461852252,True
formation_participation__change,A,pit_3y_pct,ALL_A,ALL_STATUS,102,0.568846090777,-0.343402072931,0.334782348702,False
formation_participation__change,A,pit_3y_pct,SH_A,ALL_STATUS,102,0.531096799,-0.322525742009,0.294568512941,False
formation_participation__change,A,pit_3y_pct,SZ_A,ALL_STATUS,102,0.580268135323,-0.329978343351,0.34301850357,False
formation_participation__change,A,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,102,0.494489711678,-0.383413155707,0.285924798008,False
formation_participation__change,A,pit_3y_pct,ALL_A,NON_ST,102,0.571401914606,-0.354778881657,0.338587813207,False
formation_participation__change,A,pit_3y_pct,SH_A,NON_ST,102,0.539816003302,-0.336865496944,0.306348651546,False
formation_participation__change,A,pit_3y_pct,SZ_A,NON_ST,102,0.5751225608,-0.344668675891,0.342972697889,False
formation_participation__change,A,pit_3y_pct,CHINEXT_BOARD,NON_ST,102,0.495812859413,-0.386319557141,0.290200367231,False
formation_participation__change,A,relative_to_all,SH_A,ALL_STATUS,605,0.3047670631,-0.270164409946,0.141833878449,True
formation_participation__change,A,relative_to_all,SZ_A,ALL_STATUS,605,0.308486369408,-0.278402711305,0.144759487907,True
formation_participation__change,A,relative_to_all,CHINEXT_BOARD,ALL_STATUS,605,0.329344559983,-0.277292943767,0.158163349705,True
formation_participation__change,A,relative_to_all,SH_A,NON_ST,605,0.292138545582,-0.273004221541,0.138538865125,True
formation_participation__change,A,relative_to_all,SZ_A,NON_ST,605,0.295935993359,-0.275579103503,0.138663365491,True
formation_participation__change,A,relative_to_all,CHINEXT_BOARD,NON_ST,605,0.336916912642,-0.28526921065,0.167549513398,True
formation_participation__change,B,absolute,ALL_A,ALL_STATUS,727,0.426848036295,-0.530288050077,0.337402192453,True
formation_participation__change,B,absolute,SH_A,ALL_STATUS,727,0.37222118884,-0.499763116713,0.291555569236,True
formation_participation__change,B,absolute,SZ_A,ALL_STATUS,727,0.437080413936,-0.53486620716,0.350155007518,True
formation_participation__change,B,absolute,CHINEXT_BOARD,ALL_STATUS,727,0.366800563477,-0.503354773442,0.31420130661,True
formation_participation__change,B,absolute,ALL_A,NON_ST,727,0.415997407619,-0.526412814396,0.332342189564,True
formation_participation__change,B,absolute,SH_A,NON_ST,727,0.363432689713,-0.49676826862,0.288644772473,True
formation_participation__change,B,absolute,SZ_A,NON_ST,727,0.42869445887,-0.532553464185,0.34719517561,True
formation_participation__change,B,absolute,CHINEXT_BOARD,NON_ST,727,0.366069273934,-0.500557949954,0.310852901144,True
formation_participation__change,B,pit_3y_pct,ALL_A,ALL_STATUS,727,0.426182697677,-0.527714577563,0.334448489406,True
formation_participation__change,B,pit_3y_pct,SH_A,ALL_STATUS,727,0.371663270213,-0.497382042963,0.289455309222,True
formation_participation__change,B,pit_3y_pct,SZ_A,ALL_STATUS,727,0.435012323194,-0.531024997851,0.345062880059,True
formation_participation__change,B,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,727,0.365357473469,-0.500008713348,0.310710542792,True
formation_participation__change,B,pit_3y_pct,ALL_A,NON_ST,727,0.415370353901,-0.523259830995,0.328910694063,True
formation_participation__change,B,pit_3y_pct,SH_A,NON_ST,727,0.361936159425,-0.494552014375,0.286237856762,True
formation_participation__change,B,pit_3y_pct,SZ_A,NON_ST,727,0.427288432888,-0.528953114284,0.342370105889,True
formation_participation__change,B,pit_3y_pct,CHINEXT_BOARD,NON_ST,727,0.36421066291,-0.495995232268,0.305943320483,True
formation_participation__change,B,relative_to_all,SH_A,ALL_STATUS,727,0.276549260418,-0.198537082525,0.102324716336,True
formation_participation__change,B,relative_to_all,SZ_A,ALL_STATUS,727,0.278560316762,-0.203347265464,0.105947108233,True
formation_participation__change,B,relative_to_all,CHINEXT_BOARD,ALL_STATUS,727,0.285931368869,-0.322610801728,0.168702762014,True
formation_participation__change,B,relative_to_all,SH_A,NON_ST,727,0.296263665058,-0.205136304236,0.114680218431,True
formation_participation__change,B,relative_to_all,SZ_A,NON_ST,727,0.297109542952,-0.211741209897,0.118201821176,True
formation_participation__change,B,relative_to_all,CHINEXT_BOARD,NON_ST,727,0.284924310403,-0.315799524972,0.162315647604,True
formation_participation__acceleration,A,absolute,ALL_A,ALL_STATUS,600,0.597288048022,-0.439180392054,0.426081748845,True
formation_participation__acceleration,A,absolute,SH_A,ALL_STATUS,600,0.552283097346,-0.423041094981,0.381810277285,True
formation_participation__acceleration,A,absolute,SZ_A,ALL_STATUS,600,0.594200595002,-0.428998279023,0.419464771537,True
